		2023-12-23	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
vet ashburton		-	-	-	12	6	9	34	48	29	46	13	15
vet auburn		-	-	-	21	31	61	-	-	-	-	32	11
vet balwyn		-	-	-	28	10	67	53	54	52	71	34	28
vet burnley		3	5	6	3	2	2	3	43	6	47	4	3
vet burwood		-	-	-	79	27	80	55	-	-	-	38	54
vet camberwell		9	11	9	9	11	13	12	33	44	27	27	24
vet canterbury		-	84	62	40	13	65	47	-	71	-	60	40
vet collingwood		81	92	96	20	6	20	41	-	50	-	18	29
vet abbotsford		-	-	-	8	9	33	40	54	55	57	9	10
vet glen iris		56	60	62	11	9	53	50	-	54	44	36	35
vet hawthorn		8	8	7	7	4	5	4	18	23	16	14	8
vet kew		34	54	56	7	8	38	32	88	69	60	36	36
vet kooyong		-	-	-	3	3	3	3	3	3	3	2	2
vet malvern		-	-	-	29	14	-	79	-	67	-	38	68
vet prahran		-	-	-	29	6	34	38	67	65	55	41	20
vet richmond		-	-	-	17	21	22	17	-	-	-	57	39
vet south yarra		-	-	-	48	9	88	40	-	31	-	20	21
vet surrey hills		-	-	-	43	9	72	46	89	41	78	27	22
vet toorak		38	53	56	42	9	48	42	65	40	69	26	41
vet tooronga		2	3	6	6	5	8	7	8	11	25	12	10
animal hospital auburn		-	-	-	56	-	-	-	-	54	-	30	49
animal hospital balwyn		-	-	-	29	8	78	63	70	39	61	23	21
animal hospital burnley		52	43	54	8	2	7	5	13	4	22	5	5
animal hospital burwood		-	-	-	-	17	-	56	81	59	79	27	31
animal hospital camberwell		39	43	36	4	4	17	16	58	58	45	17	16
animal hospital canterbury		-	-	-	89	10	90	73	-	68	-	43	48
animal hospital collingwood		-	-	-	61	10	80	41	92	29	95	13	12
animal hospital abbotsford		-	-	-	-	4	72	36	76	30	77	33	22
animal hospital glen iris		53	59	60	9	8	82	33	83	48	75	25	24
animal hospital hawthorn		10	11	11	6	5	9	10	14	22	21	20	19
animal hospital kew		-	-	-	3	4	39	30	52	23	-	18	17
animal hospital kooyong		-	-	-	3	2	4	5	6	3	3	2	1
animal hospital malvern		-	-	-	8	13	90	61	-	52	-	35	52
animal hospital prahran		-	-	-	29	4	34	22	46	49	82	45	8
animal hospital richmond		-	-	-	39	56	21	23	-	94	-	27	10
animal hospital south yarra		-	-	-	17	6	57	35	60	19	56	16	13
animal hospital surrey hills		-	-	-	14	4	61	32	46	28	51	15	11
animal hospital toorak		-	-	75	34	5	31	27	37	23	43	11	31
animal hospital tooronga		5	8	9	7	6	9	11	41	13	31	10	7
