		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-15	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-02	2022-09-16	2022-09-29	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-14	2023-04-13	2023-05-17	2023-06-15	2023-07-10	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
air conditioning box hill		37	31	36	14	15	13	11	11	15	15	10	8	9	10	13	17	17	17	24	26	-	44	33	35	39	36	39	46	51	26	23	15	23	29	16	23	23	23
air conditioning bulleen		21	20	17	11	9	14	14	15	6	6	6	6	6	6	4	6	8	7	5	6	7	8	11	9	10	9	12	12	12	4	4	3	3	4	8	9	7	9
air conditioning bundoora		19	19	15	15	11	6	5	8	6	6	7	7	7	6	11	7	11	8	6	8	8	9	10	9	12	13	13	12	13	10	5	5	5	7	7	7	8	10
air conditioning burwood		29	27	20	15	12	16	11	15	8	9	17	15	17	12	12	11	15	15	14	16	14	14	21	16	16	15	20	18	21	15	10	11	10	9	8	5	5	9
air conditioning canterbury		30	27	14	9	7	8	9	9	8	9	5	4	5	8	5	13	10	13	11	11	9	11	18	21	18	-	20	14	19	11	21	15	25	14	28	8	54	13
air conditioning coburg		19	20	13	17	16	9	6	7	4	4	4	3	4	5	5	7	7	8	8	7	8	8	8	7	7	7	8	12	11	12	7	6	5	5	5	5	5	3
air conditioning craigieburn		21	16	8	6	8	8	8	6	7	7	6	6	5	5	4	5	5	5	5	5	5	5	6	6	4	7	7	7	8	3	5	4	5	3	3	5	6	6
air conditioning diamond creek		18	17	17	13	11	10	10	11	9	10	9	6	8	9	10	8	10	8	12	6	6	7	10	12	10	10	10	10	9	7	9	6	6	6	7	7	10	12
air conditioning doncaster		22	33	11	9	9	10	9	8	9	9	10	9	11	12	16	15	13	14	15	18	14	23	32	27	30	21	17	30	47	23	19	13	17	12	11	15	17	19
air conditioning donvale		10	11	10	9	8	8	7	10	10	9	2	3	4	2	2	2	2	1	2	3	2	2	2	3	11	15	13	13	13	8	9	9	8	6	5	9	9	8
air conditioning doreen		17	16	13	13	13	13	14	15	13	10	13	10	10	12	16	17	16	14	14	16	17	15	21	23	23	14	16	16	14	13	11	13	13	9	6	6	6	7
air conditioning epping		33	33	20	22	15	17	16	13	15	14	12	11	11	13	14	12	13	14	16	13	12	10	21	11	12	13	19	22	22	15	11	9	17	9	9	9	7	8
air conditioning essendon		19	18	18	16	15	16	15	16	15	14	14	12	11	13	14	11	14	11	13	13	12	13	15	16	17	12	15	13	12	11	8	11	10	11	10	5	6	5
air conditioning fairfield		29	36	26	19	9	8	9	9	12	13	13	11	11	13	11	17	-	-	22	22	-	-	22	17	17	22	34	33	31	31	19	40	38	28	38	34	40	22
air conditioning greensborough		29	29	19	16	12	18	15	14	13	13	13	13	14	14	14	17	15	18	13	14	12	15	17	19	15	17	15	17	20	18	15	15	14	12	15	26	17	15
air conditioning heidelberg		19	20	20	11	8	10	10	10	8	8	11	9	10	11	11	9	8	7	6	8	8	8	12	13	14	15	16	16	17	15	12	13	10	11	8	13	18	16
air conditioning hoppers crossing		28	28	26	6	6	7	7	7	7	7	7	7	7	7	7	8	8	11	8	10	9	12	13	11	15	19	20	17	17	16	13	14	10	9	9	11	12	13
air conditioning ivanhoe		19	25	16	12	12	9	9	12	11	12	10	7	8	8	9	8	7	6	7	8	8	8	11	16	12	14	14	18	19	16	11	9	14	8	11	7	4	11
air conditioning melton		21	16	14	13	15	13	13	14	12	13	14	12	12	11	12	11	10	9	8	9	7	10	10	12	10	12	8	9	9	8	5	5	5	3	4	4	4	3
air conditioning mernda		14	15	8	6	6	8	7	8	8	7	8	9	8	8	9	9	9	9	7	7	6	7	11	8	11	13	12	10	11	9	9	7	8	5	5	10	9	11
air conditioning preston		22	31	22	17	9	8	8	9	8	6	8	6	6	9	12	15	13	15	15	16	14	19	28	28	27	26	25	31	31	65	15	14	20	14	14	14	19	19
air conditioning reservoir		21	22	18	22	15	13	13	13	12	11	10	8	10	7	12	12	13	14	14	9	12	11	17	15	12	12	12	11	13	9	5	6	10	7	6	6	58	6
