		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-08	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-14	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-05-23	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
active passive trainers		-	-	-	-	-	-	-	3	3	4	3	3	3	3	3	2	3	3	3	3	2	2	2	1	2	2	2	2	2	2	2	3	2	2	2	2	5	2
adult changing tables		-	-	-	-	-	-	-	13	54	49	68	-	-	54	91	-	88	74	-	80	-	42	39	48	47	43	44	46	43	43	38	36	26	32	23	27	71	36
aged care chairs		-	-	-	-	-	-	-	63	53	52	56	57	54	54	39	36	38	29	30	27	29	21	20	22	25	7	5	11	10	7	6	29	7	16	3	7	21	23
aged care equipment		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
aged care products		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
aids for daily living		21	27	26	38	40	39	37	36	26	40	47	57	50	58	43	35	74	41	44	41	38	23	24	27	20	14	16	16	22	24	23	12	14	9	9	9	7	8
airex corona mats		-	-	-	-	-	-	-	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	3	3	2	2	2	2	2	2	2	2	1	2
airex exercise mats		-	-	-	-	-	-	-	4	4	4	4	4	3	3	3	2	3	2	3	3	3	3	3	3	3	3	3	2	2	2	1	2	3	3	2	2	2	3
airex mats		-	-	-	-	-	-	-	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	3	4	3	4	6	4	4	3	3	3
airex yoga mats		-	-	-	-	-	-	-	3	3	2	2	2	3	2	4	3	3	3	3	3	3	3	-	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3
anaesthetic carts		-	-	-	-	-	-	-	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	3	3	3	2	2	1	3
