		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Venetian plaster Melbourne		23	18	24	26	23	23	25	21	18	21	23	23	20	20	16	17	22	24	22	22	7	7	11	12	13	11	15	9	41	56	19	38	42	69	67	57	46
venetian plaster balwyn		2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	1
marmorino plaster balwyn		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
venetian plaster brighton		2	2	2	2	2	2	3	3	16	20	4	4	4	4	5	3	16	1	3	14	16	19	19	21	19	19	30	12	30	37	18	42	22	46	40	39	30
marmorino plaster brighton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
venetian plaster camberwell		6	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	3	2	2	3	1	2	2	2	2	2	3	2	2	1	1	1
marmorino plaster camberwell		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
venetian plaster eaglemont		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
marmorino plaster eaglemont		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
venetian plaster eltham		2	2	9	2	2	2	2	2	5	2	2	2	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
marmorino plaster eltham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
venetian plaster essendon		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
marmorino plaster essendon		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1
venetian plaster frankston		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
marmorino plaster frankston		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
venetian plaster glen waverley		1	1	1	1	1	1	1	2	3	1	1	1	1	1	1	1	1	1	3	3	2	6	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
marmorino plaster glen waverley		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
venetian plaster hawthorn		1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	15
marmorino plaster hawthorn		1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
venetian plaster kew		1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
marmorino plaster kew		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
venetian plaster malvern		1	1	1	1	1	1	1	1	7	1	1	1	7	1	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
marmorino plaster malvern		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
venetian plaster mornington peninsula		2	3	10	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	4	4	4	4	5	4	7
marmorino plaster mornington peninsula		1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
venetian plaster pascoe vale		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	2	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1
marmorino plaster pascoe vale		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
venetian plaster rosanna		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
venetian plaster south yarra		1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	1	6	6	5	7	7	7	7	1	1	1	1	1	1	1	1	1	1
marmorino plaster south yarra		1	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	1	2	3	3	3	3	2	3	3	3	3	1	1	1	1	1	1	1	1	1	1
marmorino plaster taylors lake		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
venetian plaster toorak		3	2	2	12	9	9	7	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
marmorino plaster toorak		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Venetian Plaster		55	49	59	51	39	41	46	36	35	43	45	51	-	38	11	23	34	30	27	17	13	13	14	66	63	82	67	58	67	82	84	92	41	-	-	36	32
