		2022-05-20	2022-06-15	2022-07-15	2022-08-17	2022-09-13	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
physio atwell		-	5	5	6	7	6	8	8	5	5	5	3	4	4	3	3	3	3	4	4	4	5	5	5	3	5	4	4	3	5	5	6
physio banjup		-	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
physio beeliar		-	14	15	11	18	17	12	12	11	7	7	35	34	33	31	27	28	38	31	32	42	42	41	35	40	14	12	10	8	11	9	9
physio bertram		-	-	4	-	63	5	5	5	5	6	5	5	5	5	5	10	10	5	6	4	5	6	5	5	4	5	4	8	9	7	3	5
physio hammond park		-	4	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
physio yangebup		-	5	5	6	6	6	5	5	6	6	6	4	5	6	11	5	5	4	4	4	3	3	2	2	2	2	1	1	1	1	1	2
physio piara waters		-	-	47	52	7	7	7	47	39	35	37	5	5	3	3	3	4	4	7	9	6	6	5	6	7	8	6	6	5	5	5	5
physio success		-	-	5	8	10	10	7	8	6	7	6	26	5	7	5	5	5	5	7	6	6	9	11	9	11	10	9	11	11	11	9	24
physio treeby		-	2	3	2	2	2	3	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	1	1	2	2	2	2	2	2
physio wellard		-	9	9	11	7	8	8	7	6	6	6	6	6	4	4	4	4	4	4	5	5	5	5	5	4	4	2	2	2	3	2	3
sports physiotherapy atwell		-	2	2	4	3	3	3	3	2	3	3	2	2	2	2	2	2	2	3	3	2	2	2	2	2	3	3	3	3	3	3	4
sports physiotherapy banjup		-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sports physiotherapy beeliar		-	5	5	4	2	2	2	4	4	4	4	18	4	4	5	5	4	4	6	3	5	16	15	12	15	4	5	5	5	5	5	6
sports physiotherapy bertram		-	-	3	60	55	4	4	3	3	3	2	3	3	3	4	6	6	4	5	4	3	3	3	3	3	3	3	3	3	2	2	3
sports physiotherapy hammond park		-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sports physiotherapy yangebup		-	1	19	1	2	2	1	2	1	3	3	1	1	9	10	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sports physiotherapy piara waters		-	4	18	2	4	22	4	4	4	17	19	2	2	2	2	2	3	2	3	3	3	3	4	3	3	4	3	3	2	3	3	3
sports physiotherapy success		-	8	4	47	5	4	14	9	6	33	28	29	18	33	39	3	3	2	2	4	4	4	5	5	7	9	6	13	4	4	1	1
sports physiotherapy treeby		-	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sports physiotherapy wellard		-	-	11	1	4	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1
neck pain treatment atwell		-	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
neck pain treatment banjup		-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1
neck pain treatment beeliar		-	2	3	2	2	2	2	2	1	1	1	1	1	3	4	6	8	12	13	15	13	9	10	12	11	4	4	4	4	4	5	5
neck pain treatment bertram		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2
neck pain treatment hammond park		-	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
