		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-15	2024-04-18	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
crane hire campbellfield		1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	4
crane truck hire campbellfield		1	1	1	1	1	2	3	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
crane hire albanvale		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
crane hire altona		1	3	2	1	2	2	2	2	3	2	2	2	2	3	2	1	1	2	2	2	3	4	3	3	2	2	2	2	2	2	2	2	1	1	2	3	6	7
crane hire burnside		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
crane hire laverton		3	3	3	2	2	3	3	3	3	2	2	2	4	5	6	6	5	3	4	3	5	5	7	8	6	7	5	4	4	4	5	6	4	8	8	9	9	10
crane hire ravenhall		3	3	2	2	2	2	2	2	3	2	1	1	2	3	2	2	2	1	3	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
crane hire sunshine		8	7	14	7	13	10	11	9	9	11	8	7	19	19	18	20	18	3	3	2	2	3	4	4	3	4	3	3	4	4	3	1	1	4	2	3	2	3
crane hire tarneit		1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	2	2	3	2	3	3	3	3	3	3	3	2	2	2	2	2	4	4	3	3	3
crane hire taylors hill		1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
crane hire tullamarine		5	4	3	3	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	3	4	4	4	5	5	5	5	5	6	6	6	6	6	7	7	7	7
crane truck hire albion		1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
crane truck hire altona		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
crane truck hire braybrook		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
crane truck hire caroline springs		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
crane truck hire hoppers crossing		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2
crane truck hire tarneit		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	2	1
crane truck hire truganina		2	2	2	2	2	2	2	2	2	3	2	2	2	2	3	2	2	2	2	2	2	1	2	2	2	2	1	2	1	2	2	2	3	2	2	2	1	2
crane truck hire tullamarine		1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	1	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3
crane truck hire melton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
crane truck hire bacchus marsh		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
crane hire melton		1	2	2	2	2	2	3	3	3	3	3	3	4	4	3	4	3	3	3	3	2	3	3	3	2	2	2	2	2	2	2	2	2	3	4	5	5	5
crane hire bacchus marsh		1	1	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	2	1	2	2	2	3	3	2	3	3	3	3	3	3	3	4	4	4
crane truck hire melbourne		3	2	8	2	3	3	4	5	9	5	3	3	3	3	7	7	4	5	5	4	7	8	5	6	6	6	5	4	6	7	9	10	10	9	8	8	11	15
crane trucks melbourne		6	7	10	5	7	6	6	6	7	6	6	7	6	6	8	6	6	6	6	4	6	6	6	6	7	6	7	3	4	8	9	11	11	7	10	11	11	16
crane truck rental melbourne		5	4	4	2	3	3	3	5	7	5	3	3	4	4	6	5	3	4	3	3	3	5	5	5	4	5	3	4	4	5	5	6	7	6	7	7	7	10
