		2023-06-24	2023-07-20	2023-08-16	2023-08-24	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-03-25	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-18	2024-10-23	2024-11-14
removalists melbourne to adelaide		-	-	29	16	11	14	16	17	15	32	19	32	32	31	25	18	20	16	11	8
removalists melbourne to brisbane		-	-	18	15	16	22	27	33	19	18	28	35	38	37	26	-	38	34	37	34
removalists melbourne to canberra		-	-	16	15	10	11	14	15	12	11	19	16	22	11	26	12	15	11	13	11
removalists melbourne to gold coast		-	-	20	14	11	11	15	15	14	17	11	11	16	13	9	10	10	10	11	10
removalists melbourne to newcastle		-	-	10	10	10	11	11	12	11	11	15	16	14	13	-	13	11	13	12	13
removalists melbourne to perth		-	-	22	16	16	15	17	17	17	17	17	15	19	20	16	18	24	14	17	17
removalists melbourne to sunshine coast		-	-	12	9	9	8	7	8	7	10	8	8	8	11	4	4	4	4	4	3
removalists melbourne to sydney		-	-	27	36	31	29	25	32	32	32	62	-	57	56	30	-	18	30	35	34
removalists melbourne to wollongong		-	-	8	7	6	4	5	4	4	6	5	5	5	2	4	3	4	3	3	3
removalists melbourne to bendigo		-	-	70	68	11	10	12	12	15	12	14	13	12	12	11	11	9	8	8	7
removalists melbourne to geelong		-	-	11	15	11	10	9	9	10	9	10	11	10	6	7	6	5	2	5	2
removalists melbourne to ballarat		-	-	70	11	10	9	6	6	8	7	6	6	6	6	9	8	7	7	5	6
removalists melbourne to byron bay		-	-	4	8	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3
removalists albert park		21	39	13	11	17	12	14	15	20	15	22	20	19	17	15	18	19	13	15	14
removalists middle park		20	45	10	13	8	8	12	14	13	17	15	15	16	14	15	22	24	20	18	17
removalists brighton		59	-	19	35	16	17	22	21	28	26	44	44	-	-	29	21	23	26	29	19
removalists elwood		-	-	18	16	16	17	17	18	19	15	61	18	19	9	16	15	8	8	5	7
storage albert park		13	15	11	12	10	12	12	11	11	10	11	12	35	12	11	11	14	10	14	11
storage middle park		11	11	10	10	8	11	11	10	9	9	9	10	29	30	17	10	10	10	14	13
storage brighton		-	-	8	9	7	9	9	9	8	9	7	9	7	9	8	13	20	11	20	20
storage elwood		-	-	10	11	9	9	9	8	9	9	8	9	9	9	45	10	11	9	11	10
removalists melbourne		-	76	68	78	77	68	72	72	68	65	62	-	62	72	80	-	93	-	76	97
removalists melbourne cbd		-	-	20	21	22	14	23	26	24	24	-	25	26	16	19	26	25	17	18	15
removalists richmond		-	-	37	19	47	-	-	27	26	31	48	51	-	-	45	45	36	38	40	54
removalists south yarra		44	77	43	45	22	18	22	26	25	23	33	34	28	22	27	28	35	22	32	22
removalists south melbourne		35	80	19	14	14	9	11	13	14	6	11	10	18	10	15	9	11	6	7	9
removalists port melbourne		8	7	7	8	9	12	6	7	7	7	11	11	7	9	11	10	8	4	8	8
removalists glen iris		-	-	18	15	18	17	17	17	19	15	22	22	22	16	26	26	26	11	16	13
removalists hawthorn		-	-	21	23	25	20	21	21	30	22	34	33	32	25	70	35	36	32	33	32
removalists canterbury		-	-	49	42	46	38	20	19	18	18	25	25	-	46	-	23	19	15	25	23
removalists surrey hills		-	-	15	30	10	3	5	7	7	5	18	13	14	12	9	11	9	10	9	11
removalists windsor		-	-	59	43	5	5	6	5	7	7	12	15	16	8	10	9	10	6	11	10
removalists kew		-	-	20	18	20	18	15	18	20	19	24	21	20	19	69	21	21	19	23	19
removalists carlton		-	-	17	17	16	16	19	20	25	20	34	31	27	22	25	23	23	18	23	25
removalists fitzroy		-	-	18	20	17	21	20	24	21	22	32	30	23	18	17	26	24	19	18	19
removalists collingwood		-	-	15	13	13	11	14	17	16	14	19	20	21	17	19	18	19	10	17	13
removalists malvern		-	58	22	19	34	20	21	22	23	21	28	29	21	18	24	23	23	20	18	17
removalists abbotsford		-	-	17	17	14	14	10	13	9	8	16	18	12	9	24	32	14	10	9	7
removalists st kilda		-	-	79	70	27	24	26	26	31	34	47	42	-	39	36	39	34	21	27	24
removalists armadale		-	-	18	14	17	14	14	15	17	14	22	22	23	18	14	32	22	17	7	8
removalists burnley		-	-	9	11	5	4	2	3	4	11	18	14	14	10	7	11	10	6	2	11
removalists docklands		-	-	12	5	7	5	6	7	8	8	13	10	12	12	10	10	11	10	14	18
removalists prahran		-	-	15	16	12	12	13	17	19	19	25	20	21	42	17	17	19	15	18	16
removalists toorak		82	91	40	68	22	21	17	18	16	17	29	25	23	19	30	33	22	8	19	19
storage richmond		-	-	26	27	10	14	14	16	17	15	18	-	-	22	25	15	22	13	17	18
storage south yarra		60	12	11	13	11	11	11	11	12	12	11	11	12	16	12	12	12	10	11	13
storage south melbourne		21	26	10	10	8	9	10	10	15	15	16	15	15	16	15	16	16	16	15	16
storage port melbourne		14	32	15	15	14	16	17	19	20	20	20	19	13	55	23	23	27	15	17	18
storage glen iris		-	-	14	14	11	12	12	10	12	11	12	13	-	12	11	8	13	14	11	11
storage hawthorn		-	-	15	16	11	14	18	17	22	20	20	-	19	-	18	18	17	14	16	15
storage canterbury		-	-	61	43	41	25	8	23	10	10	8	8	6	7	6	7	10	8	17	17
storage surrey hills		-	-	10	10	7	9	10	11	9	9	10	10	11	13	12	13	10	6	6	6
storage windsor		-	-	13	14	9	9	9	9	8	8	9	9	-	11	-	11	10	8	10	13
storage kew		-	-	9	9	7	10	8	8	7	9	8	6	6	8	5	7	7	5	8	9
storage carlton		-	-	10	11	10	11	13	13	16	15	17	16	16	16	15	13	13	13	13	14
storage fitzroy		-	-	13	14	10	12	12	13	12	14	10	8	8	16	9	10	12	7	14	13
storage collingwood		-	-	14	13	8	8	9	10	9	10	10	11	11	9	15	14	13	11	11	13
storage malvern		-	-	11	11	12	11	13	15	15	16	15	15	14	15	45	17	17	18	18	18
storage abbotsford		-	-	10	12	9	10	11	11	11	12	11	11	13	13	12	12	10	29	9	9
storage st kilda		-	-	13	14	10	11	12	10	13	13	13	13	13	15	55	14	15	15	14	14
storage armadale		-	-	9	9	7	7	7	7	6	8	8	8	6	7	8	7	8	7	10	12
storage burnley		-	-	9	9	7	5	6	6	7	7	7	7	7	-	7	6	6	5	4	3
storage docklands		-	-	13	12	7	8	9	10	9	11	9	10	8	12	9	9	8	5	6	8
storage prahran		-	-	16	15	12	11	11	12	11	12	12	10	10	12	10	9	9	8	8	8
storage toorak		-	-	8	8	7	9	8	8	9	8	8	8	5	-	6	7	7	7	8	9
furniture removals melbourne		-	62	49	55	32	71	77	92	98	81	-	-	90	-	-	54	56	34	52	26
art storage melbourne		8	8	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	3	2	2
removals and storage melbourne		16	16	12	12	15	13	11	11	19	16	13	16	19	20	19	17	21	21	15	13
climate controlled storage melbourne		-	-	39	42	-	2	2	4	4	3	3	3	3	3	3	4	4	3	3	4
office movers melbourne		-	-	-	-	21	18	25	24	21	19	25	21	-	-	20	40	26	22	18	20
