		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-09	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-12	2024-09-20	2024-10-18	2024-11-14
Denture Clinic Broadmeadows		5	7	6	4	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Denture Implants Broadmeadows		2	3	3	2	4	2	2	3	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Denture Repair Broadmeadows		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Denture Clinic Gladstone Park		3	3	4	3	2	2	5	5	53	2	2	2	1	3	2	3	2	2	2	3	4	3	2	4	1	1	1	1	1	1	1	1	1	1	2	1	1
Denture Implants Gladstone Park		1	3	2	3	4	2	4	4	27	4	5	5	5	5	4	5	1	1	1	2	5	2	3	5	3	2	2	4	4	4	5	4	3	11	4	4	4
Denture Repair Gladstone Park		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Denture Clinic Greenvale		4	4	3	4	3	3	4	3	3	2	3	3	3	3	3	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
Denture Implants Greenvale		5	3	4	7	3	3	3	3	3	3	3	3	3	3	3	3	5	3	3	3	3	3	4	4	4	4	4	5	4	4	4	4	4	4	4	4	5
Denture Repair Greenvale		1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Denture Clinic Meadow Heights		1	1	-	-	1	1	1	1	14	1	17	19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Denture Implants Meadow Heights		3	1	-	-	2	1	2	6	6	2	17	14	3	3	3	-	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Denture Repair Meadow Heights		1	1	-	-	1	1	1	1	4	1	8	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
