		2022-08-18	2022-09-16	2022-10-13	2022-11-17	2022-11-24	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-12	2023-10-13	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
black apron australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	8	8	8	7	3	8	6	5	7	7	7	5	5
kids aprons australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	6	4	6	6	24	9	23	26	23	7	5	4
waitress aprons australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	5	6	7	7	5	6	6	8	7	11	8	7	17
waist aprons australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	11	10	10	9	8	11	13	10	9	10	9	29	9
white apron australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	10	9	9	8	9	11	11	7	13	11	8	7	4
aprons australia		18	15	2	2	1	1	2	1	5	3	4	2	2	3	4	5	5	7	7	6	8	3	6	6	2	5	10	9	2	2
aprons australia online		-	-	7	2	2	1	1	1	3	2	1	1	1	2	2	3	3	4	4	2	2	2	2	1	1	1	1	1	1	2
bib aprons		16	5	5	8	9	22	35	27	21	5	7	7	7	5	16	4	4	6	6	7	6	6	5	7	6	7	8	18	14	10
bib aprons australia		33	15	4	4	5	7	8	7	7	7	4	5	3	4	7	4	4	5	5	4	5	4	4	4	5	5	5	6	4	7
butchers aprons		9	6	5	4	5	7	3	4	4	3	2	1	4	2	2	2	2	2	2	3	1	2	1	1	1	2	1	2	1	2
butchers aprons australia		11	6	3	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chef aprons		-	-	-	-	-	73	-	93	74	36	29	24	10	9	19	12	13	10	22	33	12	-	-	-	47	34	35	52	29	41
chef aprons australia		-	64	16	15	17	14	14	19	27	28	29	22	12	13	20	21	23	16	16	31	11	35	13	18	21	23	11	9	8	15
chef aprons online		-	-	13	15	14	18	18	10	8	9	6	6	8	5	8	5	5	5	5	6	4	4	5	4	4	3	4	4	5	5
cooking aprons		-	-	-	31	27	13	46	19	26	24	17	19	27	-	25	23	25	20	24	15	27	9	31	28	24	25	13	26	14	26
cooking aprons australia		-	59	9	5	5	1	5	5	8	7	5	6	6	8	8	5	5	11	8	12	11	10	11	11	10	8	3	4	3	7
crossover aprons		3	2	6	2	2	11	3	3	3	3	3	4	7	6	4	6	7	4	4	4	4	4	4	5	4	8	4	5	4	5
crossover aprons australia		12	12	2	2	2	3	5	3	3	3	3	3	5	-	3	2	3	1	1	1	4	1	3	3	5	6	4	4	5	5
embroidered aprons australia		67	62	29	24	28	30	41	39	40	23	28	27	20	22	24	23	32	17	20	37	32	29	34	35	22	24	23	29	29	14
kitchen apron		-	-	15	12	12	23	16	13	12	10	11	14	16	26	28	24	23	22	12	12	12	9	7	9	8	18	9	9	9	9
kitchen apron australia		-	72	-	19	20	4	9	9	13	10	8	8	8	9	9	6	7	5	3	8	8	7	8	4	4	12	8	3	7	6
kitchen apron online		-	-	-	4	5	8	8	6	9	8	7	6	6	7	4	2	1	3	3	3	3	1	2	2	1	2	1	1	3	3
personalised apron australia		-	-	-	-	-	-	-	-	-	-	-	-	54	59	64	70	-	23	29	-	71	-	-	-	-	86	74	74	64	-
school aprons australia		59	92	4	4	4	3	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	2	4	5	4	5	2	4
waist apron		42	25	17	27	26	72	57	48	50	50	52	51	30	-	23	28	35	22	23	23	23	22	24	26	19	16	16	19	13	24
