		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-07-20	2022-07-25	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-18	2023-08-17	2023-08-30	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-05	2024-08-06	2024-09-20	2024-10-18	2024-11-14
artificial grass		1	3	1	2	1	1	4	2	11	11	11	11	3	1	3	5	15	9	12	8	7	11	10	8	8	9	8	15	7	10	8	7	9	7	7	5	12	12	10	8
artificial grass installation melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	3	3	2	2	3	3	3	2	4	3	1	1	3	1	2	1
artificial grass melbourne		3	2	1	1	2	2	2	1	1	1	1	1	1	1	1	-	4	3	3	3	3	3	3	4	3	3	3	3	4	4	3	4	3	4	3	3	5	1	4	3
artificial lawn		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	6	7	5	5	1	1	1	1	1	2	1	3	1	2	2	3	13	1
artificial lawn installation		1	1	1	1	1	1	1	1	2	2	2	2	4	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
artificial lawn installation melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
artificial turf		1	1	1	2	1	1	3	1	5	7	7	-	7	7	2	4	10	7	7	7	6	8	7	8	7	6	6	7	9	9	10	9	10	9	10	10	13	9	9	7
artificial turf installation		1	1	1	1	1	1	1	2	4	4	3	1	5	4	3	2	5	1	1	2	2	1	1	-	1	1	1	1	2	2	8	4	8	3	1	2	2	1	1	2
artificial turf installation melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	3	3	3	3	5	3	1	1	2	1	2	2
artificial turf melbourne		1	2	1	1	1	2	2	1	1	1	2	1	2	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	4	4	5	4	5	5	3	5	5	2	7	4
fake grass		2	1	2	3	1	1	4	6	4	2	4	6	2	3	3	2	6	5	5	5	5	6	6	7	7	6	5	5	8	9	10	8	9	9	9	8	8	10	10	6
fake grass melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	2	2	3	3	2	2	3	2	4	3	3	3	2	3	2	3	5	3	4	5
fake grass installation		1	1	1	1	1	1	1	1	4	2	1	1	1	2	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1
fake grass installation melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1
synthetic grass		3	3	3	14	4	3	9	88	18	28	29	11	12	14	22	15	17	15	13	14	12	15	13	9	12	10	9	12	10	10	10	13	17	9	7	46	16	20	21	56
synthetic grass melbourne		5	5	3	4	2	2	3	4	4	4	3	4	4	5	5	4	4	5	5	5	5	4	5	4	4	4	5	5	5	5	6	6	6	7	5	6	8	7	7	7
synthetic grass installation		1	1	1	2	1	1	3	2	7	4	5	7	7	7	6	10	7	4	4	4	4	5	5	5	5	4	6	3	4	4	6	6	5	6	2	4	4	4	1	2
synthetic grass installation melbourne		1	1	2	2	2	1	2	1	1	1	1	1	3	1	1	2	1	2	1	2	2	3	3	3	3	3	2	2	4	3	3	2	3	3	2	1	3	1	3	2
synthetic turf installation melbourne		1	3	4	2	2	2	2	1	1	1	1	1	4	1	2	4	1	1	1	1	1	1	2	3	2	3	2	1	4	4	4	2	2	4	1	1	3	1	2	2
synthetic turf melbourne		5	4	4	5	2	2	2	2	4	3	2	1	3	3	3	4	3	3	4	3	3	3	3	4	3	3	4	4	4	4	7	6	6	6	6	6	6	5	4	5
artificial grass Balwyn		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
artificial grass Brighton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	2	3	2	3	3	2	2	2	2	3	4	3	3	4
artificial grass Doncaster		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	3	3	2	2	1	1	1	1
