		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
children's eye test ashburton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye exam ashburton		1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye exam glen iris		1	1	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	2	2	2	2	3	2	1	1	1	1	1	1	1	1
eye test ashburton		1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye test ashwood		1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye test east malvern		1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2	1	1	1	1	1	2	2	3	3	3	3	3	3	3	3	3	2	4	3	5	5
eye test glen iris		1	1	1	1	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	2	1	1	1	2	1	1	1	1
eyes test burwood		9	9	11	11	10	5	4	5	5	5	4	5	3	4	7	5	2	5	10	10	9	10	10	-	10	9	9	9	9	7	8	17	10	10	6	7	4
eyes test camberwell		7	7	8	9	8	9	9	11	10	10	7	7	7	7	10	11	10	20	10	10	8	9	9	12	12	13	13	13	13	15	17	16	17	15	16	18	16
eyes test mount waverley		1	2	3	1	2	3	3	3	2	2	2	4	3	2	2	2	2	3	2	2	2	1	1	2	1	2	1	3	3	1	1	1	1	3	4	3	3
myopia ashburton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
optician ashburton		1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
optician glen iris		1	2	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	3	3	2	2	1	2	2	1	1	1	1	1	1	1	1
optometrist ashburton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
optometrist ashwood		2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	3	3	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2
optometrist burwood		18	19	20	20	13	16	14	15	14	13	16	12	12	11	19	10	11	17	27	20	12	24	9	6	7	7	10	8	10	10	12	14	14	29	32	34	26
optometrist camberwell		16	13	11	11	11	11	11	10	10	10	10	10	10	10	10	10	10	10	11	12	10	9	10	11	11	12	11	11	11	12	12	15	11	28	29	22	23
optometrist east malvern		3	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4
optometrist glen iris		3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	3	3	2	3	3	3	3	3	3	3	3	2	1	1	1	1	1	3	3	3
optometrist mount waverley		4	4	4	3	3	8	9	9	8	8	8	8	6	5	5	5	4	5	5	5	4	4	4	4	4	4	5	4	6	6	5	3	4	3	4	6	6
