		2022-03-03	2022-04-22	2022-05-18	2022-06-15	2022-06-23	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-14	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-07	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
blocked drains blackburn		-	2	4	3	3	3	4	5	10	6	7	7	27	29	23	26	46	36	25	25	22	5	6	6	7	4	5	3	5	5	3	3	3	3
blocked drains bulleen		-	6	6	7	7	5	5	6	4	7	4	6	7	7	7	3	5	5	9	6	6	4	8	5	6	4	3	4	3	3	5	3	4	9
blocked drains burwood		-	14	15	13	16	16	16	14	13	16	15	14	15	20	19	15	27	21	26	-	10	9	10	12	13	11	10	11	10	7	8	6	77	22
blocked drains doncaster		-	12	12	12	12	14	13	16	16	15	14	17	18	20	18	16	25	18	15	16	11	9	9	7	8	4	6	5	7	4	5	5	5	7
blocked drains forest hills		-	3	3	1	1	2	3	2	2	1	1	4	3	1	1	2	4	1	6	1	7	6	2	5	2	2	1	2	1	6	6	8	7	13
blocked drains glen waverley		-	14	15	9	8	8	8	11	13	14	15	9	10	11	13	19	-	23	10	9	9	8	8	8	10	9	9	8	11	7	10	12	12	16
blocked drains heidelberg		-	13	15	13	14	16	9	12	13	11	6	11	10	9	12	11	13	11	7	6	7	6	6	7	6	6	6	4	4	3	4	2	4	3
blocked drains nunawading		-	3	4	4	4	5	3	5	5	5	3	3	4	3	2	4	3	4	4	3	2	2	3	3	3	1	1	1	2	2	2	2	2	3
blocked drains ringwood		-	-	34	8	9	9	8	9	11	18	14	14	18	15	17	17	23	22	18	8	11	8	9	9	10	6	7	7	4	5	7	7	9	12
blocked drains templestowe		-	17	16	13	14	12	12	17	15	12	12	12	14	16	16	6	11	9	12	6	6	6	5	6	10	7	5	6	6	4	4	4	23	22
hot water service blackburn		-	6	6	6	6	6	5	5	4	7	8	7	6	6	5	5	6	5	3	3	24	11	11	9	9	6	6	4	4	4	6	3	4	5
hot water service bulleen		-	7	6	7	7	7	4	7	8	7	7	7	7	6	7	4	8	4	5	4	5	5	4	5	9	4	3	3	3	4	5	4	4	5
hot water service burwood		-	8	9	12	8	8	10	10	13	13	8	11	13	9	11	11	19	14	10	8	10	7	13	10	10	7	7	7	6	7	12	10	14	12
hot water service doncaster		-	12	10	9	11	9	7	12	12	8	6	8	8	8	11	8	13	10	11	5	8	12	15	9	10	8	8	8	11	12	15	14	21	20
hot water service forest hills		-	3	2	3	3	5	5	6	46	8	9	7	8	2	15	12	27	16	19	11	13	8	11	10	10	7	5	8	7	9	10	11	10	10
hot water service glen waverley		-	8	9	8	9	8	8	11	9	7	7	6	6	6	8	5	8	6	7	3	6	5	6	6	8	5	4	3	5	7	9	8	10	18
hot water service heidelberg		-	9	9	6	6	7	9	9	14	11	13	12	14	14	15	13	21	15	16	9	13	12	17	14	18	12	8	6	11	6	14	9	7	16
hot water service nunawading		-	6	5	3	3	4	4	8	9	7	5	7	7	8	7	8	14	9	8	6	6	6	11	8	13	4	4	5	5	4	6	4	4	5
hot water service ringwood		-	15	16	16	15	15	15	20	19	16	12	15	15	13	13	12	17	12	19	11	14	15	16	16	16	11	10	9	10	10	12	14	16	24
hot water service templestowe		-	11	9	10	9	9	11	12	12	12	7	9	11	12	11	8	13	13	16	9	12	10	14	10	11	7	7	5	7	6	7	7	12	11
blocked drains box hill		-	11	17	7	8	8	8	9	8	9	7	7	7	7	8	7	10	5	5	4	4	3	4	5	4	4	4	4	3	4	7	8	9	16
blocked drains croydon		-	17	16	8	9	7	7	8	13	11	10	10	16	14	14	12	25	9	18	11	11	8	10	8	9	8	9	7	7	4	10	11	12	15
blocked drains kew		-	25	20	27	25	24	11	21	15	19	15	14	18	17	17	17	-	13	19	10	17	14	17	17	20	17	16	18	13	13	91	19	13	22
​blocked drain ivanhoe		-	11	10	6	9	10	10	14	13	12	13	11	11	10	13	12	15	10	15	6	10	7	9	9	10	9	9	6	5	5	6	6	7	7
blocked drains bayswater		-	15	13	9	8	8	8	8	7	7	8	7	7	7	7	5	9	3	5	3	4	4	4	4	5	5	5	5	4	4	5	4	4	6
blocked drains mornington peninsula		-	8	8	6	9	8	6	8	8	11	15	12	12	16	16	11	17	15	16	12	14	13	17	6	6	6	6	5	5	6	7	7	7	7
hot water service box hill		-	7	6	5	7	8	8	8	10	7	6	9	7	6	10	8	16	8	13	7	10	10	14	20	13	7	9	6	7	6	7	10	13	18
hot water service croydon		-	8	7	8	7	6	5	10	9	8	7	4	6	6	8	6	6	10	8	4	5	4	5	5	6	6	4	5	4	5	7	7	6	8
hot water service bayswater		-	7	6	6	7	8	7	13	20	15	12	9	10	10	10	11	10	10	16	12	9	13	14	15	15	11	8	6	6	7	8	9	16	17
hot water service mornington peninsula		-	18	17	15	15	14	13	20	22	29	27	23	27	20	19	15	20	16	16	6	12	11	19	19	20	11	9	7	5	5	7	8	8	16
plumber mt eliza		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	84	15	16	18	16	17	14	11	11	8	8	6	6	3	4
plumber mt martha		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	19	24	24	23	22	19	36	16	20	31	28	22	22
plumber langwarrin		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29	23	22	23	24	19	16	19	31	23	32	33	43	37
plumber tyabb		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	10	10	10	11	8	8	9	9	9	13	11	12	13
plumber dromana		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34	29	20	20	21	36	20	18	20	18	16	15	22	20
plumber hastings		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	12	11	11	13	10	7	7	6	8	8	9	9	22
plumber rosebud		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	18	21	26	25	22	20	19	21	18	32	33	27	32
plumber frankston		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40	30	30	33	37	27	-	32	59	61	73	83	51	56
plumber moorooduc		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	2	4	4	3	3	3	4	5	4	3	3	4	9
plumber somerville		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29	24	24	28	23	39	15	22	16	15	17	14	14	15
blocked drains mt eliza		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30	5	1	1	1	1	1	1	1	1	1	2	1	2	2
blocked drains mt martha		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40	4	1	1	4	1	1	4	4	1	2	3	1	4	4
blocked drains langwarrin		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	6	8	5	6	5	1	3	2	2	3	4	7	6
blocked drains tyabb		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	60	4	3	1	1	1	1	2	2	2	1	2	1	1	1
blocked drains dromana		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	1	6	6	7	4	2	1	1	1	2	1	1	2
blocked drains hastings		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	3	4	3	5	2	2	2	2	2	3	1	3	10
blocked drains rosebud		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55	4	4	4	3	4	3	2	2	2	2	2	2	2	5
blocked drains frankston		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36	36	41	42	59	75	51	33	7	7	15	18	27	24
blocked drains moorooduc		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	93	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blocked drains somerville		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	4	4	5	4	4	4	3	3	3	3	4	4
hot water service mt eliza		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	7	7	9	8	8	4	1	3	3	2	5	1	1	9
hot water service mt martha		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33	7	1	1	1	1	1	1	3	3	3	4	3	4	6
hot water service langwarrin		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	11	15	12	10	10	10	9	8	8	11	10	13	15
hot water service tyabb		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2	3	2	1	1	2	5	3	7	4
