		2023-09-05	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-01	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-17	2024-08-15	2024-08-29	2024-09-20	2024-10-18	2024-11-14
roof restoration portsea		25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
roof restoration crib point		74	3	3	2	2	1	1	2	2	2	1	2	2	2	2	2
roof restoration dromana		-	2	2	4	5	4	1	1	1	1	1	2	1	1	1	2
roof restoration frankston		33	18	13	12	8	9	10	8	8	11	11	12	13	12	14	13
roof restoration hastings		15	2	2	1	3	4	1	1	1	1	1	1	1	1	1	1
roof restoration langwarrin		32	27	13	11	7	8	8	2	2	2	2	2	2	3	2	3
roof restoration mornington peninsula		7	3	3	2	2	3	2	2	1	1	2	2	2	1	1	1
roof restoration mount eliza		53	10	9	8	4	4	10	7	5	2	3	3	6	3	2	2
roof restoration mount martha		38	8	8	4	2	2	2	3	2	1	1	1	1	1	2	2
roof restoration rosebud		20	10	2	2	2	2	2	2	1	2	2	2	2	1	1	1
roof restoration rye		17	3	7	1	7	4	6	1	3	2	1	3	1	1	1	1
roof restoration seaford		28	11	11	8	12	11	6	6	8	5	6	8	8	6	5	3
roof restoration somerville		7	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
roof restoration sorrento		19	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1
roof restoration tyabb		17	1	1	1	4	3	2	1	1	1	1	1	1	1	1	1
gutter replacement portsea		7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gutter replacement crib point		23	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
gutter replacement dromana		-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gutter replacement frankston		23	3	5	4	5	5	6	6	6	4	4	5	6	5	5	5
gutter replacement hastings		19	7	3	3	3	3	2	1	1	2	1	1	1	1	-	2
gutter replacement langwarrin		-	3	3	3	3	5	2	2	2	2	2	2	2	2	1	2
gutter replacement mornington peninsula		44	3	2	1	1	2	1	1	1	1	1	1	1	1	1	1
gutter replacement mount eliza		48	2	2	3	3	3	2	2	2	2	2	3	2	1	1	1
gutter replacement mount martha		53	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
gutter replacement rosebud		26	6	4	3	3	3	2	2	1	2	1	1	1	1	1	1
gutter replacement rye		-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gutter replacement seaford		9	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1
gutter replacement somerville		15	1	1	1	2	2	1	1	2	1	1	2	2	1	1	1
gutter replacement sorrento		17	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1
gutter replacement tyabb		12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
house cleaning crib point		-	30	6	5	7	7	6	7	1	1	2	2	2	1	2	2
house cleaning dromana		36	11	11	11	11	13	13	11	10	10	11	11	8	7	7	9
house cleaning frankston		-	-	-	25	25	28	26	25	24	19	17	19	19	11	18	18
house cleaning hastings		21	12	13	11	12	13	12	11	10	10	9	8	8	7	5	11
house cleaning langwarrin		-	11	10	10	11	13	11	10	9	8	9	7	7	7	7	9
house cleaning mornington peninsula		-	69	71	31	34	38	31	29	31	22	20	27	24	23	23	23
house cleaning mount eliza		-	13	14	14	17	16	13	13	13	13	14	13	12	9	11	11
house cleaning mount martha		-	14	13	13	12	14	14	13	12	14	12	12	12	11	11	12
house cleaning portsea		-	13	13	13	13	13	11	1	6	6	6	9	9	5	7	6
house cleaning rosebud		-	58	57	49	63	49	18	13	10	11	11	12	11	10	8	9
house cleaning rye		-	12	9	10	11	11	7	8	8	5	6	5	10	5	6	8
house cleaning seaford		-	14	12	13	12	14	8	9	8	8	6	9	9	10	77	14
house cleaning somerville		-	77	74	9	9	9	9	8	8	8	8	8	8	5	53	8
house cleaning sorrento		-	63	72	11	14	15	14	18	13	12	15	11	7	4	5	7
house cleaning tyabb		43	29	35	8	9	9	8	8	7	6	5	6	6	5	5	1
house painting crib point		46	5	1	1	1	1	3	1	1	1	1	2	2	2	2	2
house painting dromana		74	28	23	6	7	8	5	6	5	4	4	4	6	2	4	3
house painting frankston		45	17	19	14	22	21	16	12	12	10	11	16	13	8	6	8
house painting hastings		-	7	8	6	7	7	5	5	5	7	2	2	2	2	5	9
house painting langwarrin		53	8	6	6	6	6	6	4	3	1	1	1	1	1	1	1
house painting mornington peninsula		50	17	20	16	20	20	10	10	8	5	7	8	10	9	11	13
house painting mount eliza		26	11	13	11	10	13	12	9	8	8	11	12	9	7	9	11
house painting mount martha		55	19	21	10	14	16	6	5	2	3	2	2	3	2	2	6
house painting portsea		89	5	5	4	4	7	4	3	3	1	1	1	1	1	1	2
house painting rosebud		25	12	9	9	11	12	9	6	4	4	5	8	7	6	4	5
house painting rye		22	11	14	12	16	14	4	5	4	4	6	6	8	3	4	6
house painting seaford		86	6	25	6	8	12	6	6	4	4	4	5	6	5	5	15
house painting somerville		74	5	6	6	6	7	3	3	3	3	3	3	2	1	3	2
house painting sorrento		92	6	5	3	3	2	3	2	2	2	2	2	2	2	1	3
house painting tyabb		-	1	1	2	2	5	1	1	1	1	1	1	1	1	1	1
roof restoration arthurs seat		-	-	-	-	-	-	-	-	-	-	-	-	15	14	1	1
roof restoration balnarring		-	-	-	-	-	-	-	-	-	-	-	-	60	39	1	1
roof restoration baxter		-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	5
roof restoration bittern		-	-	-	-	-	-	-	-	-	-	-	-	47	50	1	1
roof restoration blairgowrie		-	-	-	-	-	-	-	-	-	-	-	-	76	63	1	1
roof restoration cape schanck		-	-	-	-	-	-	-	-	-	-	-	-	9	10	1	1
roof restoration point leo		-	-	-	-	-	-	-	-	-	-	-	-	25	23	1	1
roof restoration merricks north		-	-	-	-	-	-	-	-	-	-	-	-	23	22	2	1
