		2024-04-16	2024-05-16	2024-05-28	2024-05-31	2024-06-13	2024-07-09	2024-08-16	2024-09-20	2024-10-29	2024-11-14
building supplies australia		3	3	16	17	18	13	6	9	20	19
building supplies ballarat		-	-	-	44	69	65	61	36	44	10
building supplies bendigo		14	15	52	9	13	8	7	8	10	9
building supplies geelong		-	-	-	17	92	86	53	50	80	71
building supplies melbourne		-	-	-	33	-	-	26	31	30	29
building supplies shepparton		-	-	-	13	54	58	44	46	42	17
concrete sealers australia		78	-	59	53	15	18	20	16	20	18
construction materials australia		-	-	-	-	44	46	67	81	50	73
electric fencing products australia		40	33	37	37	13	12	9	9	8	10
farm fencing australia		83	49	25	24	5	6	1	1	1	2
farm fencing ballarat		-	-	48	16	41	39	6	3	4	9
farm fencing bendigo		-	-	-	12	-	18	4	4	3	3
farm fencing geelong		-	-	55	8	57	29	14	11	12	9
farm fencing melbourne		52	39	42	13	41	9	11	5	8	10
farm fencing victoria		-	-	18	20	28	20	9	3	3	12
fencing products australia		5	8	13	6	4	5	5	4	6	6
fencing products melbourne		-	-	20	-	-	80	86	15	26	24
pool fencing supplies melbourne		-	-	-	-	-	-	-	-	-	-
rural fencing victoria		-	-	-	31	32	21	20	5	4	4
security fencing installations victoria		-	-	-	29	20	22	18	19	24	25
star pickets australia		6	5	6	6	5	6	10	10	5	8
star pickets ballarat		25	25	26	4	13	11	5	3	3	4
star pickets bendigo		31	61	41	3	12	12	2	2	1	1
star pickets geelong		-	75	70	3	15	14	2	2	2	3
star pickets melbourne		-	-	62	13	20	18	13	6	4	4
star pickets victoria		4	5	4	3	4	7	5	4	6	3
