		2021-11-18	2021-11-30	2022-04-23	2022-07-19	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-07-14	2023-07-17	2023-08-17	2023-09-15	2023-10-17	2023-11-14	2023-11-22	2023-12-14	2024-01-19	2024-02-15	2024-02-28	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-09-26	2024-10-18	2024-11-14
american barn		10	10	5	9	11	11	12	10	9	11	6	6	7	9	6	8	7	10	10	10	11	11	11	12	11	11	10	11	12	11	17	10	17
american barns		11	11	9	11	12	11	11	12	-	11	6	5	5	5	8	10	9	10	10	11	10	12	11	11	12	13	6	10	10	10	9	9	12
american barns melbourne		7	6	6	7	11	10	10	11	9	13	10	13	12	12	13	12	11	12	14	14	15	11	10	15	11	10	10	10	9	11	11	11	11
american sheds		7	8	4	7	12	10	9	8	7	9	6	5	8	8	9	11	9	9	10	11	9	9	12	11	10	11	11	10	12	9	15	8	8
american style barn		7	7	6	8	12	6	6	7	7	7	4	5	4	3	7	8	9	7	8	8	8	9	9	9	7	8	8	10	11	13	11	11	13
aussie barn shed		5	5	3	5	5	5	5	5	3	4	3	4	3	3	6	5	6	7	5	4	3	4	4	3	4	5	3	4	3	3	3	5	4
aussie barns		6	5	1	3	2	2	2	3	1	2	1	1	1	1	1	2	1	1	4	3	1	3	2	1	1	1	1	1	1	1	1	1	1
aussie garages		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
aussie garden sheds		7	6	9	8	9	12	9	12	14	7	11	12	12	10	8	8	5	7	5	5	6	7	7	9	8	8	6	1	1	3	3	6	9
aussie made sheds		3	3	2	2	2	2	2	-	2	2	2	2	3	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3
aussie sheds		3	3	4	3	3	4	5	3	4	3	5	4	4	4	4	4	3	2	2	2	2	2	3	2	2	2	2	3	2	2	2	2	2
aussie sheds and garages		1	2	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
barn shed		12	11	2	7	7	8	10	9	8	11	3	6	9	8	8	4	6	5	5	5	5	4	6	4	5	15	5	3	1	1	5	57	5
barn shed kits		-	14	8	8	60	8	7	6	10	4	7	7	8	8	8	9	10	9	5	5	4	5	4	4	3	1	2	1	1	1	2	3	27
barn sheds		15	15	5	10	9	7	9	8	8	11	6	5	5	5	5	5	5	19	13	12	6	15	12	14	17	9	5	3	1	2	1	1	26
barn sheds melbourne		2	2	3	4	4	4	4	4	3	3	3	5	5	5	5	5	7	7	7	6	5	7	7	8	11	4	5	5	3	4	4	3	3
