		2024-06-11	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Caravans Albury		-	-	14	17	20	19
Caravans Wodonga		-	-	6	9	12	12
Caravans Mansfield		-	-	4	7	4	2
Caravans Shepparton		-	-	10	22	9	10
Caravans Wangaratta		-	88	8	18	17	11
Caravans Oxley		2	1	1	1	1	1
Caravans Bendigo		-	-	18	24	25	24
Caravans Echuca		-	-	7	7	8	9
Caravans Moama		-	-	16	16	17	19
Caravans Denliquin		-	-	8	11	9	9
Caravans Wagga Wagga		-	-	13	12	13	13
Caravans Tumbarumba		-	-	6	7	8	8
Caravans Falls Creek		-	-	5	5	5	5
Caravans Yarrawonga		-	-	12	23	15	15
Caravans Benalla		-	-	3	3	3	2
Caravans Mount Beauty		-	-	7	5	4	4
Caravan Storage Wangaratta		9	4	2	2	2	2
Caravan Storage Oxley		3	2	3	3	3	3
Caravan Storage Myrtleford		-	7	3	2	2	3
Caravan Accessories Albury		-	-	7	7	7	8
Caravan Accessories Wodonga		-	-	4	5	5	4
Caravan Accessories Shepparton		-	-	4	4	3	4
Caravan Accessories Wangaratta		-	-	3	3	3	4
Caravan Accessories Oxley		7	2	1	1	1	1
Caravan Accessories Yarrawonga		-	-	4	4	5	4
Caravan Accessories Myrtleford		-	-	2	2	-	2
Caravan Accessories Bright		-	-	4	2	2	2
Caravan Accessories Yackandandah		-	-	1	1	1	1
Caravan Accessories Benalla		-	-	2	2	2	2
Caravan Accessories Beechworth		-	-	2	2	2	2
Caravan Accessories Buckland Valley		-	-	1	1	1	1
Caravan Accessories Kiewa Valley		-	-	1	1	1	1
Caravan Accessories Mitta Valley		-	-	1	1	1	1
Caravan Accessories Mount Beauty		-	-	1	1	1	1
Caravan Accessories Bundalong		-	-	1	1	1	1
Caravan Accessories Chiltern		-	-	1	1	1	1
Campers Wangaratta		18	3	2	2	3	3
Campers Oxley		2	1	1	1	1	1
Caravan Repairs Euroa		-	-	3	4	6	6
Caravan Repairs Mansfield		-	-	4	3	3	2
Caravan Repairs Wangaratta		72	40	7	9	9	8
Caravan Repairs Oxley		3	2	1	1	1	1
Caravan Repairs Yarrawonga		-	-	7	5	3	2
Caravan Repairs Myrtleford		-	-	4	4	4	1
Caravan Repairs Bright		-	-	3	2	2	2
Caravan Repairs Yackandandah		-	-	1	1	1	1
Caravan Repairs Benalla		-	-	5	4	4	3
Caravan Repairs Beechworth		-	-	3	3	2	1
Caravan Repairs Buckland Valley		-	-	1	1	1	1
Caravan Repairs Kiewa Valley		-	-	1	1	1	1
Caravan Repairs Mitta Valley		-	-	1	1	1	1
Caravan Repairs Mount Beauty		-	-	1	1	2	1
Caravan Repairs Bundalong		-	-	1	1	1	1
Caravan Repairs Chiltern		-	-	1	2	2	2
Motorhome Repairs Wangaratta		59	32	1	3	2	1
Motorhome Repairs Myrtleford		-	-	3	2	2	1
Horse Float Repairs Wangaratta		32	22	1	1	1	1
Horse Float Repairs Myrtleford		-	-	1	1	1	1
Camper Repairs Wangaratta		45	23	1	5	9	6
Camper Repairs Myrtleford		-	-	1	2	1	1
