		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-06	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
logbook service dulwich hill		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1
logbook service enmore		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2
logbook service newtown		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	2	5	2
logbook service stanmore		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mechanic dulwich hill		9	7	9	7	8	8	9	8	8	7	5	5	5	3	4	5	5	5	5	5	7	8	6	4	5	4	7	3	7	8	9	8	8	8	7	7	6
mechanic enmore		4	4	4	8	8	4	4	5	5	6	6	4	6	6	10	11	5	11	15	15	10	14	11	9	9	6	6	5	7	7	7	9	10	10	8	8	7
mechanic haberfield		7	7	9	10	12	10	9	9	11	10	7	8	6	7	10	10	8	7	7	9	4	7	6	6	4	4	6	5	5	5	7	4	3	2	1	1	1
mechanic newtown		5	8	9	8	8	9	10	10	11	10	8	9	9	9	9	9	9	12	11	17	16	13	12	6	13	15	16	8	8	8	9	15	8	11	12	7	9
mechanic stanmore		2	2	2	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1
pink slip dulwich hill		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3
pink slip haberfield		2	2	2	2	2	3	3	3	3	3	3	3	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pink slip newtown		5	6	4	4	4	3	3	3	3	2	2	3	3	4	3	4	2	3	3	4	3	3	4	3	2	2	1	1	2	2	3	2	2	3	4	4	4
pink slip stanmore		2	2	2	2	2	3	2	2	2	2	3	3	3	2	2	2	2	2	3	3	3	3	3	3	3	2	1	1	1	1	2	1	1	1	1	1	1
truck inspection dulwich hill		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	4	3	2	2	2	2	2
truck inspection enmore		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
truck inspection marrickville		5	5	5	5	5	5	4	4	3	5	4	4	3	3	2	2	3	3	4	4	5	4	4	3	2	3	3	3	3	4	4	3	3	4	6	4	4
truck inspection newtown		1	1	1	1	1	2	1	2	2	2	2	2	1	1	3	3	2	4	3	3	3	3	2	2	2	2	2	1	1	1	1	1	1	1	3	3	3
truck repairs dulwich hill		1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
truck repairs newtown		2	1	2	3	2	2	2	3	3	2	3	2	2	2	3	3	2	2	2	2	3	3	5	2	1	1	1	1	1	1	2	2	1	2	2	1	1
truck repairs stanmore		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
truck service leichhardt		8	4	5	3	9	7	3	8	6	10	7	7	4	6	2	2	3	5	8	9	-	5	4	3	45	2	2	2	1	1	1	1	1	1	2	2	2
truck service marrickville		5	4	3	3	3	3	4	3	5	5	5	5	4	5	3	3	3	3	4	-	39	-	62	5	53	30	7	8	7	6	7	8	7	7	7	6	6
truck service newtown		1	1	1	1	1	1	1	1	1	2	3	2	1	1	1	2	2	4	3	2	2	3	2	1	1	1	1	1	1	1	1	1	1	1	9	4	1
truck service petersham		2	2	1	1	1	1	1	1	2	3	3	1	3	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
truck service stanmore		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
car repairs leichhardt		4	5	6	7	6	6	6	4	4	6	6	7	8	9	12	12	12	13	13	11	11	7	9	4	4	4	5	5	4	4	4	3	5	9	9	12	9
car repairs petersham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
car service marrickville		10	8	9	9	10	6	6	6	8	8	7	7	8	15	13	13	13	15	15	13	17	17	17	17	16	16	17	16	16	17	16	18	17	21	18	15	21
car service petersham		1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1
logbook service leichhardt		1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	2	2	1	2	2	2	2	2	2	1	2	2	1	1	1	1	5	2	2
logbook service marrickville		6	5	9	8	7	6	7	6	7	8	7	7	8	7	8	9	9	17	20	10	8	11	8	7	7	6	7	7	13	13	15	14	14	14	12	14	13
logbook service petersham		5	6	3	3	4	1	2	2	3	3	3	3	1	2	2	2	3	4	4	4	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mechanic leichhardt		2	5	7	7	8	3	6	8	7	6	9	8	7	10	11	12	12	12	12	12	8	7	5	4	4	4	4	5	4	4	3	3	4	4	5	7	8
