		2021-11-18	2021-12-06	2021-12-20	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-17	2024-08-16	2024-09-20	2024-10-29	2024-11-14
electrician berwick		11	14	12	13	14	14	7	10	10	12	12	16	15	15	14	13	11	23	21	28	39	36	20	13	14	12	25	31	26	23	23	27	22	15	17	17	23	24
electrician carrum downs		11	12	12	13	17	18	10	11	10	7	5	8	7	5	6	5	6	10	13	13	18	16	19	11	14	10	14	14	21	30	-	31	33	18	23	25	24	23
electrician chelsea		3	3	3	3	3	3	2	2	3	3	3	3	5	7	8	9	9	16	19	20	25	19	22	11	12	10	11	13	17	17	16	13	8	7	22	20	16	12
electrician clyde		-	-	15	12	12	12	9	8	10	10	12	12	13	11	9	9	8	15	13	12	12	11	11	10	14	11	11	15	12	55	15	16	19	10	8	8	8	11
electrician clyde north		18	17	19	17	14	13	9	10	10	10	11	11	12	11	9	10	10	13	13	13	13	14	15	12	13	12	14	17	14	17	15	16	15	12	7	7	8	9
electrician cranbourne		12	14	14	13	14	17	13	24	23	21	18	18	16	16	10	13	14	31	21	21	22	34	28	34	38	14	13	15	17	18	48	44	50	42	44	35	45	45
electrician frankston		21	21	22	16	23	21	17	18	27	32	22	20	22	27	20	22	25	29	24	27	30	32	16	36	37	19	18	19	24	27	-	29	34	31	43	36	47	40
electrician hastings		12	15	16	15	28	13	9	10	10	8	76	9	10	9	7	9	16	13	12	11	11	13	13	12	10	8	8	9	13	12	8	10	11	8	18	22	14	14
electrician langwarrin		15	16	18	16	14	15	11	11	11	11	14	14	15	13	14	16	14	20	17	19	20	29	28	18	18	18	14	11	12	9	10	11	20	18	11	11	15	14
electrician mornington		29	32	31	23	33	22	23	21	19	27	25	23	27	29	21	21	26	55	55	52	49	43	40	33	31	24	22	26	29	30	27	26	35	27	26	23	19	20
electrician mornington peninsula		27	28	29	25	30	25	19	17	21	21	19	26	23	23	22	23	21	44	41	37	39	41	29	25	29	25	25	23	28	32	20	21	31	29	31	23	19	19
electrician mount eliza		11	10	9	8	10	10	9	8	12	12	12	12	13	14	13	11	11	17	16	17	18	18	16	15	18	15	14	15	15	12	13	8	10	10	11	10	9	10
electrician officer		10	15	16	10	10	8	4	7	5	9	10	11	10	6	5	5	3	4	5	4	4	6	6	3	4	9	5	6	4	11	10	7	21	12	12	12	22	23
electrician pakenham		14	14	16	18	18	20	15	13	17	17	13	15	17	20	18	16	16	36	38	35	35	36	43	37	31	19	22	27	27	27	29	20	16	13	15	18	17	15
electrician patterson lakes		11	10	10	10	10	11	7	7	9	9	6	10	9	9	9	11	9	17	15	16	16	14	16	13	10	12	11	13	11	14	11	9	8	7	10	14	13	11
electrician rosebud		15	19	19	20	22	20	11	12	13	13	13	14	16	16	17	12	13	18	20	20	23	24	26	16	11	10	10	11	16	10	11	11	11	9	12	13	12	11
electrician skye		10	12	10	9	9	8	6	6	6	6	5	9	9	9	8	9	7	9	11	11	11	13	14	8	8	9	9	10	11	12	10	8	11	8	12	15	11	12
electrical contractors berwick		2	5	3	5	5	4	4	5	7	8	8	11	11	10	12	11	4	14	17	15	26	23	14	8	13	9	15	14	16	17	9	12	10	8	11	12	15	14
electrical contractors carrum downs		-	-	20	14	13	17	10	11	10	5	4	5	5	5	5	5	4	8	9	11	14	10	9	7	8	8	11	9	12	18	18	19	16	18	23	18	25	22
electrical contractors chelsea		-	-	6	5	3	3	3	3	3	3	3	6	3	3	3	3	4	8	8	8	11	10	12	7	10	9	9	10	12	12	12	11	13	9	13	13	13	10
electrical contractors clyde		7	16	7	7	9	7	4	3	3	5	4	5	4	4	4	3	2	10	11	11	8	9	3	2	3	4	5	5	5	6	3	5	5	3	5	5	5	5
electrical contractors clyde north		-	-	14	12	12	11	8	7	7	7	7	7	8	6	8	8	7	12	14	13	13	9	-	7	6	5	5	7	8	7	8	7	13	5	6	5	6	7
electrical contractors cranbourne		-	-	13	17	13	14	9	11	11	9	9	10	11	9	6	8	8	14	12	13	18	13	14	12	13	13	12	20	19	16	19	23	20	27	23	17	22	12
