		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
bricklayer malvern		2	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
bricklayer box hill		4	3	3	3	3	3	3	3	3	3	1	1	1	2	1	1	2	1	2	1	1	2	1	1	2	2	2	2	2	2	2	2	3	2	2	2	2
bricklayer prahran		1	1	2	2	2	4	4	2	4	3	4	3	3	3	3	3	3	3	2	3	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3
bricklayer st kilda		5	5	4	5	4	4	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1
bricklayer doncaster		4	4	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1
bricklayer camberwell		2	3	2	3	2	3	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
bricklayer hawthorn		3	2	1	2	3	2	1	1	1	1	1	1	1	1	2	1	3	3	3	3	3	1	2	4	3	3	2	2	4	4	4	3	3	4	4	4	4
bricklayer south yarra		2	4	2	4	4	1	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	1
bricklayer richmond		4	2	3	4	3	4	4	5	4	3	5	4	4	5	3	5	5	4	4	4	4	4	4	3	1	1	1	1	1	2	2	2	2	2	3	2	3
bricklayer preston		3	4	4	5	5	4	2	2	2	1	3	3	2	2	2	1	1	7	8	7	5	3	2	1	3	3	2	2	1	1	1	2	3	3	3	3	3
bricklayer ivanhoe		3	3	3	3	3	1	2	1	1	1	2	2	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1
bricklayer kew		4	4	6	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	3	3	3	3
bricklayer thornbury		1	3	4	6	5	3	4	3	3	3	2	3	3	2	2	2	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3
bricklayer canterbury		3	3	8	9	8	8	8	6	6	6	7	6	1	5	1	6	15	16	7	9	5	6	6	4	5	4	4	5	5	3	3	3	8	4	3	4	2
bricklayer collingwood		2	2	3	3	2	3	2	2	3	3	8	7	10	9	10	2	2	2	2	2	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	3
brick fence malvern		1	2	1	2	2	3	2	2	1	4	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	2	2	2	2	2	2	2	2	3	3
brick fence box hill		2	1	1	2	3	3	3	4	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
brick fence prahran		4	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
brick fence st kilda		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
brick fence doncaster		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
brick fence camberwell		1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
brick fence hawthorn		3	2	2	3	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
brick fence south yarra		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1
brick fence richmond		1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	4	3	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
brick fence preston		3	3	1	2	2	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1
brick fence ivanhoe		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
brick fence kew		1	2	1	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
brick fence thornbury		2	2	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	3	3	3	3	3	3	3	2
brick fence canterbury		2	2	10	11	12	13	15	11	11	13	14	12	1	9	1	15	13	-	25	8	8	10	12	7	14	6	6	1	1	1	1	1	1	1	1	11	1
brick fence collingwood		3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
