		2021-11-18	2021-11-26	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-08	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
barrisol		4	2	4	3	2	2	2	3	2	3	2	2	2	2	2	2	2	2	2	2	3	3	3	2	2	2	2	2	2	2	2	2	3	2	3	2	3	2
barrisol acoustic		12	11	13	6	5	5	7	9	9	3	4	12	6	-	12	10	11	13	15	14	14	20	21	19	15	17	8	5	5	5	5	4	6	6	6	6	5	4
barrisol acoustic melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
barrisol australia		4	4	4	3	2	3	4	4	2	3	3	3	3	3	3	2	2	2	3	3	3	3	3	3	3	2	2	2	2	3	3	3	2	2	2	2	2	2
barrisol hobart		1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	3	2	3	3	2
barrisol ceiling		13	17	9	6	11	4	6	4	3	4	2	3	3	7	16	6	6	10	6	8	8	6	7	4	3	3	5	5	5	5	12	10	12	8	7	8	7	8
barrisol ceiling melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2
barrisol ceilings melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	3	2	2	2	2	2	2	2	2	2	2
barrisol installer		17	16	18	3	4	6	2	7	7	2	2	2	6	16	7	2	10	11	17	16	18	10	18	16	4	5	4	8	7	8	8	7	8	9	8	6	7	8
barrisol installer melbourne		2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	2	2	2	2	2
barrisol lighting		16	18	15	16	16	15	9	8	7	16	9	11	8	15	13	9	5	10	9	9	10	7	12	13	11	11	7	16	3	5	17	12	7	6	3	6	4	34
barrisol lighting melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
barrisol melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
barrisol supplier melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
barrisol vic		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
stretch ceiling		-	-	24	12	28	18	16	17	22	20	26	28	26	25	-	44	56	71	39	31	34	43	35	20	14	46	47	64	63	46	56	51	-	76	24	23	28	31
stretch ceiling melbourne		5	3	5	3	2	3	1	1	1	2	2	2	1	2	9	2	3	3	2	2	3	5	5	5	6	7	7	7	8	8	6	7	8	8	5	6	7	6
barrisol stretch ceiling		17	16	8	10	10	8	7	10	9	12	-	9	9	17	17	14	18	22	13	14	15	13	15	16	16	9	10	11	10	12	21	20	9	12	9	13	11	10
barrisol stretch ceiling melbourne		2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	2	3	2	2	3	3	3	2	2	2	2
barrisol provider		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
