		2021-11-18	2021-12-16	2022-01-20	2022-01-30	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Bullbars Sydney		29	24	28	28	28	23	31	16	10	18	22	16	19	11	71	14	16	16	17	18	21	16	15	17	18	15	25	26	25	22	25	28	18	15	17	18	18	23
Bullbars Melbourne		13	16	13	11	12	12	11	10	10	12	8	11	16	13	12	14	19	18	14	16	12	14	13	13	15	13	18	19	18	18	11	14	8	7	12	7	10	11
Bullbars Brisbane		27	22	26	38	40	31	38	40	25	19	31	17	16	23	33	39	43	24	28	24	25	23	23	19	19	23	25	30	29	21	20	24	18	23	22	26	31	30
Bullbars Perth		24	28	26	26	31	41	33	35	32	39	38	35	40	-	46	34	33	35	31	31	27	23	22	25	24	23	23	29	31	-	31	41	55	28	29	38	46	39
Bull Bar Repairs		2	2	1	2	2	3	2	2	1	6	16	6	6	8	8	6	2	5	5	3	4	4	3	3	3	2	2	3	4	4	2	4	2	2	3	2	2	2
Truck Bumper Bars		19	17	18	16	14	12	11	11	13	17	15	7	14	10	7	18	13	12	9	10	10	12	13	14	13	11	13	19	16	12	12	15	9	16	15	12	11	12
Truck Bullbars		15	14	14	16	14	17	20	17	13	20	20	12	19	25	27	19	17	10	14	11	22	21	19	21	14	20	41	47	16	34	23	22	25	10	23	20	26	27
Custom Made Bullbars		1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
Ute Sports Bars		8	8	10	10	11	10	11	12	10	11	14	13	16	15	17	13	4	9	9	10	7	5	5	4	4	5	7	7	8	6	10	29	21	14	16	23	26	48
Ute Ladder Racks		11	19	31	22	16	25	10	14	20	27	24	17	14	13	19	27	32	30	26	33	27	23	21	23	16	19	15	15	19	20	19	18	18	50	40	44	35	44
Ute Ladder Bars		6	7	4	6	3	4	6	6	4	5	5	4	5	5	6	8	5	5	4	7	5	4	11	12	15	11	11	16	16	17	16	19	16	14	15	14	23	23
Ute Racks		31	37	33	36	30	21	23	28	19	37	55	37	30	27	64	50	63	58	55	43	42	27	26	27	32	24	22	32	48	31	29	30	35	-	96	-	-	84
Custom Ute Racks		15	53	54	37	42	30	11	11	9	16	24	17	22	17	17	14	21	47	53	18	88	30	9	21	13	66	65	84	93	86	92	-	-	-	-	96	69	-
Aluminium Bull Bars		11	21	10	11	12	10	10	10	41	10	11	10	10	51	54	48	54	56	64	65	43	40	36	34	42	47	89	83	86	73	79	87	69	-	-	-	-	-
Roof Racks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55	-	-	-	-	85	82	81	-	58	89	-	-	-	-	-
