		2022-05-25	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-03-20	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
tree pruning sale		3	2	4	4	4	4	4	3	3	4	3	7	3	4	5	2	3	2	3	3	2	2	2	1	2	2	3	4	3	4	3	1
tree pruning bairnsdale		7	7	6	6	5	3	3	3	3	4	3	4	4	3	3	2	1	1	1	2	1	1	1	1	1	2	2	2	2	4	3	3
tree pruning ferntree gully		17	16	13	12	10	11	10	9	9	9	14	10	9	9	9	8	8	5	5	4	4	1	4	4	1	1	8	6	7	10	8	10
tree pruning lakes entrance		1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	2	2	3	2	2	2	2	3	3
tree pruning lilydale		4	2	4	4	4	4	4	4	3	4	5	3	6	5	5	4	4	3	4	3	3	3	3	3	3	3	3	3	3	3	5	7
tree pruning mallacoota		1	2	2	1	1	1	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
tree pruning orbost		1	2	1	1	2	1	1	1	2	1	2	3	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
tree pruning ringwood		16	13	13	13	8	8	8	9	8	7	9	10	13	10	9	6	8	6	7	13	9	8	17	11	16	15	20	19	18	15	16	17
tree pruning rowville		8	8	8	9	9	8	8	7	8	8	12	13	13	8	11	8	5	6	6	5	5	6	6	7	7	7	5	8	10	18	9	9
tree pruning wantirna		10	11	13	10	11	11	10	9	9	10	10	11	26	10	13	15	9	9	11	8	11	12	10	9	11	13	15	16	17	17	18	16
tree removal bairnsdale		8	8	6	6	6	5	4	4	5	3	1	3	3	3	3	3	1	1	1	1	1	1	1	2	2	2	2	2	2	3	3	4
tree removal ferntree gully		25	24	15	15	12	12	9	8	9	9	10	10	10	9	9	9	9	5	4	4	4	4	4	4	4	4	5	4	4	7	7	11
tree removal lakes entrance		1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	3	2	3
tree removal lilydale		4	4	3	3	3	4	2	4	4	4	4	4	6	4	5	1	5	3	4	4	3	2	2	2	3	3	4	5	4	4	5	6
tree removal mallacoota		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
tree removal orbost		2	2	2	2	3	3	3	2	3	3	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
tree removal ringwood		27	14	15	16	11	11	11	12	11	9	10	12	14	12	10	10	9	8	8	10	8	9	12	9	11	15	79	29	28	27	28	14
tree removal rowville		11	12	9	11	9	9	10	11	9	8	12	15	13	10	11	9	7	6	9	7	6	6	7	8	8	8	9	13	14	18	17	18
tree removal sale		3	5	5	4	5	2	2	4	3	3	5	5	4	3	3	3	2	2	2	2	2	1	2	2	2	3	2	3	4	5	1	1
tree removal wantirna		11	13	12	12	13	13	13	11	11	10	11	14	14	12	13	14	10	11	13	10	11	9	11	10	10	12	12	14	15	15	19	20
tree removal service		-	-	-	-	-	-	-	-	61	66	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25	25	-	37
