		2023-08-09	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-16	2024-05-16	2024-06-13	2024-07-18	2024-09-09
home extensions melbourne		-	-	-	-	97	-	-	-	-	-	81	-	-
home renovations melbourne		-	-	-	60	42	41	39	38	30	64	40	59	48
office renovations melbourne		-	-	-	40	10	11	11	11	11	12	10	9	16
commercial renovations melbourne		-	-	-	-	17	15	17	16	11	12	10	37	19
home renovations wantirna		-	-	12	5	4	4	4	3	3	4	2	5	4
home renovations rowville		-	-	-	4	4	3	5	2	2	3	4	3	4
home renovations nunawading		-	-	23	4	2	3	3	3	1	3	2	1	4
home renovations mount waverley		-	-	5	1	1	1	2	2	1	2	1	1	1
home renovations mont albert		-	-	9	4	3	3	4	5	5	4	2	5	5
home renovations malvern		-	-	-	7	6	5	5	4	5	8	9	11	13
home renovations kew		-	-	-	32	6	7	7	4	4	5	4	5	6
home renovations hawthorn		-	-	-	7	10	11	9	7	7	9	6	8	8
home renovations glen waverley		-	-	-	3	3	2	3	2	2	2	1	1	2
home renovations glen iris		-	-	17	9	9	9	7	6	5	9	7	7	42
home renovations ferntree gully		-	-	24	25	3	3	4	3	2	3	2	3	2
home renovations doncaster		-	-	-	52	6	3	3	3	3	3	3	6	9
home renovations caulfield		-	-	12	60	4	5	6	7	7	6	7	9	11
home renovations burwood		-	-	-	7	3	5	5	5	5	5	4	4	4
home renovations blackburn		-	-	-	-	5	3	3	3	4	4	4	4	4
home renovations bentleigh		-	-	-	8	5	7	8	6	4	5	5	5	13
home renovations balwyn		-	-	-	-	6	5	6	5	5	5	5	7	7
home renovations clayton		-	-	-	2	2	3	2	2	1	1	1	2	1
home extensions wantirna		-	-	11	10	4	7	8	4	4	8	6	5	7
home extensions rowville		-	-	-	8	2	6	7	5	1	1	10	6	3
home extensions nunawading		-	-	-	4	3	3	5	4	3	2	3	3	4
home extensions mount waverley		-	-	19	3	2	2	2	3	2	2	4	4	2
home extensions mont albert		-	-	9	7	3	3	5	6	5	4	6	6	6
home extensions malvern		-	-	17	12	2	3	2	6	6	8	15	10	12
home extensions kew		-	-	-	-	11	8	9	5	7	9	10	10	10
home extensions hawthorn		-	-	21	12	11	9	10	6	6	8	7	11	9
home extensions glen waverley		-	-	11	9	9	8	8	6	6	4	6	5	8
home extensions glen iris		-	-	42	16	11	10	10	12	11	11	14	12	10
home extensions ferntree gully		-	-	-	9	6	6	5	1	2	4	4	4	2
home extensions doncaster		-	-	-	71	5	3	3	3	3	4	4	5	4
home extensions caulfield		-	-	22	8	7	9	10	9	12	11	5	12	14
home extensions burwood		-	-	-	-	3	4	4	4	5	4	8	7	8
home extensions blackburn		-	-	-	71	7	8	9	10	10	13	9	9	9
home extensions bentleigh		-	-	26	12	9	13	15	12	9	10	10	10	12
home extensions balwyn		-	-	-	16	6	6	10	11	9	9	16	15	13
home extensions clayton		-	-	7	1	1	1	1	1	1	2	2	1	2
