		2021-11-30	2021-12-16	2022-01-20	2022-02-18	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-07	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Plumber Cheltenham		-	91	31	33	31	38	37	27	15	14	14	13	14	16	7	6	8	6	5	6	6	6	6	8	7	5	6	5	7	5	4	4	3	3	2	2	2
Plumber Bentleigh		36	28	32	28	25	23	27	12	13	13	13	13	15	11	17	14	27	26	26	35	77	67	64	61	19	19	9	9	8	8	7	9	7	7	5	6	6
Plumber Mentone		46	35	26	17	18	10	11	8	11	10	13	13	9	6	6	6	8	8	8	9	9	9	7	6	4	5	4	4	2	2	2	2	2	1	1	1	1
Plumber Highett		17	18	14	14	18	12	9	7	6	2	12	10	10	11	9	10	12	12	13	14	17	16	13	15	12	10	5	4	4	5	3	4	3	6	4	6	4
Plumber Moorabbin		28	16	15	18	14	9	9	8	8	7	7	7	7	4	4	2	5	3	2	1	2	3	5	4	3	2	3	4	2	4	2	3	2	2	4	5	3
Plumber Beaumaris		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Plumber Hampton		31	23	22	24	25	23	21	16	12	12	11	11	10	5	5	5	7	3	2	1	2	2	1	1	35	1	1	1	1	1	1	1	1	1	2	2	14
Plumber Sandringham		26	18	44	17	27	13	4	2	2	3	3	2	2	1	1	1	1	1	1	3	3	2	2	2	2	3	2	1	1	1	1	1	2	1	1	1	1
Plumber Black Rock		23	17	16	22	18	4	4	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1
Plumber Parkdale		19	14	13	17	17	14	9	5	6	6	6	4	5	5	3	4	3	3	3	3	3	3	4	9	4	2	4	3	3	2	2	2	2	2	2	3	4
Hot Water Service Cheltenham		5	4	9	6	8	5	5	4	5	3	3	3	2	2	3	2	3	3	3	4	4	3	3	6	4	4	3	2	2	3	2	3	1	2	1	1	1
Hot Water Service Bentleigh		5	5	6	6	5	4	4	4	5	5	7	7	6	6	7	6	6	4	5	6	5	6	5	6	5	5	5	5	10	9	6	6	5	5	7	9	10
Hot Water Service Mentone		8	6	3	8	8	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	3	3	1	3	1	1	1	1	1	1	1	1	1	1	1
Hot Water Service Highett		9	11	6	8	5	2	2	2	2	1	3	3	2	2	2	2	2	2	2	2	2	2	3	3	3	3	1	2	3	6	3	4	4	3	3	6	7
Hot Water Service Moorabbin		5	5	4	5	12	-	3	2	3	1	2	2	3	3	2	5	4	3	4	4	3	3	4	4	2	2	2	2	2	3	2	2	2	2	2	1	1
Hot Water Service Beaumaris		4	4	2	3	2	2	2	2	1	1	2	2	1	1	2	2	2	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
Hot Water Service Hampton		16	16	3	6	6	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	4	3	1	3	2	1	2	3	1	3	2	1
Hot Water Service Sandringham		4	3	2	10	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	1	1	2	2	2	2	2	2	2	1	1	3	2	1	2	3	2
Hot Water Service Black Rock		3	2	2	3	4	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	3	4	3	3	2	2	2	2	2	1	1	1	1	1	1	1
Hot Water Service Parkdale		4	4	2	4	3	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	3	2
Blocked Drains Cheltenham		13	8	10	8	8	7	5	4	4	4	4	6	6	6	5	6	6	9	7	10	12	13	7	8	17	8	6	7	10	9	5	11	12	2	4	4	4
Blocked Drains Bentleigh		12	11	9	10	9	6	7	7	7	4	6	6	5	7	8	6	8	7	4	5	7	11	9	10	10	9	7	9	11	5	5	8	6	6	9	5	11
Blocked Drains Mentone		30	27	4	4	3	1	1	1	1	1	1	1	1	1	2	2	2	3	1	2	1	3	1	1	2	1	2	1	2	1	2	2	2	2	2	2	2
Blocked Drains Highett		14	18	6	5	3	2	2	1	1	1	2	3	2	3	3	4	5	7	4	4	8	4	4	1	1	1	5	1	3	1	1	1	2	2	2	2	2
Blocked Drains Moorabbin		5	3	4	3	3	2	2	2	7	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	3	2	3	2	2	1
Blocked Drains Beaumaris		2	2	1	3	3	2	2	2	2	2	1	1	1	1	2	2	3	2	1	1	1	2	1	1	2	2	1	2	1	1	1	1	1	1	2	1	1
Blocked Drains Hampton		14	6	13	7	6	6	5	3	3	17	4	3	2	1	1	3	2	3	3	6	4	4	4	4	9	10	11	12	14	10	8	7	8	9	7	8	1
Blocked Drains Sandringham		7	4	4	3	3	3	3	2	3	2	2	2	2	-	3	3	4	5	3	5	5	5	2	5	3	3	4	4	4	4	4	2	2	1	1	1	1
Blocked Drains Black Rock		6	4	17	5	5	4	3	3	3	2	2	1	2	2	1	1	2	2	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1
Blocked Drains Parkdale		5	3	18	12	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Plumber Caulfield		-	-	-	-	44	27	45	35	40	12	13	13	15	11	11	17	16	12	20	33	54	64	67	56	30	36	59	7	9	9	9	17	9	10	30	15	14
Plumber Carnegie		-	-	-	-	23	23	23	18	18	26	24	13	15	15	14	13	22	25	18	29	56	64	51	45	24	23	23	24	27	10	8	13	13	11	11	14	8
Plumber Heatherton		-	-	-	31	8	8	6	6	4	1	2	2	2	2	3	3	4	3	3	3	3	3	4	1	1	1	2	2	1	1	1	1	1	1	1	1	2
Plumber Mordialloc		-	-	-	54	34	11	12	10	14	10	12	11	12	13	13	11	8	10	11	10	16	13	19	14	10	8	7	6	8	4	3	4	3	5	4	5	3
Hot Water Service Caulfield		-	-	-	29	8	4	4	3	3	3	5	4	3	2	2	2	2	2	2	3	4	4	4	5	4	4	8	8	7	6	4	3	3	1	2	2	4
Hot Water Service Carnegie		-	-	-	17	7	5	5	5	4	1	4	4	3	4	6	8	7	6	7	6	8	8	8	10	8	8	5	5	7	4	3	4	4	3	4	4	8
Hot Water Service Heatherton		-	-	-	11	9	1	1	2	1	1	2	2	2	2	3	3	3	3	2	4	4	7	3	2	5	6	1	1	1	1	1	1	1	1	1	1	1
Hot Water Service Mordialloc		-	-	-	10	4	3	3	2	2	2	3	3	3	5	5	5	5	5	5	6	6	5	5	5	4	5	1	2	3	2	2	1	1	1	2	2	1
Blocked Drains Caulfield		-	-	-	45	12	8	8	6	5	4	5	3	3	3	2	2	3	2	2	3	3	3	3	3	3	3	4	4	4	4	4	1	3	4	3	3	2
Blocked Drains Carnegie		-	-	-	43	4	2	2	1	1	1	1	1	1	1	2	1	5	5	2	5	4	4	4	5	3	4	3	3	3	2	2	2	2	1	2	1	2
