		2022-12-02	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-16	2023-06-19	2023-07-20	2023-08-17	2023-09-06	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
new caravans for sale		28	35	32	29	28	31	18	19	17	15	18	19	16	17	16	17	20	17	-	26	33	24	20	22	13
brand new caravans for sale		-	-	-	-	-	-	9	9	9	8	8	12	12	14	12	15	11	10	9	9	10	11	11	11	7
family caravans for sale		70	-	-	-	-	-	56	53	4	3	4	5	5	2	2	1	4	5	8	10	6	6	5	5	7
family caravans with bunks and ensuite		-	-	-	70	71	-	-	-	-	12	11	7	4	6	6	10	9	19	21	25	11	20	18	22	38
family caravan with bunks shower and toilet		-	-	-	-	54	-	-	-	8	9	4	5	4	5	5	4	9	8	10	19	12	13	8	29	16
off road family caravan		-	-	-	80	98	-	-	-	94	76	84	73	32	30	68	75	26	19	47	20	20	18	20	24	35
off road caravans for sale		79	79	84	68	-	69	-	70	-	-	70	55	-	22	20	28	22	13	24	24	19	27	21	26	23
off road caravans with ensuite		34	43	38	29	31	39	39	39	20	11	14	15	12	12	6	3	4	12	13	15	15	9	9	6	11
semi off road caravans for sale		-	-	-	-	67	78	60	57	13	12	17	16	9	10	8	5	17	8	9	8	10	11	8	7	8
semi off road caravans with ensuite		87	86	74	19	23	51	51	53	6	7	5	2	1	1	1	1	1	1	2	2	3	1	1	4	5
caravans geelong		3	3	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
caravan sales geelong		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	5	2	3	5	3	3	3	3
caravan dealers geelong		2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	1	2	2	2	2	2	2	2
blue sky caravans geelong		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
caravans melbourne		-	-	-	-	-	-	25	21	19	18	17	15	14	14	12	12	12	14	12	15	13	12	12	13	16
caravan sales melbourne		-	-	-	88	55	51	21	20	28	18	24	27	22	22	28	35	18	28	27	19	16	18	18	23	18
caravan dealers melbourne		-	87	94	52	46	83	12	12	13	6	6	10	8	7	5	7	5	15	15	10	10	9	11	10	11
blue sky caravans		4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	4	4	4	4	3	4	3
blue sky caravans for sale		2	3	3	4	4	6	4	4	4	-	5	5	4	4	4	4	3	3	3	2	3	3	3	2	2
blue sky torquay caravan		1	2	2	1	2	2	1	3	2	2	1	1	1	2	2	2	1	3	3	2	5	4	6	3	5
blue sky tarango caravan		2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	5	2
blue sky fairhaven caravan		1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	2	2	2	2	2	2	2
blue sky viento caravan		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	7	7	7	6	8	7
blue sky monterey caravan		2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	5	3	3	2	2	2	2	2
blue sky tuscany caravan		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	6	2	2	2	2	2	2
blue sky tundra caravan		2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	2	2	4	4	6	6	4	5	6	6
blue sky family tourer		5	6	8	7	7	7	7	7	3	3	3	7	7	8	8	9	10	9	9	10	9	10	19	25	23
buy used caravan		58	61	52	44	44	36	38	17	33	46	-	42	-	40	14	14	15	14	15	15	16	18	17	18	10
buy second hand caravan		67	64	52	56	53	44	49	49	31	59	23	57	-	49	19	14	14	14	15	12	20	19	22	21	16
second hand family caravans with bunks and ensuite		-	-	92	-	-	-	18	17	10	7	9	8	2	7	7	6	5	5	7	10	8	6	5	5	14
used off road caravans		-	-	-	15	24	-	-	-	21	25	28	17	11	13	11	11	15	16	12	24	4	4	3	6	12
used off road caravans with ensuite		33	32	13	7	27	24	30	29	6	6	8	9	7	4	4	4	5	4	4	5	3	2	2	3	5
used semi off road caravans		-	-	-	80	83	84	71	-	7	7	9	7	7	9	6	9	13	10	11	12	12	11	10	9	7
used caravans geelong		4	4	4	3	4	4	4	3	4	4	4	3	3	2	2	2	2	4	3	3	3	3	2	4	4
used caravans for sale geelong		6	7	4	4	4	4	4	4	4	3	5	5	4	3	3	3	3	3	3	4	5	5	5	4	5
second hand caravans for sale geelong		6	8	7	4	4	4	4	5	4	4	6	6	4	4	4	4	5	5	5	5	5	6	6	6	6
used caravans melbourne		33	22	19	13	16	14	14	13	11	10	12	14	13	11	10	8	8	9	9	6	9	7	9	8	8
used caravans for sale melbourne		46	42	43	33	36	33	18	18	25	20	19	16	13	14	13	11	8	13	11	10	10	12	15	16	13
luckystar caravans		-	-	-	-	-	-	-	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
luckystar touring caravans		-	-	-	-	-	-	-	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
luckystar delta club caravans		-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
luckystar apollo caravans		-	-	-	-	-	-	-	-	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
used caravans for sale		-	-	-	-	-	-	-	19	23	26	30	22	19	17	18	19	20	13	17	16	18	27	26	28	17
new caravans for sale melbourne		-	-	-	-	-	-	-	16	32	21	26	26	12	13	14	17	13	14	18	14	16	40	22	40	32
buy caravan melbourne		-	-	-	-	-	-	-	17	20	19	35	28	18	25	18	16	12	14	19	14	16	14	21	24	29
