		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-16	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
audi brakes and repair		14	18	10	4	2	3	3	5	4	4	2	3	4	2	2	2	4	2	2	2	2	2	2	2	2	2	2	1	-	-	-	27	26	10	29	5	-
audi major service		21	24	22	35	18	12	17	17	10	8	11	9	9	6	6	6	6	5	11	17	16	12	15	23	9	35	7	68	-	-	8	90	46	39	-	95	48
audi service melbourne		35	35	35	31	23	29	19	30	27	30	36	31	32	23	21	26	12	13	14	15	17	21	18	24	26	20	15	15	16	19	24	24	23	-	17	19	23
bmw mechanic melbourne		20	23	15	13	13	14	13	13	13	14	15	13	14	14	20	15	16	18	21	20	23	26	20	24	26	29	32	37	37	28	14	11	12	12	11	12	11
car mechanic melbourne		71	52	42	47	37	34	17	32	50	13	10	10	11	15	11	12	20	22	17	17	10	15	29	31	36	34	36	30	36	30	29	23	24	52	47	48	64
car service centre melbourne		21	14	14	13	9	10	10	13	13	5	4	4	4	4	3	4	9	9	13	6	7	6	9	13	11	10	18	11	13	14	13	12	5	18	18	14	22
car service melbourne		68	38	35	41	28	27	17	77	21	10	7	7	9	10	12	15	26	15	20	27	12	19	24	26	34	34	37	36	32	31	36	19	19	28	29	23	32
citroen service centre melbourne		11	11	11	10	11	7	9	8	8	9	5	5	5	5	3	4	5	5	5	6	4	6	7	7	6	7	8	8	8	7	9	11	10	13	14	8	15
log book service melbourne		81	70	60	68	42	54	44	51	67	91	-	-	-	-	-	-	87	76	76	73	60	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
mercedes brakes and repair		77	53	72	51	-	-	-	-	-	-	-	4	5	5	6	6	6	5	8	6	6	6	8	8	7	7	7	7	26	78	-	-	-	-	29	5	4
mercedes specialist melbourne		25	23	20	21	15	19	14	16	19	18	18	17	17	34	35	30	38	31	21	34	19	20	21	20	28	29	29	27	29	24	25	22	23	12	13	20	20
peugeot service melbourne		16	13	15	15	16	15	14	14	13	12	12	11	12	14	12	12	10	6	9	8	8	7	8	9	10	9	5	4	8	8	16	16	14	11	11	13	11
peugeot specialist melbourne		7	4	6	9	9	9	8	7	7	7	7	7	5	7	9	9	5	2	4	4	5	6	3	3	3	3	4	4	6	5	6	6	5	6	5	5	5
renault service melbourne		21	20	21	17	17	20	21	23	25	24	23	22	23	22	15	15	14	15	17	14	12	13	15	18	18	19	20	20	29	29	30	38	25	24	23	22	16
Volkswagen timing belt		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
volkswagen mechanic melbourne		28	29	20	16	15	16	14	15	14	14	16	15	16	19	15	16	12	14	15	12	9	14	17	18	21	20	28	32	30	39	47	31	38	73	51	42	43
volkswagen service melbourne		29	21	25	26	16	15	15	16	12	13	14	15	16	19	13	14	9	10	13	11	11	11	11	15	29	23	32	31	35	39	48	34	42	38	38	37	36
volvo mechanic melbourne		16	18	16	15	12	12	14	15	13	11	16	18	18	17	12	14	14	16	20	14	15	12	14	25	25	28	50	29	24	27	28	22	27	26	22	22	21
volvo service melbourne		23	22	23	14	12	16	16	17	16	15	19	25	24	24	13	17	20	23	18	17	11	19	20	23	36	35	36	34	33	36	37	31	38	45	42	45	35
Vw brakes and repair		5	6	5	3	2	3	4	4	6	4	4	4	4	4	4	7	7	-	52	90	15	55	54	-	48	61	-	30	-	-	-	-	-	-	30	-	29
vw major service		6	5	6	5	4	4	5	6	2	2	5	4	4	5	5	4	3	3	9	8	9	5	9	5	7	7	7	30	7	8	32	14	9	12	21	28	5
vw mechanic melbourne		42	44	28	20	15	21	19	16	16	16	18	17	17	21	19	18	12	13	14	12	13	15	16	15	19	18	22	22	29	36	41	27	29	32	30	28	24
vw timing belt		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
audi berwick service		3	3	2	2	2	2	3	3	3	4	4	4	3	3	3	3	7	2	2	2	2	4	2	4	4	5	5	3	3	4	4	7	6	4	4	5	5
audi service narre warren		2	2	3	3	2	3	2	2	2	2	3	3	3	6	4	4	2	2	2	2	1	1	2	1	1	1	1	1	2	2	2	2	2	3	4	4	3
auto mechanic pakenham		15	17	21	32	31	15	18	17	19	20	22	19	27	25	13	13	15	32	36	21	21	19	36	24	21	20	20	22	17	11	17	17	17	20	13	19	17
beaconsfield mechanic		12	10	11	12	9	9	9	9	10	10	13	10	10	9	9	10	12	14	15	14	13	10	10	12	12	10	11	10	6	11	13	12	8	9	6	9	7
bmw service beaconsfield		2	3	2	2	2	4	3	3	3	3	3	3	3	2	2	2	3	3	2	2	1	2	2	2	3	2	2	2	1	1	1	2	1	1	2	2	4
bmw service berwick		4	4	3	3	3	3	3	3	3	3	3	3	4	5	4	4	4	4	6	7	4	4	6	6	5	4	4	4	3	4	4	4	4	4	4	4	4
bmw service clyde		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	9	11	2	2	2	2	2	1	1	2	2	2	2	2	2
bmw service pakenham		5	6	2	4	3	2	2	2	2	2	1	1	3	3	3	2	3	4	3	3	3	3	3	5	5	4	4	3	2	2	2	3	3	3	3	3	3
brake service berwick		8	8	8	9	7	7	3	5	4	2	2	2	2	1	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
brake service clyde		5	6	5	7	5	9	9	9	8	15	8	8	7	7	11	14	12	12	12	10	8	9	9	8	12	11	8	14	11	12	14	10	15	20	16	15	15
brake service pakenham		19	16	21	27	20	31	31	35	43	21	25	22	24	29	22	24	25	25	28	-	47	22	33	22	22	29	29	31	29	25	24	25	31	29	27	30	30
car air conditioning berwick		2	3	3	2	3	4	4	4	4	4	3	4	5	3	4	3	3	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
car air conditioning pakenham		6	5	7	8	7	4	5	4	4	5	4	4	6	6	7	9	10	12	12	12	12	11	11	9	11	15	15	16	15	15	15	20	18	16	12	15	17
car air conditioning repair beaconsfield		6	5	6	3	2	4	4	4	3	4	5	5	4	4	4	5	1	6	6	6	4	5	4	5	5	2	1	3	2	4	3	3	3	4	3	2	2
car air conditioning repair narre warren		11	9	9	8	8	7	6	7	6	6	8	8	7	6	7	7	7	9	9	7	7	8	4	5	5	7	10	9	9	8	6	7	7	7	8	7	8
car air conditioning repair pakenham		5	6	7	7	6	6	5	6	4	5	6	6	6	6	7	7	7	14	13	10	7	9	9	8	10	13	12	10	12	9	11	11	20	19	10	9	9
car mechanic beaconsfield		9	7	7	7	7	6	6	7	8	6	7	6	7	7	7	8	8	12	11	9	9	9	7	6	5	5	5	5	4	5	7	3	4	7	5	7	5
car mechanic berwick		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
car mechanic narre warren		9	10	10	13	11	7	10	11	12	9	11	14	14	16	16	13	15	22	18	15	14	16	17	16	17	17	13	15	13	14	16	12	14	14	15	14	15
car mechanic pakenham		16	19	21	32	25	18	17	16	18	19	19	18	27	18	13	13	13	27	24	23	22	20	20	21	24	24	25	26	21	18	22	20	17	19	18	16	19
car repair berwick		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
car repairs pakenham		20	22	21	39	28	21	24	27	25	27	26	23	29	29	17	17	20	34	36	26	30	30	29	31	23	26	27	28	21	18	19	17	19	23	20	21	20
car service beaconsfield		9	8	9	9	8	7	7	9	9	8	8	9	7	9	10	10	9	14	15	12	6	11	10	9	6	4	1	2	4	4	6	4	3	4	4	4	5
car service berwick		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
car service center berwick		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1
car service center officer		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	1	1	1	1	1	1	1	2	4	3	4	2	3	1	2	5	3	3	8
car service clyde		8	7	10	11	13	10	9	13	10	10	9	9	10	10	10	8	9	12	6	6	6	14	15	14	5	13	13	12	12	12	5	5	3	4	14	14	13
car service harkaway		-	-	-	4	3	1	2	1	2	2	3	2	2	1	1	1	1	3	1	2	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2
car service narre warren		14	15	14	12	12	6	13	11	12	9	13	16	15	17	11	10	18	23	19	19	13	12	15	14	13	12	12	11	11	10	11	11	11	15	13	17	20
car service officer		8	7	5	4	4	3	3	4	7	6	4	2	6	5	1	1	4	8	2	7	5	1	4	3	1	1	4	2	2	1	1	1	1	2	2	4	4
car service pakenham		15	14	17	17	18	16	15	13	17	19	20	21	23	24	8	8	10	31	40	27	21	20	18	18	13	18	17	18	14	14	15	17	17	17	15	15	16
mechanic berwick		2	3	5	6	4	6	2	6	6	9	8	10	4	2	4	2	4	3	6	5	3	2	3	5	3	2	2	1	5	4	2	3	4	2	3	2	2
mechanic clyde		13	10	10	12	11	11	11	14	11	12	12	14	13	11	13	13	17	24	22	22	25	25	23	25	19	19	22	22	20	17	18	15	18	15	12	10	16
mechanic harkaway		-	-	-	5	2	1	1	1	1	2	2	1	2	2	2	2	2	5	2	4	2	6	2	3	2	2	3	3	3	1	2	4	4	4	3	1	2
mechanic narre warren		14	14	14	13	15	12	12	19	-	18	18	18	18	17	20	15	19	25	22	20	16	15	17	20	16	16	13	13	11	11	11	11	22	16	13	17	22
mechanic officer		16	14	11	11	10	12	11	12	12	16	9	14	12	5	13	11	29	16	14	12	11	15	14	16	19	16	17	18	20	21	21	13	18	16	21	15	16
mechanic pakenham		33	43	41	47	35	30	32	30	33	37	38	39	41	42	14	16	21	45	46	36	33	35	37	40	27	33	30	32	28	23	30	37	29	33	30	30	30
mercedes benz service beaconsfield		3	3	1	2	2	1	1	3	1	2	1	1	1	1	1	1	1	2	2	2	2	2	2	3	3	2	1	3	2	2	1	1	12	1	1	1	1
mercedes benz service clyde		1	1	1	1	1	1	1	1	1	1	1	2	4	2	3	3	4	5	2	1	2	2	1	2	2	2	2	1	2	1	1	2	1	2	2	2	2
mercedes benz service narre warren		1	1	2	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1
mercedes service berwick		4	4	4	4	4	4	4	4	4	4	5	4	4	4	5	5	4	4	4	4	4	4	4	4	4	4	4	5	5	5	4	5	12	3	4	4	3
mercedes service clyde		1	1	1	1	1	1	1	1	1	1	2	2	2	2	4	3	3	3	2	1	1	1	1	7	5	2	1	1	1	1	1	1	1	1	1	1	3
mercedes service officer		5	3	3	5	4	4	5	9	7	3	4	3	3	2	3	3	4	5	6	6	4	6	6	7	5	8	5	5	8	7	7	8	9	5	17	17	13
peugeot service beaconsfield		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pre purchase car inspection berwick		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	3	3
roadworthy certificate berwick		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	21	1	2	2	1	1
volkswagen service berwick		3	3	2	2	2	2	2	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	5	5	5	5	5	5	4	4	4	4	4	4	4	4
volkswagen service center beaconsfield		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
volkswagen service center narre warren		1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	4
volkswagen service clyde		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
volkswagen service officer		5	3	4	3	2	1	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	2	3	3	4	2	4	6	4	4	9	6	4
volvo service berwick		3	3	2	3	2	2	2	2	2	3	3	2	3	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4
vw mechanic berwick		2	3	3	3	2	4	3	4	4	5	4	3	3	4	4	5	4	4	5	4	3	4	5	5	5	3	3	3	3	3	4	4	4	3	3	3	3
vw service narre warren		3	3	-	3	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	2	2	3	2	3	3	3
vw specialist berwick		2	2	2	2	2	2	1	3	3	3	3	3	3	3	3	4	3	3	4	4	3	4	4	5	4	4	3	3	3	3	4	4	4	4	3	3	3
vw specialist pakenham		3	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4	2	4	4	2	3	2	2	2	2	2	2	2	2	3	3	4	4	3	3
