		2023-10-06	2023-11-17	2023-12-14	2024-01-19	2024-02-06	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-16	2024-08-16	2024-09-20	2024-10-18	2024-11-14
line boring brisbane		-	-	10	3	2	2	2	2	2	2	3	3	3	3
line boring queensland		-	-	13	31	3	2	3	5	3	1	3	2	2	3
mobile line boring brisbane		-	-	8	6	2	2	2	2	2	3	3	3	3	2
mobile line boring queensland		17	18	12	6	4	3	3	3	3	3	3	4	3	2
bore repair services brisbane		-	-	6	5	5	4	4	2	2	4	3	3	1	2
bore repair services queensland		18	22	7	5	3	2	1	1	1	3	3	4	3	1
bucket repairs brisbane		-	-	-	-	-	-	-	-	-	-	3	1	1	1
bucket repairs queensland		-	-	-	-	-	-	-	-	-	-	-	-	-	5
on site welding brisbane		-	-	-	-	-	-	-	-	-	-	60	16	14	15
on site welding queensland		-	-	-	-	-	-	-	-	-	-	49	12	11	7
mobile boiler making brisbane		-	-	-	-	-	-	-	-	-	-	1	1	1	1
mobile boiler making queensland		-	-	-	-	-	-	-	-	-	-	1	1	1	1
mobile welding brisbane		-	-	-	-	-	-	-	-	-	-	71	52	17	16
mobile welding queensland		-	-	-	-	-	-	-	-	-	-	-	66	32	19
heavy equipment repairs brisbane		-	-	-	-	-	-	-	-	-	16	4	4	6	12
heavy equipment repairs queensland		-	-	-	-	-	-	-	-	-	13	7	6	4	9
thermal lancing brisbane		-	-	-	-	-	-	-	-	-	9	1	1	1	1
thermal lancing queensland		-	-	-	-	-	-	-	-	-	6	1	2	1	1
mining equipment repairs brisbane		-	-	-	-	-	-	-	-	-	-	2	2	2	1
mining equipment repairs queensland		-	-	-	-	-	-	-	-	-	-	8	9	9	8
quarry equipment repairs brisbane		-	-	-	-	-	-	-	-	-	-	1	1	1	1
quarry equipment repairs queensland		-	-	-	-	-	-	-	-	-	-	17	1	1	1
machine line boring brisbane		-	-	-	-	-	-	-	-	-	2	2	2	2	2
machine line boring queensland		-	-	-	-	-	-	-	-	-	1	1	1	1	2
welding and fabrication brisbane		-	-	-	-	-	-	-	-	-	-	14	14	15	18
welding and fabrication queensland		-	-	-	-	-	-	-	-	-	-	13	13	9	11
bore repair services biddeston		1	2	1	1	1	1	1	1	1	1	1	1	1	1
bore repair services beaudesert		-	-	1	2	2	1	1	1	1	1	1	1	1	1
bore repair services chinchilla		-	-	3	2	4	2	2	2	2	1	1	1	1	1
bore repair services dalby		-	-	2	2	2	1	2	2	2	2	2	1	1	1
bore repair services darling downs		7	10	1	2	2	1	1	1	1	1	1	1	1	1
bore repair services highfields		-	-	1	1	1	1	1	1	1	1	1	1	1	1
bore repair services ipswich city		-	-	1	1	1	1	1	1	1	1	1	2	1	1
bore repair services kingaroy		-	-	4	2	2	2	6	1	1	1	2	1	3	2
bore repair services toowoomba		-	-	4	1	3	3	4	1	1	1	2	2	3	1
bore repair services warwick		-	-	2	2	2	1	2	1	1	1	1	1	1	1
line boring biddeston		1	1	1	1	1	1	1	1	1	1	1	1	1	1
line boring beaudesert		-	-	1	1	1	1	1	1	1	1	1	1	1	1
line boring chinchilla		-	-	5	5	4	3	4	3	1	1	1	2	2	2
line boring dalby		-	-	2	2	2	2	2	2	2	2	2	2	2	2
line boring darling downs		2	2	2	2	2	1	1	1	1	1	1	1	1	1
line boring highfields		-	-	1	1	1	1	1	1	1	1	1	1	1	1
line boring ipswich city		-	-	2	1	1	1	1	1	1	1	1	1	1	1
line boring kingaroy		-	-	1	1	1	1	1	1	1	1	1	1	1	1
line boring toowoomba		38	7	4	1	1	1	1	1	1	1	1	1	1	1
line boring warwick		-	-	1	1	1	1	1	1	1	1	1	1	1	1
mobile line boring biddeston		1	1	1	1	1	1	1	1	1	1	1	1	1	1
mobile line boring beaudesert		-	-	1	1	1	1	1	1	1	1	1	1	1	1
mobile line boring chinchilla		-	-	3	3	3	2	2	2	1	1	1	1	1	1
mobile line boring dalby		-	-	1	1	1	1	1	1	1	1	1	1	1	1
mobile line boring darling downs		1	2	1	1	1	1	1	1	2	1	1	1	1	1
mobile line boring highfields		-	-	1	1	1	1	1	1	1	1	1	1	1	1
mobile line boring ipswich city		-	-	1	1	1	1	1	1	1	1	1	1	1	1
mobile line boring kingaroy		-	-	1	1	1	1	1	1	1	1	1	1	1	1
mobile line boring toowoomba		4	-	1	1	1	1	1	1	1	1	1	1	1	1
mobile line boring warwick		-	-	1	1	1	1	1	1	1	1	1	1	1	1
