		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
auto sliding gate kits		67	71	50	72	63	62	69	68	70	62	75	71	69	82	63	62	-	-	-	58	71	61	56	49	46	85	-	94	-	-	-	-	-	-	-	-	66
automatic bi fold gates kit		3	3	3	4	4	3	3	3	4	4	4	4	4	3	2	3	2	2	4	2	4	4	4	6	5	5	4	5	5	5	6	3	5	5	5	7	4
automatic folding gate kit		2	1	1	2	2	3	2	3	4	74	3	2	2	2	2	2	2	2	3	3	3	3	4	3	6	6	5	4	3	3	3	3	4	3	4	5	4
automatic folding gate system kit		1	2	1	1	1	1	1	1	1	20	1	1	1	1	1	1	2	2	1	1	3	4	2	3	2	2	2	2	5	5	7	3	6	4	4	3	4
automatic folding sliding gate kit		1	1	1	1	1	1	2	3	2	13	3	3	2	2	3	3	3	3	4	5	6	2	3	4	4	5	4	4	4	3	5	6	11	4	4	4	3
bi fold driveway gates kit		1	2	2	2	4	4	1	1	2	3	2	2	2	2	2	2	2	2	3	2	3	3	2	4	6	5	4	5	6	5	5	3	3	5	4	4	3
bi fold electric gate kits		2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	5	5	4	5	6	4	3	2	4	5	4	3	4
bi fold gate kit		3	3	3	4	4	2	3	3	3	19	3	3	3	3	3	3	3	3	3	3	3	3	5	5	5	5	4	5	5	5	6	3	4	4	5	5	5
bi fold swing gate kit		3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	4	3	5	5	5	6	6	8	6	6	8	8	7	7	7	6	6	-	6
bi folding gates kit		3	2	3	2	3	2	2	2	2	3	3	2	2	2	1	1	1	1	2	1	3	1	2	4	4	4	3	4	5	5	5	3	3	4	5	5	4
bifold electric gates kit		1	2	2	2	3	2	2	3	3	38	3	3	3	3	3	2	2	2	3	2	3	3	3	6	5	5	4	5	6	4	5	3	3	4	5	4	4
cantilever gate kit		61	66	30	50	59	66	75	77	75	-	69	66	79	-	-	-	-	-	-	-	-	-	38	34	31	48	60	46	-	-	-	-	-	38	51	48	-
cantilever sliding gate kit		50	63	27	44	56	40	68	65	61	-	64	68	62	64	37	41	60	51	53	50	44	32	29	37	27	46	55	43	-	-	-	-	-	60	43	46	-
diy folding gate kit		3	1	2	1	1	2	1	3	2	4	3	1	2	3	1	2	1	1	3	3	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2
double folding gate kit		2	2	2	2	2	2	1	2	2	2	1	2	1	1	2	1	1	1	3	2	3	2	2	4	4	2	2	2	2	2	2	2	2	2	2	3	2
folding driveway gates kit		1	1	1	2	3	4	1	2	2	3	2	1	2	1	2	1	2	1	2	1	3	2	2	4	4	5	5	4	3	3	4	2	3	3	3	3	3
folding gate kit		3	2	2	2	2	2	2	2	3	3	3	3	3	2	2	2	3	2	3	2	3	2	5	5	5	5	7	5	5	3	8	3	5	9	4	4	4
outdoor folding gate kit		1	1	1	1	1	1	1	1	1	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
telescopic gate kit		21	19	12	15	22	30	34	34	35	37	32	39	36	44	33	38	40	36	34	31	23	20	22	20	24	29	44	34	42	44	52	40	44	28	36	59	43
telescopic sliding gate kit		16	15	20	14	9	29	29	35	32	66	34	34	39	38	31	33	33	35	34	32	30	24	26	22	28	39	43	34	37	-	46	35	54	32	37	36	35
