		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-07	2024-05-16	2024-06-14	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
landscapers berwick		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	1	1	1	1	1	1
landscapers clyde		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	2	2	2	1	1	1
landscapers cranbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1
landscapers endeavour hills		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1
landscapers hallam		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1
landscapers junction village		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	3	3	3	4
landscapers langwarrin		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1
landscapers lynbrook		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	2	2	1	1
landscapers narre warren		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	2	1	2	1	1	2
landscapers officer		4	4	4	3	2	3	3	2	3	2	2	2	3	3	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	3	3	3	1	1	1	1	1	1
landscapers pakenham		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	1	1	1	1	1	1
landscapers carrum downs		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	5	1	1	1	1
landscapers dandenong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5
retaining walls berwick		6	5	5	6	6	6	7	5	6	6	7	7	7	6	8	10	13	15	15	14	14	11	15	10	12	13	11	13	17	12	13	13	4	4	3	5	5	4
retaining walls clyde		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	7	9	8	7	4	1
retaining walls cranbourne		7	6	9	6	2	6	5	5	5	5	3	1	5	4	4	4	5	6	7	7	8	9	9	6	10	7	5	5	2	1	1	1	3	2	1	1	1	1
retaining walls endeavour hills		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	3	3	4	3	1
retaining walls hallam		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	7	13	9	4	3	4
retaining walls junction village		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1
retaining walls langwarrin		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	1	2	3	1	1
retaining walls lynbrook		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2	1	1
retaining walls narre warren		6	6	10	5	7	4	4	10	12	12	11	11	12	10	9	7	15	16	21	21	22	25	27	24	16	27	32	32	33	36	33	38	35	16	11	11	14	6
retaining walls officer		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	43	28	43	20	23	33
retaining walls pakenham		15	15	19	24	23	24	36	34	27	33	28	33	32	26	33	30	27	31	26	29	35	32	27	29	37	34	54	58	44	-	50	51	25	23	16	14	7	6
retaining walls carrum downs		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	11	4	3	6	3
retaining walls dandenong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	49
decking berwick		7	6	6	7	6	9	10	9	7	6	8	8	8	11	12	11	12	11	10	11	11	30	13	28	13	13	13	13	14	13	15	54	11	12	13	13	12	9
