		2024-04-15	2024-05-16	2024-06-15	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-06
bucks party melbourne		-	-	-	-	-	-	76	71
bucks party victoria		-	-	-	-	-	-	73	83
barmaid hire melbourne		-	-	-	-	11	-	26	18
strippers for hire melbourne		-	-	-	-	-	-	44	39
topless waitress melbourne		-	-	-	6	12	6	13	13
bucks party ballarat		-	-	-	90	22	-	33	15
bucks party bendigo		-	-	-	81	22	86	83	26
bucks party docklands		-	-	-	-	35	78	87	21
bucks party echuca		-	-	-	28	5	70	6	7
bucks party geelong		-	-	-	-	28	-	28	-
bucks party mornington		-	-	-	39	27	-	13	41
bucks party portsea		-	-	-	16	10	72	8	13
bucks party thomastown		-	-	-	3	1	19	1	1
bucks party richmond		-	-	-	-	24	-	14	15
bucks party melton		-	-	-	16	1	81	1	1
bucks party rye		-	-	-	21	17	-	2	-
bucks party shepparton		-	-	-	16	6	75	2	6
bucks party sorrento		-	-	-	37	21	81	16	14
bucks party southbank		-	-	-	-	11	-	-	-
bucks party yarrawonga		-	-	-	23	4	21	4	6
topless waitress ballarat		-	-	-	4	5	4	13	5
topless waitress bendigo		-	-	-	11	10	10	11	17
topless waitress docklands		-	-	58	5	5	57	10	9
topless waitress echuca		-	-	-	12	14	11	12	15
topless waitress geelong		-	-	-	8	9	9	12	12
topless waitress mornington		-	-	-	43	54	50	14	36
topless waitress portsea		-	-	-	3	2	4	2	14
topless waitress thomastown		-	-	-	2	1	1	1	1
topless waitress richmond		-	-	-	3	4	6	4	7
topless waitress melton		-	-	-	3	3	3	-	2
topless waitress rye		-	-	-	5	6	22	7	15
topless waitress shepparton		-	-	-	4	3	3	5	7
topless waitress sorrento		-	-	-	5	4	6	6	-
topless waitress southbank		-	-	-	3	3	3	3	5
topless waitress yarrawonga		-	-	-	4	4	4	4	4
