		2021-12-03	2022-01-20	2022-02-18	2022-02-28	2022-03-07	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-16	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-08	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Civil Engineering Melbourne		-	-	-	-	-	-	61	82	64	27	21	32	31	37	43	48	80	69	42	34	24	23	24	32	29	45	69	45	-	49	45	46	64	55	41	38	36
Civil Engineering Services Melbourne		-	52	92	35	33	15	12	9	10	10	6	7	6	4	8	7	5	5	6	6	5	3	5	6	8	8	11	11	8	7	6	8	6	10	12	12	16
Civil Engineering Firm Melbourne		-	84	68	46	43	13	9	5	9	6	6	5	2	2	8	7	8	5	2	3	2	2	4	4	5	5	10	11	10	9	20	17	12	11	11	8	7
Structural Engineering Melbourne		-	-	-	-	-	-	90	63	17	18	12	9	5	8	8	9	8	9	5	7	4	3	2	4	4	4	4	3	3	3	3	5	4	5	9	5	3
Structural Engineering Services Melbourne		-	20	83	81	78	-	57	22	9	10	9	6	3	9	4	8	7	8	4	6	4	4	3	4	4	4	7	5	1	1	4	5	5	4	7	7	5
Structural Engineering Firm Melbourne		-	51	86	66	59	57	55	26	10	11	9	1	2	5	3	5	4	5	4	4	3	3	2	3	3	2	3	3	4	2	3	3	3	3	4	4	3
Civil Engineering Geelong		-	29	30	25	25	19	10	9	10	10	4	3	6	8	6	7	8	7	7	7	8	6	5	6	6	7	6	6	6	7	7	6	4	9	11	5	7
Civil Engineering Services Geelong		-	6	8	7	8	6	3	3	2	2	2	2	2	2	2	3	2	3	4	3	3	2	2	3	4	4	3	3	2	3	4	5	3	6	3	3	3
Structural Engineering Geelong		-	15	16	13	12	10	8	7	6	6	8	8	6	8	5	7	9	6	8	8	6	8	8	7	7	6	8	6	8	9	10	8	7	5	6	7	7
Structural Engineering Services Geelong		-	8	8	8	9	6	4	4	3	3	6	5	4	6	2	3	6	5	5	3	2	3	4	3	3	5	5	3	6	8	8	6	4	3	3	4	4
engineering consultancy melbourne		-	-	-	-	-	-	-	65	61	26	13	15	16	31	41	28	29	56	29	39	31	17	23	26	32	39	38	40	43	49	54	44	36	35	88	40	40
structure consulting engineers melbourne		-	-	-	-	-	-	-	-	-	13	10	7	5	8	9	9	9	8	6	6	5	3	1	5	5	6	5	6	7	6	8	6	5	6	9	9	5
structural consultancy melbourne		-	-	-	-	-	-	-	71	28	11	3	3	3	8	4	3	2	3	1	1	3	4	3	5	4	4	3	3	8	5	8	5	3	3	4	1	4
building engineering services melbourne		-	-	-	-	-	-	57	77	27	18	17	22	18	16	16	25	35	22	30	43	27	24	21	28	35	32	31	31	34	38	26	34	18	32	32	37	31
residential structural engineering melbourne		-	-	-	-	39	65	34	26	13	15	12	5	2	4	3	4	5	6	1	3	1	1	1	3	4	4	4	4	1	1	1	1	1	1	6	1	-
