		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-17	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-15	2024-08-26	2024-09-20	2024-10-18	2024-11-14
Blocked drains Melbourne		2	3	3	3	3	3	3	3	3	3	5	9	5	7	5	4	10	6	6	4	7	6	9	5	5	6	6	6	6	6	5	5	6	5	4	4	1
Blocked drain Melbourne		3	3	4	3	4	3	3	4	4	4	6	7	5	6	4	5	11	7	8	8	7	10	9	5	7	10	6	6	6	6	6	5	6	5	4	3	3
Blocked stormwater Melbourne		1	1	4	2	2	1	1	5	2	2	4	4	4	5	3	4	4	3	3	3	4	4	6	5	4	4	2	3	1	2	2	1	1	2	3	3	4
Blocked sewer Melbourne		3	4	3	3	3	3	3	3	3	3	4	4	3	5	4	3	7	4	3	3	5	6	6	5	5	5	4	4	5	8	8	6	5	10	10	6	2
Tree roots in drains		12	10	15	25	21	44	48	48	41	50	42	47	43	81	78	79	69	19	63	57	56	38	39	57	44	42	52	46	59	51	61	58	13	12	17	34	36
Blocked drain Berwick		3	1	2	3	3	3	4	4	4	3	2	2	2	2	4	5	5	5	4	6	5	4	4	7	5	6	5	6	6	6	5	6	6	5	6	66	10
Blocked drain Balwyn		4	5	4	4	4	5	6	9	8	65	54	-	50	46	41	43	-	-	-	-	9	6	4	4	5	8	6	9	8	9	7	6	5	6	5	5	6
Blocked drain Kew		2	2	69	2	2	2	3	3	7	4	5	5	6	4	6	8	8	9	7	11	8	7	10	9	15	15	15	16	12	8	4	3	2	3	3	2	2
Blocked drain Doncaster		3	4	4	5	7	7	1	4	1	2	3	2	2	3	4	5	5	6	5	6	9	8	7	9	8	8	4	5	4	5	4	4	39	7	6	7	7
Blocked drain Box Hill		1	1	2	2	2	2	4	3	3	5	9	7	9	6	6	6	6	8	6	6	6	11	9	8	8	10	5	8	6	6	5	4	4	4	4	4	3
Blocked drain Pakenham		1	1	1	1	1	1	2	2	4	4	4	2	2	3	2	3	1	2	1	2	2	3	2	4	3	3	4	3	2	1	1	2	1	1	1	1	2
Blocked drain Camberwell		1	1	1	2	2	2	2	1	3	5	5	4	4	3	4	3	4	4	4	3	5	5	4	5	6	6	5	5	5	4	4	3	3	4	4	2	2
Blocked drain Croydon		2	2	2	2	2	2	2	3	3	3	2	3	3	3	4	5	5	6	8	7	6	7	10	6	6	6	3	3	3	2	2	2	2	2	2	2	2
Blocked drain Donvale		1	1	1	1	1	1	1	1	2	2	3	2	1	1	2	2	1	1	1	1	1	1	2	1	3	1	1	1	2	2	2	2	2	2	1	1	1
Blocked drain Ringwood		2	2	2	2	2	2	2	2	2	2	4	3	3	3	5	3	3	3	3	3	5	5	4	4	4	5	4	4	3	5	4	5	7	6	4	4	4
Blocked stormwater Berwick		1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	3	2	3	2	1	1	2	2	2	2	1	1	1	1	2	4
Blocked stormwater Balwyn		2	2	1	1	1	1	1	1	1	36	1	1	1	1	33	24	-	-	2	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1
Blocked stormwater Kew		1	1	2	1	1	1	1	1	2	2	3	3	1	1	1	1	1	2	3	6	7	6	2	2	8	3	3	7	3	3	1	1	1	1	1	10	2
Blocked stormwater Doncaster		1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	2	2	2	1	1	2	2	3	3	3	3	2	2	2	1	3	1	1	1	2	3	3
Blocked stormwater Box Hill		1	1	1	1	63	1	1	2	1	2	4	5	4	4	3	3	3	4	2	3	5	3	2	2	2	3	1	2	2	2	2	1	1	2	1	1	1
blocked drain eltham		1	1	1	2	3	1	1	1	3	3	3	3	3	2	2	2	2	3	2	2	3	4	2	2	2	3	1	1	1	1	1	1	1	1	1	1	1
blocked drain endeavour hills		1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2
blocked drain ferntree gully		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	4	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	3
blocked drain knoxfield		1	1	1	1	1	1	1	1	1	1	21	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
blocked drain lilydale		1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	3	3	3	3	3	4	3	4	4	3	3	3	3	3	3	3	1	1	2	2	1
blocked drain oakleigh		2	2	2	1	1	3	2	3	3	3	3	3	2	3	4	4	6	32	-	8	12	10	13	12	11	9	10	9	9	8	12	3	5	3	4	3	3
blocked drains caulfield		2	3	1	4	4	3	3	2	2	2	2	2	2	2	3	3	2	3	6	7	10	9	11	7	7	10	1	3	3	3	1	3	1	2	4	2	3
blocked drains clayton		3	4	5	2	2	2	2	2	2	2	3	3	3	3	3	7	3	4	5	6	8	7	10	9	9	8	6	14	12	11	12	9	11	13	13	4	1
blocked drains cranbourne		2	2	2	2	2	2	2	3	2	3	2	3	1	1	1	1	1	2	1	1	1	2	1	1	1	2	4	4	4	4	4	2	2	4	5	1	3
blocked drains dandenong		4	4	5	5	3	1	2	1	1	2	3	4	4	5	5	7	6	8	8	7	12	5	11	12	12	11	8	5	7	5	3	3	3	4	3	2	4
blocked drains frankston		5	5	5	6	4	5	5	5	5	5	5	5	7	9	8	7	8	7	2	4	4	4	4	5	4	4	4	5	6	1	5	6	5	5	3	3	5
blocked drains officer		1	2	1	1	1	14	2	1	14	2	3	2	37	2	33	28	30	16	21	14	12	21	14	1	26	7	1	1	1	1	1	1	1	1	1	1	1
blocked drains wantirna		2	1	2	2	1	1	2	2	2	2	3	2	2	3	2	2	2	2	2	2	3	3	2	2	2	1	1	1	4	4	1	1	1	1	2	2	3
