		2024-07-19	2024-08-16	2024-09-20	2024-10-18	2024-11-06
doggy bootcamp albury		-	-	-	1	1
doggy bootcamp ballarat		-	-	-	1	1
doggy bootcamp bendigo		-	-	-	1	1
doggy bootcamp geelong		-	-	-	1	1
doggy bootcamp mornington		-	-	-	1	1
dog obedience training albury		-	-	-	5	9
dog obedience training ballarat		-	-	-	6	9
dog obedience training bendigo		-	-	-	12	12
dog obedience training geelong		-	-	-	16	21
dog obedience training mornington		-	-	-	10	13
dog trainers albury		-	-	-	5	5
dog trainers ballarat		-	-	-	7	8
dog trainers bendigo		-	-	-	12	12
dog trainers geelong		-	-	-	17	21
dog trainers mornington		-	-	-	11	12
dog boarding kennels melbourne		-	-	-	-	63
dog boarding kennels victoria		-	-	-	-	46
doggy bootcamp melbourne		8	4	3	2	2
doggy bootcamp victoria		-	-	68	2	2
dog obedience training melbourne		90	-	67	45	44
dog obedience training victoria		-	-	-	16	15
dog trainers melbourne		-	-	-	53	57
dog trainers victoria		-	-	-	10	12
