		2023-05-01	2023-05-31	2023-06-15	2023-07-03	2023-07-26	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-01	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-15	2024-11-14
caravan sales melbourne		-	-	-	-	-	19	34	31	34	36	36	29	29	22	24	24	35	14	14	13	14
caravan manufacturer melbourne		-	-	27	17	42	17	9	8	6	8	6	8	5	5	3	3	3	2	3	2	5
caravan dealer melbourne		-	-	44	36	48	16	7	5	11	8	8	9	11	6	8	20	22	39	18	17	21
off road caravans for sale melbourne		-	-	50	21	9	9	10	14	6	5	5	5	5	6	5	5	5	4	5	3	6
new caravans for sale melbourne		-	-	47	33	42	22	21	25	19	17	15	15	15	17	19	18	14	11	17	13	13
caravans for sale victoria		-	-	-	-	-	21	22	24	29	27	29	29	27	21	24	30	22	20	19	21	23
off road caravans for sale victoria		-	-	-	18	7	4	8	7	4	4	8	6	7	3	8	23	3	9	6	5	5
caravans for sale qld		-	-	-	-	-	-	-	18	16	17	15	18	16	18	17	18	15	13	19	16	20
off road caravans for sale qld		-	-	-	-	-	-	-	19	15	13	16	22	18	14	13	17	14	14	28	13	17
caravan sales albury		-	-	-	17	14	19	14	12	12	11	9	9	9	9	8	6	5	7	6	5	6
caravan sales geelong		-	-	24	24	22	20	17	19	13	14	33	30	18	20	19	12	12	10	16	13	13
caravan sales ballarat		-	-	87	15	13	14	15	14	11	12	17	18	11	10	11	11	10	7	11	8	8
caravan sales bendigo		-	-	-	22	10	13	13	15	14	24	21	19	20	18	17	19	13	11	10	17	16
caravan sales pakenham		-	-	52	16	8	8	9	10	9	9	9	11	9	5	5	5	5	5	5	7	7
caravan sales mornington		-	-	35	22	6	4	8	12	29	28	3	3	3	4	3	2	2	2	2	2	2
caravan sales frankston		-	-	19	11	10	10	5	5	4	3	2	1	2	2	5	6	4	4	5	5	7
caravan sales epping		-	-	6	5	2	2	3	3	3	2	1	1	1	1	1	1	1	1	1	1	2
caravan sales campbellfield		-	-	15	16	17	18	11	10	10	10	9	12	6	5	2	3	2	2	3	2	3
caravan sales somerton		-	-	45	3	3	5	3	4	4	4	2	1	2	2	2	1	1	1	2	3	3
caravan sales yarrawonga		-	-	50	9	11	8	11	11	9	6	6	4	4	5	4	4	3	3	3	2	2
caravan sales echuca		-	-	14	10	16	8	7	2	5	5	3	3	3	4	6	5	3	3	4	3	2
caravan sales gladstone		-	-	65	11	8	7	7	7	3	4	3	2	2	3	3	3	2	2	1	1	2
caravan sales mackay		-	-	19	19	11	12	9	15	14	14	9	12	16	16	19	14	20	12	18	11	15
caravan sales moama		-	-	57	7	5	5	5	4	4	4	4	4	4	5	6	8	3	7	5	6	5
caravan sales rockhampton		-	-	71	10	10	10	6	4	5	6	5	5	7	5	4	6	4	3	3	3	4
caravan sales townsville		-	-	-	22	19	20	19	20	21	19	29	27	21	21	19	18	17	15	14	11	7
caravan sales wagga wagga		-	-	-	71	-	-	-	75	72	15	17	17	9	8	7	7	6	6	6	6	6
caravan sales wodonga		-	-	76	18	14	18	10	13	11	10	10	9	10	12	12	10	9	10	7	5	8
caravan sales springvale		-	-	16	12	9	63	7	6	5	4	4	4	4	2	2	2	2	1	2	1	2
family caravans for sale		-	-	-	-	-	15	18	17	3	3	5	6	5	3	3	5	2	4	9	8	15
off road family caravans		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	89	-	84	-	79	81
rear club lounge caravans for sale		-	-	-	-	-	25	9	7	8	10	12	12	10	5	6	7	10	11	3	5	6
off road caravans melbourne		-	-	-	-	41	28	34	54	45	46	65	58	21	11	30	14	10	10	43	11	18
off road caravans qld		-	-	-	-	-	-	-	98	71	-	65	99	93	72	50	82	60	51	70	61	97
family caravans melbourne		-	-	-	-	-	31	18	16	9	11	12	10	9	8	8	6	6	5	7	7	12
