		2022-09-21	2022-10-13	2022-11-07	2022-11-30	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-04-27	2023-05-17	2023-06-15	2023-07-06	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-02-25	2024-03-06	2024-04-19	2024-05-14	2024-06-13	2024-07-18	2024-08-16	2024-09-17	2024-10-18	2024-11-14	2024-12-04
criminal lawyers sydney		-	-	-	-	-	97	54	46	51	39	67	74	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
property lawyers sydney		-	-	-	-	-	62	67	58	73	72	77	65	68	68	80	51	28	32	89	-	-	-	15	15	-	-	-	-	60	62	67
criminal lawyers bankstown		-	-	-	22	21	15	15	16	18	21	22	21	12	20	14	19	22	21	22	20	21	16	19	14	19	18	20	20	19	22	22
criminal lawyers blacktown		-	-	-	15	11	6	7	6	5	7	6	5	3	5	5	7	6	6	6	5	5	4	7	6	7	8	7	13	13	14	14
criminal lawyers burwood		57	57	-	12	12	11	11	13	11	13	9	9	9	7	6	6	6	5	5	5	5	5	3	1	4	6	7	8	8	12	11
criminal lawyers central coast		-	-	-	16	13	11	11	13	16	15	15	16	15	14	15	17	19	16	20	19	19	19	18	19	20	22	21	20	18	26	24
criminal lawyers gosford		-	-	-	10	9	7	6	8	12	13	13	13	8	7	11	18	9	14	13	11	13	12	53	17	14	22	25	24	21	22	22
criminal lawyers hornsby		-	-	-	9	9	6	6	7	4	6	6	5	7	5	5	7	9	5	7	7	7	6	6	8	7	9	8	18	13	20	18
criminal lawyers manly		-	-	-	8	8	4	5	6	10	12	14	9	6	6	6	6	7	7	9	7	7	7	7	5	7	7	10	11	11	18	18
criminal lawyers newtown		-	-	-	10	8	2	2	2	2	2	3	2	2	2	3	2	2	2	3	2	2	2	1	1	2	-	1	1	1	2	2
criminal lawyers parramatta		35	36	-	22	27	22	23	21	35	43	44	41	38	30	28	34	20	21	22	22	-	30	38	35	44	41	42	47	50	50	44
criminal lawyers sutherland		-	-	-	16	16	10	9	12	19	20	23	17	13	13	13	20	17	18	17	18	52	22	17	16	19	25	15	21	16	23	19
lawyers bankstown		-	-	-	37	37	38	39	35	67	64	67	69	59	40	43	30	45	42	52	51	47	49	28	25	30	31	8	29	39	34	33
lawyers blacktown		-	-	-	33	28	26	28	25	30	32	31	29	21	26	27	20	21	26	25	25	22	28	19	25	26	27	27	36	31	33	31
lawyers burwood		67	79	80	22	23	24	20	20	32	27	27	30	24	10	11	11	11	12	11	13	12	14	11	9	22	23	19	25	11	12	10
lawyers central coast		-	-	-	50	54	44	31	24	17	16	27	18	16	15	15	26	14	13	28	29	24	22	13	16	25	26	28	32	31	31	30
lawyers gosford		-	-	-	42	36	34	40	30	45	46	43	37	15	17	18	23	18	18	18	18	66	18	17	17	30	18	90	27	34	36	35
lawyers hornsby		-	-	-	24	20	15	14	14	30	37	42	39	39	17	19	14	16	16	11	11	12	12	6	5	9	4	5	6	8	10	9
lawyers manly		-	-	-	17	21	24	21	18	32	31	36	35	25	24	16	21	20	21	22	15	12	10	10	8	12	25	22	24	28	26	27
lawyers newtown		-	-	-	10	20	8	5	6	7	7	8	8	8	7	7	8	9	11	12	11	11	12	7	5	7	7	5	7	6	9	11
lawyers parramatta		-	-	-	87	95	48	56	56	92	97	96	-	-	88	89	84	79	67	85	85	78	-	71	63	63	70	58	65	74	77	85
lawyers sutherland		-	-	-	23	24	20	19	20	30	56	59	63	43	26	27	28	35	52	53	49	51	53	62	76	63	63	33	39	56	40	36
property settlement lawyers sydney		-	-	-	-	-	-	-	-	-	95	-	98	86	20	-	-	25	25	77	25	-	-	-	18	25	42	24	34	30	37	40
family lawyers sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	79	-	-	-	-	-	-	-	-	-	-
divorce lawyers sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
child custody lawyers sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	45	55	74	32	50	66	65	23	24	68	74	92	67	91	56	63	47	69
family law sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
consent orders sydney		-	-	-	58	73	68	83	63	-	-	-	-	-	11	9	11	11	9	7	8	8	8	7	7	6	6	4	7	1	7	7
divorce sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
parenting lawyers sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	15	17	33	21	20	25	17	15	17	22	24	28	26	19	22	31	62	77
property settlement lawyers bankstown		-	-	-	7	10	9	10	5	12	16	16	13	1	-	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	31	1
