		2023-06-01	2023-07-20	2023-08-19	2023-09-11	2023-10-12	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-06	2024-10-18	2024-11-14
emotional regulation therapy perth		-	63	15	15	12	14	11	11	9	18	22	24	23	21	21	21	17	18
kids therapy perth		-	-	59	40	45	49	79	78	66	70	70	74	70	60	77	64	83	61
speech therapy perth		-	-	54	48	46	-	28	26	17	13	27	24	39	36	35	39	16	9
occupational therapy perth		-	-	47	19	21	35	32	18	14	12	55	47	46	37	-	37	64	42
paediatric occupational therapy perth		-	-	34	31	36	20	22	21	21	6	11	8	10	11	12	13	7	5
eye test applecross		-	-	5	7	8	10	4	3	2	2	2	2	2	2	2	3	2	4
eye test bayswater		-	-	23	21	20	1	2	2	2	4	4	4	3	4	4	4	4	11
eye test carine		-	-	-	11	5	9	7	3	3	4	4	3	2	2	2	3	2	4
eye test city beach		-	8	2	3	1	1	2	3	2	3	1	1	1	2	1	1	1	1
eye test claremont		-	-	-	-	-	-	17	16	15	18	19	17	15	18	18	15	11	12
eye test wembley		-	-	-	56	-	-	38	4	4	5	3	6	2	3	5	5	4	6
eye test highgate		-	-	-	42	41	4	2	3	2	2	2	1	2	1	1	1	1	1
eye test joondanna		-	-	2	2	1	2	2	3	4	3	1	1	1	1	1	1	1	1
eye test leederville		4	3	3	3	3	2	3	3	3	2	2	2	2	2	2	2	1	1
eye test mount lawley		-	-	-	23	17	11	13	9	8	7	5	5	4	4	3	3	3	3
kids optometrist applecross		-	-	12	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1
kids optometrist bayswater		2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1
kids optometrist carine		-	-	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
kids optometrist city beach		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kids optometrist claremont		-	-	-	2	2	5	2	2	2	2	2	2	2	2	2	2	1	1
kids optometrist wembley		52	-	4	5	5	4	2	2	2	3	3	3	2	1	2	1	2	2
kids optometrist highgate		3	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
kids optometrist joondanna		3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kids optometrist leederville		1	1	1	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1
kids optometrist mount lawley		-	13	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1
occupational therapy applecross		-	-	30	31	27	29	22	24	24	4	4	4	4	4	4	4	3	4
occupational therapy bayswater		-	-	-	46	50	37	33	2	2	35	4	45	40	3	52	4	1	1
occupational therapy carine		-	-	-	-	32	24	28	27	25	24	7	6	5	4	5	5	4	3
occupational therapy city beach		-	-	-	1	6	1	1	3	1	1	1	1	2	2	6	8	5	4
occupational therapy claremont		-	-	-	-	-	75	4	4	4	3	4	2	2	2	3	3	4	2
occupational therapy wembley		-	-	-	-	63	3	3	3	3	3	3	3	4	4	3	3	4	4
occupational therapy highgate		-	-	-	3	22	8	1	8	9	1	1	1	1	1	1	6	6	2
occupational therapy joondanna		-	-	1	2	2	1	2	2	2	2	2	2	3	3	3	2	1	1
occupational therapy leederville		24	21	9	14	7	6	6	4	3	5	4	5	5	6	2	2	1	2
occupational therapy mount lawley		-	-	-	49	42	42	59	50	47	8	6	53	47	55	55	4	2	3
eye test booragoon		-	-	32	27	21	7	7	7	7	9	9	10	10	12	10	10	8	11
eye test bull creek		4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	2	2
eye test cannington		-	-	-	28	20	18	19	18	22	29	10	8	9	11	9	11	9	12
eye test cockburn		14	11	14	15	6	6	5	5	5	5	5	4	4	4	4	4	4	4
eye test leeming		2	3	2	3	3	2	4	2	2	1	1	1	2	2	3	2	2	1
eye test parkwood		-	-	1	2	1	2	1	1	1	2	2	1	1	1	1	1	1	1
eye test piara waters		-	-	2	2	1	1	4	1	1	1	1	1	1	1	1	1	1	1
eye test salter point		-	-	1	3	1	1	2	1	1	1	1	1	1	1	1	1	1	1
eye test willetton		-	-	19	22	14	13	13	7	7	7	6	5	5	5	4	4	5	5
kids optometrist booragoon		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kids optometrist bull creek		-	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1
kids optometrist cannington		12	-	7	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kids optometrist cockburn		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kids optometrist huntingdale		7	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kids optometrist leeming		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kids optometrist parkwood		48	-	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kids optometrist piara waters		-	-	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
kids optometrist salter point		2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kids optometrist willetton		8	23	5	1	3	1	4	1	1	1	1	1	1	1	1	1	1	1
occupational therapy booragoon		-	-	-	37	38	26	31	5	4	4	4	5	6	5	26	27	26	14
occupational therapy bull creek		3	1	1	1	1	1	1	1	1	1	1	2	5	7	2	2	2	2
occupational therapy cannington		-	-	-	34	-	28	29	6	36	36	3	27	2	3	2	1	1	1
occupational therapy cockburn		-	-	-	64	46	46	29	5	30	4	3	2	2	2	3	1	1	2
occupational therapy huntingdale		-	-	1	2	4	1	1	1	1	1	1	1	1	23	1	2	18	3
occupational therapy leeming		27	20	9	9	7	6	5	5	5	5	6	5	6	5	9	5	6	6
occupational therapy parkwood		-	-	-	35	28	37	3	4	8	7	1	1	1	3	1	3	1	1
occupational therapy piara waters		-	-	-	16	14	15	11	2	2	2	3	3	3	2	3	3	3	3
occupational therapy salter point		-	-	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
occupational therapy willetton		-	-	-	-	24	3	2	24	16	2	2	2	2	1	1	2	1	1
speech therapy leeming		5	3	6	4	4	6	7	7	6	8	4	4	4	4	5	6	6	6
