		2022-09-02	2022-10-14	2022-11-17	2022-11-27	2022-12-15	2023-01-19	2023-02-01	2023-03-17	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-11-26	2023-12-14	2024-01-11	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-11	2024-10-18	2024-11-11
Buyers Advocate Melbourne		27	24	34	34	28	22	23	20	19	15	24	23	24	29	27	27	33	26	20	25	22	30	22	21	20	22	23	22	30
Buyers Advocate Sydney		50	29	13	11	10	14	21	21	13	15	16	18	18	24	23	32	43	21	20	23	54	27	20	26	26	26	16	16	16
Buyers Advocate Perth		13	11	10	8	8	9	9	7	8	4	8	8	12	17	16	16	19	18	19	18	16	16	13	11	20	13	8	7	6
Buyers Agent Melbourne		44	52	40	41	36	36	40	36	32	10	16	19	34	33	32	19	18	23	29	30	25	20	22	24	25	23	23	19	31
Buyers Agent Sydney		54	75	65	69	43	48	45	56	39	47	36	27	31	40	39	59	73	32	36	33	-	81	36	64	86	50	28	29	41
Buyers Agent Perth		22	25	26	25	20	17	15	9	10	9	11	14	15	35	32	27	28	32	24	32	26	27	24	26	21	30	34	37	38
Buyers Agent Hawthorn		23	17	13	13	12	15	13	10	6	5	-	3	7	8	7	9	9	8	7	7	5	5	4	5	6	6	5	4	4
Buyers Agent Camberwell		55	47	40	45	-	2	2	1	1	2	2	1	1	2	2	2	2	2	2	1	2	1	1	2	2	1	1	1	1
Buyers Agent Kew		-	-	41	41	51	48	49	42	5	5	7	8	26	30	5	9	8	8	4	6	7	6	5	6	8	7	5	2	1
Buyers Agent Malvern		14	19	15	20	32	26	30	3	3	4	5	4	6	4	4	4	4	4	3	3	2	2	2	1	1	1	1	1	1
Buyers Agent Armadale		-	-	-	-	-	-	-	-	4	5	5	5	6	6	6	6	6	5	-	5	3	2	2	3	2	2	2	2	2
