		2022-09-07	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-07	2023-04-14	2023-04-18	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-14	2024-11-14
chipper shredder adelaide		-	53	5	3	8	8	7	7	5	4	3	2	2	2	4	3	3	3	4	3	3	3	4	4	3	3	3	2
chipper shredder brisbane		-	44	8	2	13	16	13	15	20	12	4	7	4	5	5	5	4	5	2	2	2	1	1	1	1	1	1	1
chipper shredder melbourne		-	35	8	2	10	10	11	10	10	18	8	7	6	7	8	8	6	6	5	6	6	7	7	5	8	6	4	5
chipper shredder perth		-	29	6	3	11	8	8	7	7	6	3	3	2	3	2	5	3	4	4	3	6	5	6	5	2	4	5	2
chipper shredder sydney		-	36	4	3	10	5	7	10	10	9	5	5	5	5	8	2	4	4	4	3	2	1	1	1	1	1	1	1
chippers adelaide		-	28	7	4	9	6	6	5	5	4	3	3	4	3	3	3	3	4	4	3	3	3	4	2	2	3	3	4
chippers brisbane		-	41	7	6	6	8	7	8	7	6	3	1	1	2	1	1	2	3	1	1	1	1	1	1	1	1	1	1
chippers melbourne		-	-	7	5	8	9	12	12	13	13	10	7	7	6	8	7	8	6	7	7	7	5	6	4	5	7	10	14
chippers perth		-	-	13	3	12	7	7	7	7	6	3	3	3	2	2	2	2	3	2	2	3	2	4	2	1	3	4	3
chippers sydney		-	-	6	5	5	4	4	5	5	4	3	3	1	1	2	1	3	1	2	1	1	1	1	1	1	2	1	1
log splitter adelaide		-	-	29	28	34	33	19	14	12	16	8	9	8	12	10	8	7	7	8	6	6	5	5	5	5	6	6	7
log splitter brisbane		-	68	35	27	34	28	22	11	10	9	7	3	1	3	4	3	5	5	6	8	8	4	5	4	5	8	6	6
log splitter melbourne		-	-	39	32	33	23	21	16	18	22	24	17	10	24	25	26	20	22	27	29	27	28	35	35	32	27	28	30
log splitter perth		-	-	27	-	-	34	23	14	15	10	7	5	5	5	6	6	7	7	7	6	6	4	7	6	4	6	8	7
log splitter sydney		-	-	39	28	36	37	47	64	-	-	-	13	16	14	19	15	13	16	12	6	6	3	6	3	7	4	6	4
mulcher chippers adelaide		-	21	8	3	5	6	4	4	5	4	4	4	4	4	4	4	4	3	4	3	1	3	3	2	2	3	3	4
mulcher chippers brisbane		-	27	5	3	5	6	5	7	5	4	2	3	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1
mulcher chippers melbourne		-	39	11	7	5	4	4	5	6	4	4	4	4	7	5	5	8	8	8	6	9	8	6	8	7	10	11	12
mulcher chippers perth		-	30	5	2	8	6	6	4	4	6	3	4	3	3	1	1	2	3	3	2	4	2	2	3	2	1	1	1
mulcher chippers sydney		-	37	5	3	4	3	5	6	5	3	2	2	2	2	3	3	2	3	4	3	2	1	2	2	2	2	1	6
mulchers adelaide		-	-	6	5	6	6	6	6	6	6	6	4	4	6	5	4	4	3	4	4	5	5	5	6	5	4	4	2
mulchers brisbane		-	35	5	4	5	9	4	7	9	6	5	3	2	3	4	2	2	2	2	2	1	1	1	1	1	2	1	2
mulchers melbourne		-	-	8	7	8	7	9	9	9	9	9	6	6	8	13	10	10	8	7	9	7	8	9	9	11	7	7	12
mulchers perth		-	38	11	4	5	5	4	5	5	5	4	4	3	6	3	2	2	2	2	1	1	1	1	2	1	1	1	1
mulchers sydney		-	42	3	2	7	6	6	8	7	5	6	-	6	8	7	7	6	7	6	2	2	4	3	4	3	4	6	9
wood chipper adelaide		-	24	8	5	8	7	7	6	5	5	5	2	3	4	3	2	2	2	2	2	3	3	3	3	2	2	3	3
wood chipper brisbane		-	71	8	3	8	15	12	16	15	6	4	4	2	3	4	2	5	3	1	2	1	1	1	1	1	1	1	1
wood chipper melbourne		-	-	9	7	11	11	14	20	21	14	12	8	8	11	14	13	10	9	8	10	10	9	8	6	8	8	10	13
wood chipper perth		-	-	17	2	9	8	8	8	8	4	4	2	3	1	1	1	1	1	2	2	1	1	1	1	1	2	1	2
wood chipper sydney		-	32	5	6	6	5	7	7	7	5	5	7	4	4	5	3	5	3	5	3	2	1	2	3	1	1	1	2
wood splitter adelaide		-	-	29	33	39	37	21	11	11	14	8	10	8	13	11	6	6	6	8	6	6	4	8	8	5	7	6	7
wood splitter brisbane		-	-	34	32	41	32	22	10	9	8	6	3	3	4	3	3	4	4	5	3	11	5	5	5	4	6	2	7
wood splitter melbourne		-	-	34	27	34	25	18	17	19	19	15	20	10	22	24	24	21	23	26	27	44	25	39	37	32	30	30	30
wood splitter perth		-	42	26	24	28	27	27	12	14	7	6	4	4	5	6	5	4	4	6	5	6	5	6	5	6	6	8	9
wood splitter sydney		-	-	41	30	38	50	33	15	16	17	16	11	7	13	14	14	10	6	7	3	3	3	2	2	3	5	5	6
log splitter		-	-	-	-	-	-	-	-	-	-	79	-	20	16	26	17	18	14	20	44	25	32	18	25	-	42	40	62
wood splitter		-	-	-	-	-	-	-	-	-	-	22	53	25	26	21	28	27	42	47	-	38	-	28	-	-	38	-	46
wood chipper		-	-	-	-	-	-	-	-	-	-	32	49	49	34	19	7	3	5	1	8	7	6	11	8	9	9	5	10
chipper shredder		-	-	-	-	-	-	-	-	31	33	21	-	9	6	6	2	2	4	2	2	5	4	6	5	1	1	3	3
