		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2024-02-19	2024-03-04	2024-04-02	2024-04-26	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
horse girth		50	49	44	42	15	22	20	23	25	24	21	16	24	13	11	36	32	34	26	44	18	35	33	61	73	67	47	64	74	72	57	54	52	60
shoulder relief girth		4	4	3	3	2	2	5	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	3	4	3	1	2	2
dressage girth		17	13	17	37	44	45	44	34	15	-	16	15	58	52	54	58	22	16	9	10	5	43	34	-	62	90	86	82	-	42	39	38	45	37
total saddle fit girth		4	3	2	2	2	2	5	4	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	2	2	2	2	2	2	2	1	3	1
shoulder relief cinch		5	4	3	4	3	3	3	3	3	15	3	3	1	1	1	1	1	1	3	1	1	1	2	1	3	2	1	3	3	2	3	1	2	2
showjumping boots		15	8	9	10	3	1	2	1	2	2	2	2	2	2	1	1	2	1	4	3	4	4	7	10	10	13	12	12	8	9	6	8	11	8
horse boots		-	96	88	91	61	55	36	34	36	25	29	15	35	34	53	-	60	68	44	47	37	-	63	-	-	-	-	-	-	-	-	-	-	-
open front jumping boots		28	10	14	15	9	9	8	8	10	10	9	7	9	9	10	10	6	6	7	11	7	8	10	21	23	43	53	23	36	21	27	35	21	19
dressage horse boots		27	11	10	7	6	7	6	7	7	5	5	4	4	3	2	2	2	2	2	2	2	4	13	16	18	18	8	9	21	9	8	28	32	23
dressage boots		-	93	86	73	58	46	39	47	31	17	14	14	17	13	22	32	17	19	21	36	22	34	25	15	19	10	12	16	24	17	16	13	11	12
horse saddle pads		70	83	80	96	52	59	78	45	72	46	34	33	38	28	35	33	24	29	23	16	17	58	63	89	87	-	71	36	30	26	27	33	26	23
dressage saddle pads		48	84	78	69	56	54	49	59	56	49	35	20	38	15	22	34	23	24	25	19	16	59	49	-	-	-	-	-	33	37	19	81	-	-
saddle pads for sale		32	36	37	34	25	47	29	49	39	35	15	39	32	20	32	33	18	21	15	16	12	31	31	84	-	78	77	16	13	10	14	-	57	31
saddle pads australia		-	-	-	-	-	-	-	-	-	-	83	95	63	59	59	65	-	70	18	22	34	-	95	-	-	-	-	-	-	-	98	50	39	56
half pad		24	12	11	12	11	13	10	10	11	12	10	9	9	8	3	6	2	5	7	8	8	27	35	27	29	24	21	22	25	28	15	23	36	31
horse riding helmets		29	20	20	36	24	21	11	14	18	17	14	14	14	13	25	27	23	22	22	14	23	17	15	16	18	15	15	17	16	18	19	12	18	12
equestrian helmets		21	18	17	35	18	18	13	13	14	15	14	16	14	13	14	16	16	18	17	22	24	12	17	21	25	14	12	60	12	91	20	12	11	10
horse riding hats		8	10	9	10	11	10	11	10	11	14	13	12	9	11	14	18	14	13	15	14	11	7	5	5	11	8	8	9	11	11	9	7	54	6
equestrian helmets australia		17	18	15	17	13	13	11	11	14	14	13	13	13	12	19	20	16	14	16	15	16	24	29	15	24	11	9	11	11	8	28	13	16	17
horse riding jackets		8	8	8	7	6	6	6	6	6	7	8	8	8	8	11	11	9	14	15	15	6	5	16	9	19	21	14	18	13	21	19	15	16	16
horse riding jackets australia		22	21	26	25	27	23	18	26	22	10	20	10	8	8	8	9	10	10	9	5	3	3	9	4	7	13	12	11	4	13	13	11	9	13
waterproof horse riding jacket		6	5	4	3	3	3	2	2	8	7	4	4	7	6	5	7	6	7	5	3	6	8	6	9	8	9	8	9	8	11	14	4	6	9
equestrian jackets		10	9	8	10	7	7	8	9	10	7	7	5	9	9	8	8	7	6	5	7	7	6	5	5	9	18	14	-	17	16	16	12	11	11
charles owen helmets		7	5	5	5	5	6	5	5	5	5	4	4	5	3	3	3	3	3	3	3	3	3	3	4	3	4	4	4	3	3	2	3	2	4
racesafe vests		3	3	3	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	4	4	3	4	4	4	4	4	4
racesafe body protector		3	4	4	4	3	3	3	3	3	3	3	3	2	1	2	2	2	2	2	2	2	4	3	5	5	5	5	5	7	7	5	4	4	6
bucas rugs		5	5	5	5	5	5	5	6	6	5	5	5	5	5	5	5	4	4	4	8	5	4	7	6	8	5	6	4	3	7	4	9	8	17
