		2022-05-03	2022-06-15	2022-07-15	2022-08-17	2022-08-24	2022-09-16	2022-09-30	2022-10-13	2022-11-17	2022-12-06	2023-01-19	2023-02-16	2023-02-23	2023-02-28	2023-03-16	2023-03-24	2023-04-14	2023-04-18	2023-05-02	2023-06-15	2023-06-27	2023-07-14	2023-08-18	2023-09-11	2023-10-18	2023-10-30	2023-11-08	2023-12-14	2024-01-19	2024-02-13	2024-02-21	2024-03-15	2024-04-19	2024-04-30	2024-05-17	2024-06-14	2024-07-19	2024-08-20	2024-09-05	2024-09-20	2024-10-08	2024-11-11
removalist		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	4	8	10	7	7	2	2	2	1	1	2	1	2	1	2	4
house movers		9	14	4	45	5	9	9	7	8	8	23	39	35	39	47	35	44	41	34	50	57	53	34	51	58	57	49	25	33	27	26	51	60	62	76	-	98	-	-	97	95	93
furniture movers		30	37	36	34	24	34	31	21	15	18	26	66	63	53	62	34	35	36	65	47	44	55	35	52	48	54	39	35	34	-	-	93	-	79	92	76	81	93	-	-	-	52
removal companies		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	48	42	38	51	-	53	57	67	61	60	-	62	45	68	51	69	42
movers and packers		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	3	3	2	3	4	4	5	3	4	7	6	6	6	8	10	10
cheap movers		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	7	7	6	7	7	7	7	7	7	6	7	8	8	8	-	7
moving company		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	68	54	74	69	-	-	-	-	79	73	70	72	68	82	67	86	53
removalist auckland		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	59	22	23	23	19	20	24	34	60	32	35	37	32	34	34	36	40
movers hamilton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	49	35	41	45	41	31	23	17	16	15	15	17	20	29	28	19
movers wellington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	94	88	80	33	20	20	20	21	24	20	28	54	23
movers tauranga		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	48	46	28	34	64	41	34	33	33	33	61	55	22
house removal companies auckland		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	38	33	29	50	32	30	35	27	31	30	26	51	47	60	57	55	52
house removals auckland		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	42	35	34	61	54	38	40	30	30	34	46	50	47	58	54	53	62
house moving companies		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	42	40	30	88	96	26	24	19	28	31	30	83	-	92	63	97	72
furniture removals auckland		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36	29	22	26	46	49	50	52	47	34	39	39	41	51	80	85	44
moving companies wellington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	95	-	-	-	-	74	27	17	18	17	19	26	19	27	66	25
moving truck for hire		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	66	65	52	49	45	41	43	30	41	-	-	31
wellington removal companies		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	93	91	89	68	66	64	30	19	22	16	17	27	26	66	71	29
moving services wellington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80	-	87	80	34	33	18	18	15	17	20	19	25	55	22
house movers auckland		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	49	47	24	35	31	29	-	23	-	35	29	51	34	36	33	37	41
house movers wellington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	84	80	60	56	-	33	50	35	37	41	36	41	57	40	37
house movers tauranga		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33	33	20	37	30	30	23	36	38	34	42	30	26
furniture movers auckland		24	24	25	23	23	29	19	15	12	19	15	20	20	20	24	23	18	19	18	28	-	39	30	37	41	39	38	30	34	50	51	69	60	93	57	57	55	47	57	87	95	45
furniture movers hamilton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	44	42	42	42	33	29	37	24	20	17	18	17	18	19	25	24	20
furniture movers wellington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	75	88	93	-	55	49	30	31	26	23	20	30	22	20	25	37	19
furniture movers tauranga		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31	65	24	27	25	26	20	20	24	29	29	35	25
furniture removals company		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	93	69	19	77	-	44	48	60	56	56	51	45	55	57	69	74	46
hire moving truck auckland		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35	25	21	20	20	20	27	18	17	20	36	50	21
house removals company		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	66	86	27	28	24	25	37	37	56	59	45	-	84	95	85	86	67
moving company lower hutt		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22	22	85	20	16	15	29	13	17	30	48	51	16
movers and packers auckland		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26	10	12	9	9	11	11	12	12	13	17	14	15	17	18	20	22
moving services auckland		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	58	48	38	64	28	54	64	69	60	56	42	42	45	48	44	57	48
auckland removals		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36	47	28	33	51	74	49	63	59	51	41	49	55	60	63	63	45
removal company auckland		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32	24	25	33	31	80	55	65	41	35	37	39	42	48	34	53	55
auckland moving company		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35	41	26	59	51	64	57	63	55	37	36	40	45	49	43	59	56
auckland movers		30	30	29	33	27	30	29	30	28	38	41	50	50	48	48	41	40	42	38	34	32	39	27	33	37	36	32	23	29	30	57	57	78	51	29	30	69	57	60	52	75	66
moving company hamilton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	59	-	26	50	52	25	28	20	19	20	18	20	19	20	48	48	21
furniture removals hamilton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	49	-	40	45	46	27	26	25	21	20	17	18	22	23	28	27	19
