		2022-05-03	2022-06-15	2022-07-15	2022-08-17	2022-08-24	2022-09-16	2022-09-30	2022-10-13	2022-11-17	2022-11-21	2022-12-06	2022-12-07	2023-01-19	2023-02-16	2023-02-23	2023-02-28	2023-03-16	2023-04-14	2023-05-01	2023-06-15	2023-07-03	2023-07-14	2023-08-17	2023-09-11	2023-10-18	2023-10-26	2023-11-08	2023-12-14	2024-01-19	2024-02-13	2024-02-21	2024-03-15	2024-04-19	2024-04-30	2024-05-17	2024-06-14	2024-07-09	2024-08-06	2024-09-20	2024-10-08	2024-11-11
removalists		28	26	31	29	30	30	22	25	33	31	25	24	32	43	25	42	7	3	5	1	4	4	6	3	4	14	16	17	15	-	71	13	14	12	68	-	16	19	75	-	-
removalists melbourne		25	18	20	20	21	15	15	14	16	17	15	16	20	55	21	29	21	20	22	13	14	15	15	17	19	19	20	17	19	19	19	14	14	13	13	12	19	12	9	17	26
removalists sydney		58	47	25	27	25	35	35	25	30	35	41	41	32	40	41	30	16	18	18	22	27	29	19	16	27	23	26	21	20	20	19	25	22	25	28	54	64	66	41	70	74
movers sydney		17	17	19	17	19	19	19	14	18	16	20	20	14	14	28	15	12	14	17	12	13	17	14	14	17	20	15	14	13	14	14	15	17	16	17	-	20	23	18	32	29
movers		9	7	9	13	13	11	10	11	10	12	10	10	13	18	11	13	6	4	5	6	5	5	4	5	3	9	9	2	3	7	3	5	3	6	6	5	2	3	2	28	6
furniture removalists		15	22	24	21	24	20	23	19	21	18	18	17	12	18	13	22	8	11	6	7	8	3	4	3	5	17	13	16	67	71	60	-	-	14	-	81	-	-	48	-	-
house removals		35	9	8	9	5	5	9	20	8	8	-	-	55	-	39	-	49	39	39	31	21	23	7	5	10	11	3	6	13	10	12	13	15	11	18	22	45	33	21	48	17
two men and a truck		-	96	11	16	16	10	9	9	16	8	7	8	14	21	23	24	17	18	18	17	12	18	10	12	12	11	9	8	35	9	8	13	10	9	7	7	8	9	10	6	24
man with a van		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22	-	-	-	-	15	-	-	11	29	-	26	13	13	12	12	9	12	23	11	19	16	18	18
removalists brisbane		14	24	24	22	22	20	25	18	16	14	15	15	19	21	26	19	18	17	19	16	18	17	14	15	20	19	21	20	18	20	18	15	15	12	17	10	13	18	15	17	17
removalists canberra		5	6	8	9	6	5	7	8	8	6	6	6	6	9	9	8	4	6	6	5	7	8	7	5	5	5	5	5	5	7	5	6	8	8	8	7	7	8	7	6	9
removalists perth		25	24	20	20	45	18	19	16	16	13	13	13	15	15	16	16	12	14	17	12	14	15	19	17	23	25	22	22	25	20	20	22	27	-	31	36	36	30	33	68	32
removalists adelaide		6	7	6	6	8	6	6	6	7	9	9	9	8	8	8	9	9	8	9	8	9	10	6	7	8	10	7	6	8	10	7	5	4	4	5	5	10	6	6	11	8
removalists geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	12	13	13	13	13	12	9	10	12	13	11	12	15	22	22
interstate moving melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	14	15	9	10	9	10	11	11	12	10	9	13	9	9	10
movers melbourne		21	16	19	19	19	17	18	17	15	15	16	16	17	20	17	19	-	15	16	19	19	16	17	15	17	17	16	19	17	20	30	24	17	17	18	17	18	17	16	16	16
movers brisbane		14	15	16	14	15	14	15	13	11	12	9	10	11	11	11	11	10	10	11	11	11	10	12	13	19	21	18	17	14	17	17	11	14	14	13	11	11	11	8	12	9
movers canberra		4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	5	7	5	6	6	6	6	6	5	7	7	6	6	6	7	6	8	6	6	7	6	5	5	5
movers perth		18	20	14	13	14	11	12	9	9	8	7	7	8	7	7	7	7	10	9	8	10	10	10	10	14	16	12	12	11	13	13	13	13	12	17	15	15	13	12	12	12
movers adelaide		5	6	6	7	7	5	5	4	5	5	6	5	5	5	6	7	4	5	7	6	6	7	4	3	8	7	5	4	5	6	6	5	4	4	5	7	7	6	4	5	8
movers geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	8	9	9	11	10	6	6	7	7	7	5	7	10	13	13
two men and a truck near me		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	8	8	24	6	8	13	12	12	15	14	6	6	7	26	16
movers and packers		4	4	4	3	3	3	3	3	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	1	1	1	2	2	1	1	1	2	2	2	1	2	2	2	2	2	2
house removals near me		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	51	-	-	26	-	-	-	33	-
interstate moving		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	18	17	27	11	21	27	11	19	11	25	6	43	5	4	13
cheap interstate movers		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	48	59	55	18	17	15	17	19	17	18	23	19	15	78	22	14
removalists ballarat		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	7	6	6	9	6	9	10	11	9	11	9	10	8	9	11
