		2023-07-11	2023-08-17	2023-09-15	2023-09-27	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-02-20	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
pool builders bentleigh		-	3	6	5	6	4	4	18	4	1	2	2	2	2	2	2	2	2	2
pool builders black rock		-	4	5	6	20	6	4	4	6	6	5	17	4	12	15	5	3	18	6
pool builders brighton		-	-	-	-	62	55	42	10	9	10	45	7	4	28	3	2	29	29	30
pool builders carrum downs		-	2	-	-	-	23	16	17	5	6	5	6	6	6	14	5	6	6	7
pool builders cranbourne		-	-	-	-	23	19	20	20	22	20	6	7	14	17	8	5	6	12	5
pool builders dromana		-	3	-	-	24	22	28	1	1	1	1	1	12	16	1	1	1	16	1
pool builders frankston		-	11	-	-	31	34	22	20	11	11	13	10	11	9	9	8	7	19	16
pool builders hastings		-	8	4	4	5	5	3	3	3	3	3	3	3	12	10	2	2	3	10
pool builders ivanhoe		-	4	2	4	5	5	5	4	5	5	6	5	7	3	6	12	15	13	5
pool builders kew		-	3	8	8	8	7	6	6	7	6	5	8	5	7	6	6	7	11	12
pool builders langwarrin		-	2	3	4	7	4	3	13	13	2	2	3	2	2	3	2	2	2	2
pool builders mornington		-	67	-	-	-	76	-	56	-	-	85	30	23	27	28	25	34	32	24
pool builders mt eliza		-	39	2	7	7	4	4	16	30	4	5	5	3	3	3	3	3	6	5
pool builders mt martha		-	36	2	4	5	6	5	21	35	33	5	7	4	22	3	4	4	4	6
pool builders narre warren		-	21	7	7	7	6	8	8	7	7	6	5	3	6	7	4	4	4	6
pool builders rosebud		-	-	-	-	24	22	20	5	7	7	18	16	4	4	11	3	3	3	3
pool builders seaford		-	15	-	-	22	20	2	11	14	16	2	4	2	2	2	2	2	2	2
pool builders sorrento		-	20	4	-	23	29	7	7	6	6	6	3	23	2	2	2	2	2	2
pool builders toorak		-	-	4	6	35	39	6	21	32	20	5	6	3	18	5	5	7	7	7
pool builders windsor		-	-	-	-	23	-	7	6	6	7	2	5	3	4	6	6	7	5	4
pool builders craigieburn		-	19	3	4	9	10	13	4	4	4	3	4	2	3	4	3	4	5	5
pool builders abbotsford		-	2	-	-	6	6	6	2	1	2	2	2	3	2	16	6	6	6	3
pool builders bulleen		-	6	3	3	3	3	3	8	8	8	3	3	2	7	2	2	2	3	2
pool builders carlton		-	21	-	-	3	4	2	8	2	2	1	2	2	2	7	2	2	2	2
pool builders clifton hill		-	13	-	-	12	12	3	3	2	3	3	9	2	2	2	2	2	9	9
pool builders coburg		-	-	3	6	6	7	7	4	4	4	3	16	4	4	13	16	7	6	4
pool builders diamond creek		-	-	8	7	5	4	4	6	5	6	5	5	5	5	5	3	4	3	4
pool builders eltham		-	16	-	-	15	14	20	4	5	5	5	4	3	3	3	3	4	4	4
pool builders fitzroy		-	11	-	-	11	3	3	3	3	3	3	3	3	3	3	1	2	2	2
pool builders flemington		-	13	2	2	2	1	2	3	7	7	4	4	3	2	4	2	6	5	21
pool builders glenroy		-	10	3	3	4	2	2	8	8	8	2	2	5	6	11	2	3	6	7
pool builders greensborough		-	25	-	5	6	6	5	6	6	6	7	6	3	3	5	4	2	4	4
pool builders hawthorn		-	-	5	5	6	5	4	4	7	7	9	8	6	26	8	6	28	22	7
pool builders houston		-	-	-	-	-	-	-	-	-	-	-	-	15	18	-	-	-	-	19
pool builders montmorency		-	16	3	4	3	3	2	11	9	3	2	2	2	2	2	2	2	2	3
