		2024-09-24	2024-10-18	2024-11-14	2024-12-02
commercial fitouts sydney		-	57	-	51
gym fitouts sydney		-	-	44	19
medical fitouts sydney		-	-	33	10
office fitouts sydney		-	-	-	-
shop fitouts sydney		-	-	-	53
office fitouts ashfield		-	1	2	2
office fitouts dulwich hill		-	6	1	28
office fitouts leichhardt		-	-	4	4
office fitouts marrickville		-	-	2	2
office fitouts burwood		-	-	4	4
office fitouts concord		-	-	2	3
office fitouts baulkham hills		-	-	3	3
office fitouts castle hill		-	-	4	4
office fitouts cherrybrook		-	17	1	1
office fitouts kellyville		-	-	2	2
office fitouts west pennant hills		-	-	1	2
office fitouts mascot		-	71	1	2
office fitouts maroubra		-	-	1	1
office fitouts randwick		-	47	1	1
office fitouts parramatta		-	-	10	9
commercial fitouts ashfield		-	43	2	2
commercial fitouts dulwich hill		-	-	2	2
commercial fitouts leichhardt		-	-	2	3
commercial fitouts marrickville		-	-	3	3
commercial fitouts burwood		-	-	2	3
commercial fitouts concord		-	-	2	2
commercial fitouts baulkham hills		-	50	3	3
commercial fitouts castle hill		-	56	7	8
commercial fitouts cherrybrook		-	7	1	1
commercial fitouts kellyville		-	37	2	1
commercial fitouts west pennant hills		-	6	1	1
commercial fitouts mascot		-	-	1	2
commercial fitouts maroubra		-	40	1	3
commercial fitouts randwick		-	-	2	2
commercial fitouts parramatta		-	-	10	13
