		2023-05-29	2023-06-15	2023-07-07	2023-08-03	2023-09-15	2023-10-04	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-04	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
carpet flooring Hurstville		-	-	3	3	3	3	3	3	3	3	3	2	3	2	5	3	2	2	2
carpet flooring Bexley		-	-	11	1	2	2	2	2	3	2	2	3	3	1	2	3	1	6	7
carpet flooring Cronulla		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
carpet flooring Earlwood		-	-	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
carpet flooring Engadine		-	-	4	6	5	6	5	5	5	5	4	4	4	3	3	5	4	4	3
carpet flooring Rockdale		63	60	4	5	5	6	3	3	3	3	3	2	3	2	2	2	2	1	2
carpet flooring Miranda		-	-	15	3	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1
carpet flooring Kogarah		67	64	3	3	4	3	2	2	2	2	2	2	2	2	2	3	3	2	3
carpet flooring Padstow		-	-	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2
carpet flooring Penshurst		-	-	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
carpet flooring Kingsgrove		-	58	4	4	5	6	5	5	5	5	5	5	4	3	4	4	4	3	3
carpet flooring Riverwood		-	-	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
carpet flooring Caringbah		6	5	7	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4
carpet flooring Sutherland		9	12	6	3	6	6	4	4	4	3	3	5	5	3	3	3	2	3	3
carpet flooring Carlton		-	-	2	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1
carpet flooring Arncliffe		-	-	6	1	2	1	1	1	2	2	1	2	2	1	1	1	1	1	1
carpet flooring Peakhurst		-	-	8	4	4	4	3	3	3	3	3	3	2	3	2	2	1	1	1
carpet flooring Oatley		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
carpet flooring Sylvania		33	52	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
carpet flooring Mortdale		-	-	9	1	1	1	1	1	1	2	1	1	1	2	1	2	1	2	1
carpet flooring Menai		-	-	7	6	4	5	5	5	5	5	5	2	2	1	2	3	1	2	3
carpet flooring Sans Souci		-	-	9	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1
carpet flooring Beverly Hills		-	-	9	1	1	1	2	2	1	2	2	2	2	2	2	4	2	2	2
carpet flooring Kirrawee		69	69	14	14	5	7	2	5	6	5	4	2	4	2	2	2	3	5	5
carpet flooring Brighton-Le-Sands		-	-	1	1	1	1	1	1	1	1	1	3	2	3	2	2	1	1	2
carpet flooring Gymea		-	-	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
carpet flooring Blakehurst		-	-	6	1	2	1	1	1	2	1	2	2	2	1	1	1	3	1	1
carpet flooring Bangor		-	-	4	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1
carpet flooring Monterey		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	64	1
carpet flooring Taren Point		4	3	2	3	5	5	5	5	5	3	5	5	5	4	4	4	4	5	4
carpet flooring Ramsgate		-	-	5	2	2	3	2	2	2	1	1	1	1	1	3	1	1	1	2
carpet flooring Illawong		-	-	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
carpet flooring Gymea Bay		-	-	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
carpet flooring Wolli Creek		-	-	2	2	2	1	1	2	2	2	1	1	2	1	1	1	2	1	1
hybrid flooring Hurstville		-	-	2	2	3	2	2	3	3	3	3	3	3	3	3	4	3	5	6
hybrid flooring Bexley		-	-	6	3	4	4	4	4	2	2	2	3	3	6	5	5	4	4	5
hybrid flooring Cronulla		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hybrid flooring Earlwood		-	-	2	2	2	1	1	1	1	1	1	1	1	1	3	3	2	3	3
hybrid flooring Engadine		-	-	2	2	2	2	3	1	1	2	2	1	1	3	2	2	4	4	4
hybrid flooring Rockdale		-	-	3	3	4	3	3	3	5	2	2	3	3	2	2	2	2	2	3
hybrid flooring Miranda		-	-	8	7	5	4	4	4	3	3	3	4	3	6	2	6	9	6	8
hybrid flooring Kogarah		-	-	2	2	2	2	2	2	2	2	2	2	3	2	3	4	4	2	3
hybrid flooring Padstow		-	-	2	2	2	2	2	2	2	1	2	3	3	3	3	5	4	2	3
hybrid flooring Penshurst		-	-	5	1	2	1	1	1	1	1	1	1	1	1	1	1	3	1	2
hybrid flooring Kingsgrove		-	-	3	2	4	2	3	3	3	3	2	4	4	4	3	5	4	4	4
hybrid flooring Riverwood		-	-	3	3	3	3	3	3	2	2	2	3	3	3	2	3	2	3	3
hybrid flooring Caringbah		36	41	7	5	7	6	5	5	5	5	5	6	5	5	6	6	6	6	5
hybrid flooring Sutherland		39	38	10	3	4	5	6	4	5	5	5	6	5	5	4	6	4	3	3
hybrid flooring Carlton		-	-	3	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
hybrid flooring Arncliffe		-	-	4	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2
hybrid flooring Peakhurst		-	-	6	2	2	2	2	2	1	1	1	3	3	6	4	7	5	5	5
hybrid flooring Oatley		-	-	2	1	2	1	1	1	2	1	1	2	1	2	2	2	3	3	2
hybrid flooring Sylvania		-	-	3	3	3	2	2	1	1	1	1	2	3	2	2	3	3	3	3
hybrid flooring Mortdale		-	-	4	2	2	2	2	2	1	1	1	2	2	1	2	4	2	2	2
hybrid flooring Menai		-	-	3	3	3	3	2	2	2	2	1	1	1	1	1	1	1	1	2
hybrid flooring Sans Souci		-	-	3	1	2	1	1	1	1	1	1	2	1	2	2	3	3	1	2
hybrid flooring Beverly Hills		-	-	4	2	2	1	1	1	1	1	2	3	3	3	7	3	3	3	1
hybrid flooring Kirrawee		-	-	4	3	3	3	3	4	4	3	4	4	4	4	5	4	5	4	6
hybrid flooring Brighton-Le-Sands		-	-	2	2	2	2	2	2	2	2	3	3	3	3	4	4	4	4	2
hybrid flooring Gymea		-	-	2	2	3	1	1	1	1	1	1	1	1	1	3	2	1	1	1
hybrid flooring Blakehurst		-	-	3	1	2	1	1	1	1	1	1	1	2	3	2	3	3	3	3
hybrid flooring Bangor		-	-	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2
hybrid flooring Monterey		-	-	2	1	2	1	1	1	2	3	3	2	3	2	3	3	3	3	3
hybrid flooring Taren Point		6	5	3	2	2	2	2	2	2	2	2	2	1	1	1	4	4	1	2
hybrid flooring Ramsgate		-	-	4	3	3	3	3	3	2	2	3	4	4	4	3	6	5	3	4
hybrid flooring Illawong		-	-	3	1	1	1	1	1	1	1	1	2	1	1	1	3	2	2	2
hybrid flooring Gymea Bay		-	-	2	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1
hybrid flooring Wolli Creek		-	-	2	1	1	1	1	1	2	2	1	1	2	2	2	2	3	3	3
flooring Hurstville		-	-	4	4	5	5	5	5	5	4	5	4	6	5	5	5	4	4	5
flooring Bexley		-	-	25	7	9	10	9	8	8	9	10	12	11	11	14	11	9	10	11
flooring Cronulla		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
flooring Earlwood		-	-	3	3	3	3	3	2	2	1	1	2	1	2	2	2	1	2	2
flooring Engadine		-	-	4	6	5	7	7	8	6	6	6	6	6	4	4	3	4	3	2
flooring Rockdale		-	-	5	5	7	9	5	5	6	5	5	6	5	5	5	5	5	6	6
flooring Miranda		-	-	55	5	5	5	3	3	2	3	3	3	2	2	3	3	3	4	5
flooring Kogarah		-	-	5	4	5	4	4	4	4	4	4	4	4	4	4	4	5	4	4
