		2023-04-20	2023-05-17	2023-06-14	2023-07-06	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-09	2024-07-01
branded coffee cups		95	82	20	13	10	4	6	5	6	5	5	8	7	7	23
branded coffee cups australia		54	53	12	13	12	17	8	6	4	2	2	2	4	5	10
branded coffee cups melbourne		43	28	18	17	13	15	19	22	30	22	16	14	11	4	9
branded coffee cups sdyney		28	21	17	16	4	17	8	6	5	3	3	10	7	5	6
branded paper cups		18	16	9	7	4	7	5	9	8	7	8	12	11	11	11
custom coffee cups disposable		61	52	7	8	3	5	4	4	6	4	3	5	5	7	6
custom disposable cups		-	23	10	11	4	5	5	6	6	4	4	6	10	8	7
custom double wall coffee cups		8	10	5	6	6	6	6	7	8	9	8	8	10	10	9
custom paper cups australia		21	18	6	5	4	4	4	3	6	5	3	7	7	7	6
custom paper cups with logo		51	28	9	10	9	4	6	11	5	5	7	5	7	7	11
custom printed coffee cups australia		30	20	11	11	8	7	4	6	7	8	7	9	9	9	9
custom printed double wall cups		23	16	6	5	8	12	18	9	8	5	5	6	10	6	20
custom printed takeaway coffee cups australia		35	21	9	10	6	5	3	2	7	3	2	5	1	1	7
custom takeaway coffee cups		38	39	7	-	2	4	5	5	7	5	5	7	12	10	9
disposable coffee cup printing		-	-	16	16	13	10	5	7	9	5	6	10	8	8	9
personalised disposable coffee cups		-	-	7	6	4	4	5	4	3	3	3	4	4	6	7
personalised takeaway coffee cups		-	-	7	8	4	2	1	1	3	3	3	3	2	3	3
printed disposable coffee cups		43	34	12	12	9	9	6	11	8	5	7	11	9	10	10
printed paper coffee cups		45	33	14	13	9	5	7	7	8	5	5	8	9	7	10
recyclable coffee cups australia		-	-	55	49	-	64	86	88	59	57	35	69	66	61	57
