		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-08	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
glass repairs langwarrin		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35	-	-	33	7	6	6	5	4	4	3	4	3	3	3
glass repairs seaford		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	78	-	81	87	51	4	3	2	2	2	2	2	1	2	2	10
glazier langwarrin		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	41	13	14	14	14	15	4	2	2	2	3	4	4
glazier seaford		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	57	55	-	-	12	3	3	1	1	1	1	1	1	1	1	1
shower screens langwarrin		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	70	-	-	70	5	3	3	4	3	3	3	3	3	3	3	3
shower screens seaford		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	13	13	16	11	6	5	5	5	4	6	4
glass repairs berwick		11	10	8	7	6	6	5	6	4	2	2	2	2	2	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	1	2	2	2	2	2	2
glass repairs boronia		22	19	24	14	32	5	5	4	4	5	2	4	2	3	4	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glass repairs braeside		3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glass repairs chadstone		4	3	3	3	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glass repairs clayton		8	10	6	6	65	4	4	4	4	4	4	4	3	3	4	2	2	2	2	3	3	2	3	3	2	2	2	2	1	2	2	2	1	1	1	1	1
glass repairs croydon		18	22	16	17	25	8	7	5	5	6	6	4	4	2	4	3	3	3	3	3	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	4
glass repairs ferntree gully		8	8	7	5	4	4	4	4	4	4	4	4	3	3	3	3	3	3	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
glass repairs glen waverley		11	11	10	10	6	7	6	6	6	6	6	7	4	5	4	4	4	2	3	4	4	4	2	3	2	3	2	2	2	2	3	3	2	3	3	3	3
glass repairs mulgrave		7	24	11	16	12	10	10	4	3	3	2	16	3	3	3	3	3	2	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glass repairs nunawading		5	7	4	3	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier berwick		7	6	6	6	6	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
glazier boronia		7	7	5	4	6	4	4	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier braeside		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier chadstone		1	1	1	1	1	2	1	1	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier clayton		5	7	4	3	3	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier croydon		7	27	4	53	50	6	3	4	3	4	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	20	16	18	16	2	2	2	2	1	3
glazier ferntree gully		6	5	6	5	5	6	6	3	3	3	2	2	3	3	3	3	3	3	2	3	2	2	2	1	1	2	2	2	2	1	2	1	2	2	1	2	2
glazier glen waverley		9	9	6	5	5	5	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	2	2	3	2	2	3	3	3	3
glazier mulgrave		6	3	3	6	6	6	5	3	1	2	1	8	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier nunawading		2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
shower screens berwick		14	13	6	19	14	8	7	6	7	17	4	4	4	5	5	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
