		2023-09-22	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-09	2024-05-16	2024-06-13	2024-07-11	2024-07-20	2024-08-13	2024-09-20	2024-10-18	2024-11-14
electrician beaumaris		81	75	43	19	20	27	22	59	12	15	12	11	14	19	16	23
electrician bentleigh		2	2	2	2	1	3	2	4	3	12	13	13	9	97	15	31
electrician bentleigh east		3	3	3	3	2	3	6	7	5	14	13	15	10	10	11	24
electrician brighton		-	-	-	26	24	48	33	20	15	40	32	34	32	60	48	35
electrician carrum downs		-	-	86	23	21	30	13	13	12	19	16	18	16	31	28	31
electrician chadstone		-	-	52	9	13	16	15	10	10	12	11	11	11	15	16	23
electrician clayton		-	-	87	47	31	23	34	24	13	23	47	16	21	24	22	38
electrician frankston		-	-	-	24	23	33	33	18	22	38	59	45	39	46	33	32
electrician hampton		-	-	76	19	23	24	22	16	17	23	12	15	28	32	26	35
electrician malvern		-	-	-	29	19	36	-	14	15	17	16	17	17	35	38	34
electrician moorabbin		7	11	19	17	17	33	15	19	11	19	16	17	21	34	24	34
electrician mordialloc		-	-	50	13	14	20	23	16	13	16	9	8	10	19	20	22
electrician mulgrave		-	-	66	21	23	24	72	22	19	16	14	15	15	21	26	19
electrician oakleigh		21	22	67	27	24	26	35	24	17	19	23	24	23	22	27	24
electrician parkdale		-	-	50	13	13	16	17	7	7	10	9	9	12	22	22	26
electrician prahran		-	-	61	29	29	33	27	28	25	25	20	23	22	28	34	36
electrician richmond		-	-	-	36	33	37	30	18	13	30	43	31	23	41	44	58
electrician sandringham		-	-	72	17	19	25	20	13	15	15	16	15	17	16	16	23
electrician seaford		-	-	64	13	16	22	21	21	-	29	10	12	17	14	12	12
electrician springvale		-	-	53	20	23	20	17	13	8	13	10	10	13	15	15	15
electrician st kilda		-	-	-	28	28	38	23	17	17	43	23	37	46	38	52	52
electrical contractor beaumaris		92	97	40	13	10	15	11	9	7	10	4	2	3	1	2	7
electrical contractor bentleigh		2	2	2	1	1	2	2	2	1	2	2	2	3	2	2	8
electrical contractor bentleigh east		3	3	3	2	1	3	2	3	3	5	5	6	8	8	11	8
electrical contractor brighton		-	-	-	19	20	23	20	14	10	15	21	19	16	29	23	19
electrical contractor carrum downs		-	-	64	19	17	19	19	16	16	16	16	17	17	16	17	19
electrical contractor chadstone		-	-	42	7	9	12	11	5	4	7	5	6	8	12	14	7
electrical contractor clayton		-	-	-	64	27	16	33	27	10	20	19	14	14	14	16	24
electrical contractor frankston		-	-	-	22	21	27	25	20	10	22	16	12	32	23	19	20
electrical contractor hampton		-	-	51	14	14	15	14	12	12	14	4	13	22	15	21	27
electrical contractor malvern		-	-	-	12	8	12	13	6	6	10	11	10	11	15	18	19
electrical contractor moorabbin		17	15	21	22	16	17	16	79	8	12	11	10	17	16	15	11
electrical contractor mordialloc		-	-	67	11	10	12	18	12	7	12	9	7	11	13	9	17
electrical contractor mulgrave		-	-	68	16	14	18	15	12	11	11	9	11	8	14	14	12
electrical contractor oakleigh		18	19	63	23	22	24	24	20	11	19	12	15	14	16	22	13
electrical contractor parkdale		-	-	63	12	11	12	12	6	6	9	8	9	13	15	11	11
electrical contractor prahran		-	-	54	22	22	23	21	18	13	15	14	13	13	24	21	29
electrical contractor richmond		-	-	-	8	14	19	6	4	5	7	16	16	18	17	25	28
electrical contractor sandringham		-	-	62	9	11	12	11	10	10	11	12	10	13	12	15	9
electrical contractor seaford		-	-	57	11	10	13	14	9	9	10	9	11	13	9	12	12
electrical contractor springvale		-	-	57	12	13	13	11	10	4	10	6	7	14	11	15	8
electrical contractor st kilda		-	-	-	14	14	13	14	13	11	15	14	18	18	13	26	15
