		2024-02-14	2024-03-15	2024-04-12	2024-04-24	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
radiology melbourne		47	59	16	15	16	18	14	19	14	22	23
xray clinic melbourne		37	44	11	9	10	11	8	7	10	7	8
mri melbourne		61	70	20	18	16	17	16	13	5	15	17
ct scan melbourne		55	53	19	7	9	8	8	6	6	6	7
cortisone injections melbourne		41	43	8	8	8	5	6	4	3	3	3
ultrasound scan melbourne		-	-	54	17	16	8	8	6	5	3	7
spine injections melbourne		21	30	5	4	5	5	5	5	4	5	5
CT coronary angiography melbourne		-	-	-	8	11	9	8	8	5	9	8
CT coronary angiography and Calcium score Melbourne		-	-	-	7	7	7	8	9	8	5	7
paediatric imaging melbourne		76	83	6	6	6	5	3	2	2	2	2
prostate mri melbourne		-	-	-	10	9	7	9	10	9	6	3
MRI taylors lakes		8	9	6	2	2	2	1	1	1	1	1
MRI airport west		1	1	2	1	1	1	1	1	1	1	1
MRI st albans		44	60	63	3	3	3	3	3	3	2	3
MRI moonee ponds		11	16	16	6	6	5	3	2	2	2	2
MRI sydenham		-	-	43	3	3	3	2	2	2	2	2
MRI keilor east		1	1	1	1	1	1	1	1	1	2	1
MRI greenvale		-	-	5	4	4	5	2	1	1	1	1
MRI gladstone park		-	-	5	5	4	2	2	2	1	1	2
MRI essendon		8	9	7	2	2	1	1	1	1	1	1
MRI ascot vale		-	-	2	2	2	2	2	1	2	1	1
MRI maribyrnong		-	-	4	2	1	1	1	1	1	1	1
MRI avondale heights		1	1	1	1	1	1	1	1	1	1	1
MRI Pascoe vale		-	-	1	1	1	1	1	1	1	1	1
ultrasound moonee ponds		13	12	5	5	6	5	4	3	4	4	4
ultrasound maribyrnong		-	-	3	4	3	2	3	2	2	2	2
ultrasound keilor east		1	1	1	1	1	1	1	1	1	1	1
ultrasound greenvale		-	-	2	2	2	2	2	2	2	2	1
ultrasound gladstone park		-	-	2	2	2	2	2	2	2	2	2
ultrasound essendon		7	6	7	4	4	3	2	1	1	1	1
ultrasound ascot vale		-	-	5	7	6	3	3	1	2	1	1
radiology avondale heights		1	1	1	1	1	1	1	1	1	1	1
radiology maribyrnong		-	-	7	3	3	1	1	2	1	1	1
radiology airport west		6	4	4	3	3	1	1	1	1	1	1
radiology moonee ponds		20	15	12	7	7	5	4	2	3	2	3
radiology greenvale		22	67	40	8	8	6	3	2	2	2	2
radiology keilor east		1	1	1	1	1	1	1	1	1	1	1
radiology niddrie		7	7	7	7	7	3	3	3	3	3	3
radiology gladstone park		-	-	10	8	7	3	3	2	2	2	2
radiology essendon		12	9	8	5	5	2	4	5	3	2	2
Cortisone injection pasco vale		-	-	1	1	1	1	1	1	1	1	1
cortisone injections airport west		-	-	1	1	1	1	1	1	1	1	1
cortisone injections st albans		-	-	3	1	1	1	1	1	1	1	1
cortisone injections maribyrnong		-	-	1	1	1	1	1	1	1	1	1
cortisone injections moonee ponds		-	-	2	1	1	1	1	1	1	1	1
cortisone injections greenvale		-	-	1	1	1	1	1	1	1	1	1
cortisone injections keilor east		1	1	1	1	1	1	1	1	1	1	1
cortisone injections sydenham		-	-	1	1	1	1	1	1	1	1	1
cortisone injections gladstone park		-	-	2	1	1	1	1	1	1	1	1
cortisone injections essendon		67	-	1	1	1	1	1	1	1	1	1
cortisone injections ascot vale		-	-	1	1	1	1	1	1	1	1	1
