		2021-12-16	2022-01-20	2022-02-11	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-04	2022-11-23	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-12	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-04	2024-05-16	2024-09-23	2024-10-18	2024-11-14
cleaning roman blinds camberwell		2	2	2	2	1	1	1	1	1	1	1	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
cleaning roman blinds kew		2	3	5	5	5	5	4	4	3	3	2	4	3	2	4	4	4	4	1	2	1	3	2	2	2	2	2	2	2	2	2	3	3	3
cleaning roman blinds malvern		3	-	3	3	11	3	3	3	4	6	6	6	8	8	3	3	3	2	1	2	1	2	1	2	2	2	1	1	1	1	2	2	1	1
cleaning roman blinds toorak		2	2	6	5	4	6	4	5	4	6	6	5	5	5	4	3	3	1	1	1	1	1	2	1	2	1	1	2	2	2	3	1	1	1
curtain cleaning balwyn		1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
curtain cleaning brighton		1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
curtain cleaning camberwell		1	2	2	2	2	2	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
curtain cleaning caulfield		-	2	4	3	3	4	3	2	4	5	4	4	4	3	2	1	4	3	4	2	2	3	4	3	3	2	2	3	2	2	2	1	1	1
curtain cleaning hawthorn		2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
curtain cleaning kew		1	1	3	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1
curtain cleaning malvern		2	-	2	2	2	1	2	1	12	1	11	7	9	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
curtain cleaning south yarra		1	2	3	2	2	3	2	2	2	2	7	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
curtain cleaning surrey hills		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
curtain dry cleaning camberwell		2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5
curtain dry cleaning kew		1	2	3	3	3	2	2	2	2	3	2	2	2	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1
curtain dry cleaning toorak		2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
drape cleaning balwyn		1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
drape cleaning bulleen		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
drape cleaning camberwell		1	1	1	1	1	2	1	1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
drape cleaning caulfield		-	1	1	3	2	3	3	1	1	2	48	41	45	3	1	1	1	1	1	1	1	2	2	3	2	2	2	3	2	2	1	1	1	1
drape cleaning doncaster		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
drapery cleaning camberwell		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
drapery cleaning toorak		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
drapery dry cleaning brighton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blind cleaning services		6	8	6	6	7	6	6	6	6	6	7	6	6	6	3	5	5	6	6	6	6	6	8	6	9	11	12	12	12	27	36	14	14	18
cleaning curtains		5	4	5	2	4	5	4	3	3	3	3	2	3	4	3	5	5	4	4	4	4	6	4	6	7	7	10	10	9	8	7	7	4	6
cleaning roman blinds		4	4	5	4	4	5	6	6	5	5	5	5	4	4	3	6	6	5	4	4	4	6	8	8	9	8	11	10	8	7	14	7	8	8
curtain cleaners		3	1	1	1	2	1	1	1	1	1	1	1	1	76	1	2	2	2	2	2	2	-	2	2	2	2	2	2	2	2	2	1	1	1
curtain cleaners melbourne		3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
curtain cleaning melbourne		3	1	3	2	1	2	1	1	1	2	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
curtain cleaning service		2	1	2	2	1	1	1	1	1	1	1	1	-	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1
curtain dry cleaning		1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1
drapery cleaning		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	-	1
dry cleaning curtains		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	1	1	1	1	2	2	1	1	1	-	1
Drape Cleaning Melbourne		2	2	1	1	1	1	1	1	1	1	2	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
curtain cleaning essendon		1	2	2	1	2	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
curtain cleaning williamstown		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1
curtain cleaning greensborough		2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
curtain cleaning richmond		1	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
drape cleaning essendon		1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
drape cleaning williamstown		1	1	1	1	2	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
drape cleaning greensborough		2	2	2	2	2	2	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
drape cleaning richmond		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blind cleaning essendon		1	1	2	3	1	1	1	1	1	4	4	4	4	4	4	3	4	4	1	1	3	3	1	1	1	1	1	3	4	5	3	5	4	4
blind cleaning williamstown		1	1	1	1	1	1	1	1	1	3	4	4	4	5	5	5	5	3	1	1	5	1	1	7	5	4	4	4	3	5	4	5	2	2
blind cleaning greensborough		6	4	4	4	6	5	5	3	2	2	2	3	3	2	1	2	3	4	2	2	4	3	3	3	2	2	1	2	3	3	3	2	2	3
blind cleaning richmond		1	2	2	2	1	1	1	1	1	2	1	2	2	2	2	1	3	3	2	5	4	6	6	4	4	1	2	2	3	2	2	2	2	2
commercial curtain cleaning		-	-	13	3	4	3	2	2	2	2	2	2	2	2	6	2	2	2	2	2	2	2	2	2	2	2	2	4	2	1	2	1	1	1
curtain cleaning		-	-	3	3	1	2	2	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2	3	2	2	1	1	1
curtain mould removal		-	-	3	3	2	2	3	2	3	4	3	2	2	3	15	3	2	2	3	2	2	3	2	3	3	3	3	5	5	3	4	5	73	3
blind cleaning		-	-	9	9	9	9	8	9	9	10	9	7	7	7	3	6	3	2	6	3	6	5	6	7	8	9	11	12	10	11	11	17	19	13
blind mould removal		-	-	32	10	9	8	10	13	10	12	12	9	11	11	11	10	10	9	10	9	11	8	6	6	4	4	4	4	5	6	4	4	7	11
professional blind cleaning		-	-	28	9	7	8	6	6	7	6	6	6	6	6	3	6	6	5	7	6	5	5	6	7	6	7	9	9	10	25	19	13	13	17
roman blind cleaning		-	-	3	3	3	5	5	4	5	5	4	6	6	5	5	5	2	2	3	2	1	1	1	1	1	1	1	1	3	1	2	2	2	2
venetian blinds cleaning service		-	-	12	8	7	9	5	5	8	6	5	5	7	6	2	4	8	5	6	8	7	4	8	8	8	11	10	10	13	10	12	12	9	14
vertical blind cleaning		-	-	11	11	10	11	12	11	6	8	24	14	14	11	11	9	12	13	11	16	17	20	22	20	24	19	57	32	53	71	70	47	27	40
curtain cleaning Hillside		-	-	14	2	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
curtain cleaning Caroline Springs		-	-	25	4	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
curtain cleaning Templestowe		-	-	19	4	6	2	2	2	2	3	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
curtain cleaning Geelong		-	-	73	26	10	8	20	16	22	3	4	4	4	2	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
curtain cleaning Blackburn		-	-	17	16	3	4	4	5	2	2	2	2	2	-	6	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
curtain cleaning Glen Waverley		-	-	16	8	19	16	2	9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	1	1
curtain cleaning Ringwood		-	-	17	6	8	7	4	1	2	3	3	3	8	3	2	2	3	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
curtain cleaning Keilor		-	-	6	2	2	2	6	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1
