		2023-09-27	2023-10-20	2023-11-08	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
personal training boronia		-	-	14	-	-	-	-	14	12	11	10	7	5	4	4
personal training croydon		-	-	-	-	-	-	-	10	12	6	9	21	14	9	6
personal training ferntree gully		-	-	41	-	-	-	-	10	8	8	7	12	8	7	3
personal training glen waverley		-	-	-	-	-	-	-	9	11	10	23	24	8	7	8
personal training heathmont		-	-	9	66	-	-	47	6	3	3	3	4	3	3	1
personal training kilsyth		51	-	37	-	-	-	72	7	5	6	6	7	6	5	5
personal training lilydale		-	-	-	66	-	67	59	11	9	10	6	16	8	4	7
personal training mooroolbark		-	-	-	-	-	-	69	11	10	8	7	8	5	5	6
personal training park orchards		-	-	50	90	89	9	11	5	5	4	10	4	4	4	3
personal training ringwood		25	12	7	2	2	2	2	3	2	2	2	3	1	2	2
personal training vermont		-	-	-	-	-	-	-	7	5	6	5	8	7	6	9
personal training wantirna		-	-	13	-	-	-	11	9	10	1	1	3	4	5	3
personal training warrandyte		-	-	7	-	-	12	49	9	7	3	4	3	3	3	3
personal training warranwood		-	-	25	-	79	8	7	5	4	3	2	3	3	2	1
one on one training bayswater		-	-	1	-	3	30	-	1	1	1	1	1	1	1	1
one on one training boronia		-	-	2	-	-	3	3	1	1	1	1	1	1	1	1
one on one training croydon		-	-	-	-	-	-	-	3	2	2	1	35	1	11	2
one on one training ferntree gully		-	-	1	-	-	-	-	1	1	1	1	2	2	1	1
one on one training glen waverley		-	-	-	-	-	3	1	1	1	1	1	1	1	1	1
one on one training heathmont		-	-	6	-	-	1	51	1	1	1	1	1	1	1	1
one on one training kilsyth		81	-	8	-	-	1	65	1	1	1	1	1	1	1	1
one on one training lilydale		-	-	54	-	-	2	2	2	2	2	2	2	2	2	2
one on one training mooroolbark		-	-	86	-	30	31	31	1	1	1	1	1	1	1	1
one on one training park orchards		-	-	69	-	-	-	-	1	1	1	1	1	1	1	1
one on one training ringwood		29	2	1	1	1	1	1	1	1	1	1	1	1	1	1
one on one training vermont		-	-	-	-	-	-	-	1	1	1	1	1	1	1	1
one on one training wantirna		-	-	1	-	-	-	1	1	1	1	1	1	2	1	1
one on one training warrandyte		-	-	1	-	1	31	29	1	1	1	1	1	1	1	1
one on one training warranwood		-	-	23	-	-	1	1	1	1	1	1	1	1	1	1
fitness classes bayswater		-	-	-	-	-	-	-	-	71	68	-	58	-	73	-
fitness classes boronia		-	-	33	-	-	-	-	17	17	16	14	14	13	13	13
fitness classes croydon		-	-	-	-	-	-	-	63	62	45	48	37	38	20	17
fitness classes ferntree gully		-	-	81	-	-	-	-	62	36	38	82	34	40	27	31
fitness classes glen waverley		-	-	-	-	-	-	-	-	67	71	68	-	64	56	73
fitness classes heathmont		-	-	49	-	-	14	-	9	8	8	7	8	10	9	7
fitness classes kilsyth		-	-	-	-	-	-	-	45	54	52	50	43	54	42	36
fitness classes lilydale		-	-	-	-	-	-	-	-	10	11	29	16	27	27	26
fitness classes mooroolbark		-	-	69	-	-	-	-	10	10	9	9	10	13	11	11
fitness classes park orchards		-	-	-	-	-	-	-	29	26	10	13	21	20	9	16
fitness classes ringwood		-	-	19	30	20	28	21	15	12	15	18	16	20	11	10
fitness classes vermont		-	-	-	-	-	-	-	46	8	9	45	46	9	8	9
fitness classes wantirna		-	-	49	-	-	-	85	68	62	57	60	67	49	-	-
fitness classes warrandyte		-	-	17	-	-	-	-	37	20	16	15	18	16	17	14
fitness classes warranwood		-	-	-	-	-	4	4	2	2	2	3	4	4	2	2
strength training classes bayswater		-	-	50	-	-	-	-	44	45	44	46	11	39	48	45
strength training classes boronia		-	-	8	-	-	30	-	10	8	7	7	8	6	3	7
strength training classes croydon		-	-	-	-	43	-	-	8	5	3	2	2	2	4	4
strength training classes ferntree gully		-	-	9	-	-	-	-	42	37	11	10	8	6	5	5
strength training classes glen waverley		-	-	-	-	-	-	-	36	41	35	37	41	48	35	38
strength training classes heathmont		-	-	28	-	-	4	-	4	2	2	2	3	2	2	2
strength training classes kilsyth		-	-	53	-	-	-	-	6	5	7	6	9	7	5	7
strength training classes lilydale		-	-	-	-	-	-	83	8	6	8	32	11	8	7	8
strength training classes mooroolbark		-	-	-	-	-	-	-	7	5	5	5	5	4	5	4
strength training classes park orchards		-	-	31	-	-	-	-	7	5	7	13	6	7	2	6
strength training classes ringwood		-	-	7	11	5	6	6	5	10	9	7	13	6	5	5
strength training classes vermont		-	-	-	-	-	-	-	14	2	8	4	4	2	2	3
strength training classes wantirna		-	-	20	-	-	-	-	34	34	34	34	6	29	28	29
strength training classes warrandyte		-	-	8	-	-	-	-	9	10	8	8	7	9	7	3
strength training classes warranwood		-	-	-	-	-	2	2	2	2	2	2	3	2	2	2
personal training bayswater		-	-	-	-	-	-	-	10	8	10	31	33	10	8	15
