		2021-08-18	2021-09-16	2021-10-21	2021-11-18	2021-12-03	2022-01-20	2022-02-17	2022-03-18	2022-04-11	2022-05-18	2022-06-15	2022-07-14	2022-08-17	2022-09-16	2022-10-13	2022-10-18	2022-11-18	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-14	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-10	2024-05-16	2024-06-13	2024-07-18
t-rex electric bike		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	5	5	6
best ebikes		41	37	28	28	33	-	40	45	36	37	40	27	19	28	17	32	24	22	18	25	31	32	44	29	52	54	31	34	35	54	52	35	15	20	61	17	12
best electric bike		31	45	20	22	25	93	44	41	13	37	31	30	24	17	17	35	27	24	27	31	19	32	40	52	65	66	35	26	25	13	25	19	3	-	-	-	-
best electric commuter bike		50	41	34	54	36	43	39	42	38	44	37	36	37	32	31	-	25	21	20	26	23	39	48	51	66	-	39	46	39	34	42	44	24	21	20	16	22
best electric mountain bike		23	25	20	19	17	30	22	18	22	28	17	13	13	17	14	28	17	20	21	11	21	13	16	20	22	24	20	12	16	7	7	8	8	10	11	10	11
best folding e bike		5	5	8	6	5	6	8	9	9	8	12	9	10	9	9	9	10	11	9	15	14	10	13	8	10	8	8	4	4	3	1	2	2	1	1	1	1
best folding electric bike		7	6	8	7	6	7	11	14	10	13	13	10	10	9	9	9	10	12	9	14	11	8	10	7	11	10	7	4	4	3	2	2	2	2	1	1	1
bosch ebike		7	6	7	7	5	5	4	3	5	5	5	5	5	9	5	10	5	5	5	5	5	5	9	5	5	5	5	7	7	7	8	6	7	5	6	7	6
bosch electric bike		2	2	2	2	2	2	3	2	3	4	3	4	4	4	5	4	5	5	5	5	5	5	5	4	5	4	5	5	5	5	5	6	5	6	7	6	4
buy electric bike		5	5	4	4	5	4	4	4	3	4	4	4	4	3	4	7	4	3	3	5	6	5	8	7	13	10	5	12	8	3	2	2	1	5	6	4	4
e bikes		13	14	5	8	5	10	8	13	8	7	9	5	5	3	5	13	3	9	3	9	9	11	14	15	16	15	16	18	18	17	17	21	25	24	23	25	50
e bikes for sale		5	6	3	7	4	7	3	3	4	4	5	3	3	3	3	3	3	3	1	4	4	4	6	8	8	9	5	8	7	9	11	11	14	9	9	13	10
e fat bike		2	1	3	2	2	7	3	4	5	8	9	6	-	-	10	11	11	7	9	7	16	12	14	17	16	16	18	15	25	34	19	21	12	20	12	27	10
e mountain bike		28	32	27	16	18	18	14	11	11	13	17	11	10	10	11	11	10	9	9	14	12	12	9	15	14	19	18	10	11	2	4	4	4	5	7	9	2
ebike		6	6	9	12	12	12	9	10	5	6	5	7	5	5	5	3	5	9	3	25	7	19	22	20	34	26	14	22	24	14	46	39	20	25	27	23	46
ebike accessories		5	7	6	4	4	1	1	1	2	3	1	2	1	3	1	1	1	1	2	3	4	3	3	3	5	1	6	6	9	10	5	6	6	4	6	8	7
ebike australia		7	10	3	7	6	7	4	3	5	6	5	3	4	3	3	3	3	4	2	4	4	4	4	5	6	7	2	7	5	5	7	8	7	10	10	10	9
ebike battery		1	3	2	3	3	4	3	2	2	3	5	4	5	5	5	5	6	6	5	6	7	8	7	8	8	17	9	6	15	3	2	8	2	9	2	2	3
ebike conversion kit		6	5	5	5	5	5	3	3	3	3	3	5	5	5	5	5	4	-	5	7	7	7	7	7	8	7	10	11	12	11	10	11	11	13	10	11	10
ebike melbourne		4	4	5	4	5	6	5	4	3	3	4	5	5	6	6	6	5	5	5	5	6	5	9	9	8	6	5	10	8	8	9	9	10	11	12	9	9
ebike online		2	2	1	3	2	3	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	4	2	3	3	2	4	4	3	4	4	6	5	5	6	7
ebike parts		1	1	1	1	1	2	1	1	1	1	1	1	2	1	3	2	4	4	2	3	3	4	3	5	6	3	6	3	2	4	3	4	1	2	1	2	1
ebike sale		3	5	2	3	2	3	1	1	1	2	1	2	2	3	3	3	3	3	1	4	5	5	5	5	4	4	5	8	7	9	6	11	11	11	11	11	3
ebike shop		1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	2	1	1	3
ebike sydney		5	5	4	4	4	4	3	7	8	6	5	5	8	5	4	8	5	9	6	7	8	7	8	7	8	7	6	9	12	10	11	13	11	14	16	19	23
ebikes		9	9	6	5	5	11	10	15	7	6	7	3	3	4	3	12	4	7	3	9	5	10	12	10	12	17	15	16	19	16	19	19	-	21	21	21	51
ebikes online		2	2	1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	2	2	3	3	2	1	3	3	3	3	3	9	7	7
electric bicycle australia		13	11	6	7	7	9	7	6	7	8	7	5	6	3	5	3	3	3	4	4	5	4	6	7	6	9	3	8	6	7	7	9	7	12	13	12	10
electric bicycle for sale		2	2	2	4	3	6	3	3	5	5	4	3	44	3	3	7	4	2	1	6	4	5	7	8	9	8	5	8	6	8	12	11	10	12	18	16	11
electric bicycle kit		5	4	3	4	3	3	2	3	3	3	3	3	5	5	5	5	3	4	5	5	4	4	6	5	4	5	6	6	7	7	7	9	6	11	9	8	8
electric bicycle melbourne		4	4	4	5	5	6	5	4	6	5	5	5	5	5	5	5	5	6	6	6	6	6	9	7	6	6	7	11	8	8	9	9	10	11	12	11	11
electric bicycle sydney		3	18	4	2	3	3	3	3	8	6	7	7	8	7	4	5	5	8	6	6	8	7	8	8	8	7	6	9	11	10	10	11	11	14	23	18	15
electric bicycles		10	9	5	6	6	13	8	12	8	9	10	4	3	4	6	5	4	10	3	8	7	7	11	11	13	9	17	17	17	15	18	18	18	26	24	38	42
electric bicycles australia		11	11	6	7	6	9	6	7	7	7	8	5	5	3	4	4	4	4	4	4	4	4	4	4	7	5	3	8	7	9	9	10	10	10	78	11	8
electric bicycles for sale		6	6	2	5	4	6	5	2	2	3	4	4	5	3	3	7	3	3	2	4	4	4	6	4	5	6	3	7	4	8	11	11	11	13	12	13	12
electric bicycles sydney		15	11	11	8	5	6	6	8	6	6	6	6	8	6	5	5	6	8	7	7	8	8	8	9	8	9	6	9	9	10	10	11	10	12	12	17	18
electric bike battery		4	4	4	4	5	5	3	3	2	3	3	6	5	5	5	6	6	4	6	5	6	14	7	14	12	14	10	6	10	6	5	6	2	3	2	3	5
