		2023-11-28	2023-12-14	2024-01-09	2024-02-14	2024-02-28	2024-03-15	2024-04-19	2024-05-16	2024-05-31	2024-06-13	2024-07-08	2024-08-15	2024-09-20	2024-09-25	2024-10-18	2024-11-14
house cleaning services melbourne		34	37	39	37	36	35	30	39	36	28	31	34	36	34	40	38
ndis cleaning services melbourne		26	32	15	16	16	16	17	19	18	22	26	25	21	21	20	18
spring cleaning services melbourne		32	30	18	17	17	19	31	22	27	20	53	23	18	18	20	22
house cleaners albert park		4	3	3	2	4	4	3	6	4	3	3	5	4	4	5	4
house cleaners bentleigh		4	5	5	5	5	4	6	6	6	6	6	6	7	19	6	8
house cleaners sandringham		4	4	4	3	3	4	4	4	4	4	4	5	4	4	5	5
house cleaners brighton		11	11	11	9	10	10	12	12	12	10	10	9	5	5	5	5
house cleaners carnegie		4	7	1	5	6	5	5	6	6	5	5	6	6	6	7	7
house cleaners caulfield		6	6	6	6	6	6	6	6	7	7	7	7	6	5	8	10
house cleaners black rock		6	4	2	4	5	4	2	4	5	2	3	3	5	4	5	4
house cleaners cheltenham		9	7	6	6	7	6	7	7	6	5	6	5	6	6	28	6
house cleaners glen iris		6	6	5	4	5	3	2	3	4	2	3	4	3	4	6	6
house cleaners hampton		7	7	7	2	1	3	3	4	4	4	3	5	6	6	6	5
house cleaners malvern		6	5	5	6	1	1	4	1	1	4	5	4	6	5	25	7
house cleaners mornington		-	-	22	24	22	19	14	15	16	15	15	15	12	13	15	20
house cleaners st kilda		7	5	7	6	6	5	6	6	7	7	7	8	6	8	7	6
house cleaners toorak		7	7	7	7	7	7	9	9	7	6	7	10	7	6	8	9
ndis cleaning albert park		-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1
ndis cleaning bentleigh		-	-	-	-	2	3	1	1	1	1	1	1	1	1	1	1
ndis cleaning sandringham		-	-	-	-	1	1	2	1	1	1	1	1	1	1	1	1
ndis cleaning brighton		-	-	-	-	14	12	2	3	3	2	2	1	1	1	1	4
ndis cleaning carnegie		-	-	-	-	4	4	2	1	1	1	1	1	1	1	1	1
ndis cleaning caulfield		-	-	-	-	4	4	1	1	1	1	1	1	1	1	1	1
ndis cleaning black rock		-	-	-	-	4	5	1	1	1	1	1	1	1	1	1	3
ndis cleaning cheltenham		-	-	-	-	4	3	4	1	1	1	1	1	1	1	2	1
ndis cleaning glen iris		-	-	-	-	2	2	1	1	1	1	1	1	1	1	1	2
ndis cleaning hampton		-	-	-	-	2	2	1	1	1	1	1	1	1	1	1	1
ndis cleaning malvern		-	-	-	-	8	6	2	1	1	1	1	1	2	1	1	1
ndis cleaning mornington		-	-	-	-	29	27	3	2	3	3	2	2	2	2	2	2
ndis cleaning st kilda		-	-	-	-	4	3	2	1	1	1	2	1	1	1	1	1
ndis cleaning toorak		-	-	-	-	5	5	1	1	1	1	1	1	1	1	1	1
NDIS Cleaning Safety Beach		-	-	-	-	-	-	-	-	-	-	-	-	-	21	1	1
NDIS Cleaning Mount Eliza		-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1
NDIS Cleaning Dromana		-	-	-	-	-	-	-	-	-	-	-	-	-	17	1	1
NDIS Cleaning Mount Martha		-	-	-	-	-	-	-	-	-	-	-	-	-	36	1	2
NDIS Cleaning Rye		-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1
House Cleaners Safety Beach		-	-	-	-	-	-	-	-	-	-	-	-	-	74	5	5
House Cleaners Mount Eliza		-	-	-	-	-	-	-	-	-	-	-	-	-	75	14	14
House Cleaners Dromana		-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	9
House Cleaners Mount Martha		-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	11
House Cleaners Rye		-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	12
