		2022-06-24	2022-07-15	2022-08-18	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-13	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2023-12-27	2024-01-19	2024-02-15	2024-03-13	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Accountants New York		-	-	-	51	-	-	-	45	32	34	16	35	-	-	-	-	-	53	-	-	-	-	-	72	74	53	-	93	-	-	-
Accountants Florida		-	-	-	23	18	-	-	16	16	16	15	16	41	34	74	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Accountants California		-	-	-	-	-	-	-	12	14	11	10	11	16	15	27	28	-	-	85	-	-	-	96	-	-	-	-	-	-	-	-
Accountants Massachusetts		-	-	-	-	-	-	-	25	26	38	37	32	45	40	52	62	44	61	65	61	82	98	-	-	-	-	-	-	-	-	-
Accountants New Jersey		-	-	-	-	-	-	-	30	16	14	23	22	31	28	42	40	36	66	78	67	64	67	85	-	68	58	63	76	-	79	-
Accountants Chicago		-	-	-	53	-	-	-	62	52	67	54	43	82	69	78	94	-	-	-	-	-	-	-	91	99	77	-	84	-	-	-
Accountants Colorado		-	-	-	38	32	32	38	43	37	38	36	43	43	38	41	31	64	67	78	84	-	-	-	-	-	-	-	-	-	-	-
Accounting Services New York		-	-	-	91	74	70	-	27	18	24	20	34	41	44	28	28	29	50	62	45	73	68	53	35	36	55	24	25	-	-	-
Accounting Services Florida		-	-	-	86	91	67	-	81	69	59	96	-	-	-	77	66	-	-	-	-	-	-	-	-	-	93	-	-	-	-	-
Accounting Services California		-	-	-	76	68	76	-	14	10	21	17	26	-	20	52	27	86	-	76	-	-	98	43	-	-	-	-	71	-	-	88
Accounting Services Massachusetts		-	-	-	28	-	-	-	42	43	47	76	76	37	-	43	41	81	62	56	42	50	50	-	61	70	67	79	-	-	-	-
Accounting Services New Jersey		-	-	-	-	-	22	-	19	19	30	32	37	-	25	37	47	57	-	51	49	55	53	73	67	98	89	91	-	-	-	61
Accounting Services Chicago		-	-	-	80	96	62	-	69	59	79	80	77	-	96	-	-	-	88	-	76	96	-	-	-	-	73	-	-	-	-	-
Accounting Services Colorado		-	-	-	51	52	-	-	65	53	41	40	63	93	-	37	50	73	79	93	75	99	99	-	-	-	-	-	-	-	-	-
Financial Accounting New York		-	-	-	11	-	-	-	13	9	10	12	17	16	16	31	30	-	72	94	99	-	-	-	-	-	-	-	75	-	-	-
Financial Accounting Florida		-	-	-	23	27	12	-	21	19	20	21	28	36	35	56	69	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Financial Accounting California		-	-	-	-	38	-	-	21	81	48	17	34	22	-	-	-	-	-	80	91	-	-	-	-	-	-	-	-	-	-	-
Financial Accounting Massachusetts		-	-	21	5	4	-	-	11	10	25	22	24	26	-	60	82	-	84	-	-	-	-	-	-	-	-	76	99	-	-	-
Financial Accounting New Jersey		-	-	-	-	-	-	-	12	13	17	17	27	20	14	32	35	-	67	74	53	62	96	-	-	-	-	-	-	-	-	92
Financial Accounting Chicago		-	-	-	-	-	-	-	-	40	28	33	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Financial Accounting Colorado		-	-	-	21	8	-	-	10	11	14	15	16	19	19	21	27	-	-	44	81	97	79	-	74	75	91	-	-	-	-	-
Bookkeepers New York		-	-	-	-	-	-	-	41	29	43	31	41	45	45	41	37	51	49	49	52	58	29	27	22	25	23	52	33	44	44	43
Bookkeepers Florida		-	-	-	-	-	-	-	8	7	3	5	9	4	4	6	4	36	18	17	15	19	19	23	22	54	29	26	19	33	35	24
