		2023-02-24	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-13	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-09	2024-05-03	2024-05-09	2024-06-14	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
roof repair ringwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	13	11	17	30	31
roof repair noble park		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31	8	10	10	15	18
roof repair mount waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	4	5	8	12	8	9
roof repair malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	64	7	15	22	19	26
roof repair glen waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	16	16	20	23	16	19
roof repair glen iris		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31	18	7	8	11	19
roof repair camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	17	13	17	25	31	35
roof repair burwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	5	9	14	18	25	29
roof repair blackburn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	10	18	10	20	21	23
roof repair ashburton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	7	5	7	9	23
roof painting ringwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	13	4	4	11	12
roof painting noble park		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	2	3	8	8
roof painting mount waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	1	1	1	1	2	3
roof painting malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	4
roof painting glen waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	2	2	2	3	3	8
roof painting glen iris		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	85	1	1	1	3	11	10
roof painting camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	1	1	1	3	13	10
roof painting burwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	3	3	2	2	13	13
roof painting blackburn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	21	1	2	2	8	9
roof painting ashburton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	2	2	4	11
roof leaks repair ringwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	8	7	8	13	14
roof leaks repair noble park		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	1	1	3	3	5
roof leaks repair mount waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	1	1	2	1	12	10
roof leaks repair malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26	9	12	14	13	16
roof leaks repair glen waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	10	10	9	14	15	21
roof leaks repair glen iris		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55	4	6	1	3	1	9
roof leaks repair camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	13	7	5	12	18	17
roof leaks repair burwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	6	1	1	4	7	12
roof leaks repair blackburn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	14	6	6	9	14	19
roof leaks repair ashburton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	4	3	4	7	19
roof cleaning ringwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	3	6	6	6
roof cleaning noble park		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	2	1	1	3
roof cleaning mount waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18	11	3	4	5	5	4
roof cleaning malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	2	2	3	4	4
roof cleaning glen waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	45	3	3	3	7	4	4
roof cleaning glen iris		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	3	3	3
roof cleaning camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	56	4	1	4	4	5	11
roof cleaning burwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	45	2	1	1	1	1	10
roof cleaning blackburn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	51	14	4	2	3	4	4
roof cleaning ashburton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	1	1	1	2	10
gutter replacement ringwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26	5	6	6	7	9
gutter replacement noble park		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	1	1	5	5	5
gutter replacement mount waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23	6	3	8	9	10	11
gutter replacement malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	71	5	6	12	9	9
gutter replacement glen waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	54	14	7	7	8	9	15
gutter replacement glen iris		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	4	4	4	4
gutter replacement camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28	3	4	1	8	9	9
gutter replacement burwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24	3	3	2	3	5	7
gutter replacement blackburn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26	30	6	13	30	32	16
gutter replacement ashburton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	3	3	5
