		2022-11-22	2022-12-15	2023-01-20	2023-02-16	2023-03-16	2023-04-14	2023-05-10	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-06	2024-04-19	2024-04-22	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
european car service frankston		-	-	4	2	3	2	1	1	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1
european car service mornington		1	1	2	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2
european car service mount eliza		27	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
european car service mount martha		5	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
european car service rosebud		36	36	-	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
audi service frankston		-	-	-	11	9	6	4	5	5	4	4	4	4	4	4	4	4	4	4	4	3	3	5	4	5	3
audi service mornington		10	9	12	13	6	6	15	7	15	24	24	22	19	11	7	7	6	8	8	6	7	7	7	7	7	7
audi service mount eliza		-	-	6	4	4	4	3	3	4	4	5	4	3	4	4	4	1	1	1	1	1	1	1	1	1	2
audi service mount martha		-	-	5	4	3	4	3	4	4	3	3	3	3	3	3	3	3	3	3	3	2	3	4	2	2	2
audi service rosebud		-	-	11	15	2	3	2	2	2	3	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	2
bmw service frankston		-	-	-	11	-	6	-	-	60	8	49	9	12	9	8	5	5	4	4	4	3	4	4	3	4	4
bmw service mornington		8	15	16	15	9	10	14	12	8	7	10	9	9	9	8	8	8	8	8	6	6	6	6	7	6	6
bmw service mount eliza		-	-	8	5	4	4	2	3	4	4	2	2	1	2	2	2	2	2	2	2	8	1	2	1	1	1
bmw service mount martha		-	-	5	3	3	3	4	3	3	2	2	3	3	2	2	3	3	3	4	4	3	3	5	2	1	1
bmw service rosebud		-	-	2	17	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ferrari service frankston		-	-	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ferrari service mornington		1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
