		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-10	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
optometrists altona		8	8	7	7	7	7	7	12	11	12	6	6	8	6	8	8	5	4	4	9	9	8	9	8	8	10	11	10	11	11	11	9	11	14	10	11	10
optometrists altona meadows		8	9	7	6	7	6	6	9	5	5	6	6	5	5	5	5	5	5	5	6	6	6	6	5	7	8	7	8	7	9	8	9	8	12	9	7	7
optometrists hoppers crossing		5	4	4	3	3	4	7	8	5	3	2	2	3	3	3	5	6	5	6	6	4	4	3	3	3	5	4	3	3	3	4	4	4	3	2	2	2
optometrists laverton		4	4	4	3	3	4	4	3	4	5	2	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
optometrists point cook		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
optometrists tarneit		5	6	6	6	6	6	6	4	5	4	2	2	4	3	2	2	4	3	3	4	4	3	3	3	3	3	3	4	4	3	5	3	2	2	2	2	2
optometrists truganina		4	3	3	3	3	4	4	3	3	3	3	3	3	2	2	1	4	4	3	5	1	2	1	2	3	3	3	3	3	3	2	4	4	2	2	1	1
optometrists werribee		13	12	11	11	12	14	15	16	15	17	15	16	15	12	12	12	14	12	12	12	12	11	12	13	12	12	12	11	9	9	9	12	9	9	12	15	14
optometrists williams landing		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
optometrists williamstown		7	8	7	7	7	7	8	8	10	8	8	10	9	9	6	8	8	9	8	8	9	7	7	8	9	9	10	9	8	9	8	6	9	11	9	11	9
