		2021-03-18	2021-04-15	2021-05-20	2021-06-17	2021-07-15	2021-08-19	2021-09-16	2021-10-21	2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19
optometrist narre warren		-	5	4	3	4	3	3	3	3	3	4	3	3	3	4	3	4	3	3	5	4	4	4
optometrist keysborough		-	7	7	5	5	4	4	4	5	6	5	4	5	6	5	4	4	3	3	3	3	3	3
optometrist endeavour hills		54	4	3	3	3	3	2	2	2	3	2	1	2	2	1	1	1	1	1	2	2	2	2
optometrist cranbourne		-	12	13	11	11	10	8	10	10	14	14	14	13	13	13	13	10	8	8	9	10	9	7
optometrist berwick		-	10	9	9	9	7	6	6	7	8	8	8	8	8	6	5	7	6	6	7	6	6	6
eye test narre warren		20	3	6	3	5	4	4	1	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3
eye test keysborough		8	4	4	4	4	4	4	4	4	5	3	3	4	5	5	3	4	3	3	3	3	3	3
eye test endeavour hills		11	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	2
eye test cranbourne		-	5	6	6	6	6	6	6	6	7	7	6	6	8	7	8	6	5	6	6	6	6	7
eye test berwick		-	7	8	6	7	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
contact lenses narre warren		-	4	4	5	3	2	2	1	1	2	1	2	2	3	2	2	2	1	1	2	2	2	2
contact lenses keysborough		-	3	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
contact lenses endeavour hills		-	3	2	2	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2
contact lenses cranbourne		-	6	4	5	5	3	3	3	3	4	5	4	4	6	5	5	5	5	6	5	6	7	6
contact lenses berwick		-	6	9	8	7	8	7	5	7	6	6	5	5	3	6	6	6	6	6	6	6	6	6
behavioural optometrist narre warren		12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
behavioural optometrist keysborough		19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
behavioural optometrist endeavour hills		4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
behavioural optometrist cranbourne		13	5	5	5	5	4	4	4	4	6	4	4	4	4	4	4	3	3	3	3	3	3	3
behavioural optometrist berwick		23	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2
