		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-03-25	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-15	2024-10-28	2024-11-14
orthokeratology melbourne		5	2	2	5	5	5	6	5	5	6	5	5	3	3	8	7	7	11	8	7	10	7	3	3	6	5	8	8	6	4	6	6	5	5	6	6	4	4	4
myopia control melbourne		5	5	4	4	4	4	4	4	3	4	5	3	4	3	4	4	3	4	4	4	4	5	7	7	7	6	7	7	8	9	4	8	8	10	7	6	6	6	5
ortho k lenses melbourne		5	4	5	5	5	6	7	6	5	7	6	6	4	7	8	9	6	10	11	7	7	5	3	3	3	4	7	6	5	3	3	3	4	5	3	4	7	5	6
ortho-k melbourne		7	4	7	5	7	8	7	6	7	8	8	8	6	8	11	12	11	12	12	10	11	8	7	6	7	7	10	10	8	8	8	11	10	11	10	8	6	6	9
optometrist hughesdale		1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1
optometrist oakleigh		11	8	8	7	7	8	7	6	7	7	7	7	6	7	5	4	5	3	6	9	5	4	5	3	4	5	5	5	4	4	5	4	9	6	4	5	4	5	6
eye tests hughesdale		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye tests oakleigh		6	7	6	6	6	6	5	5	6	7	6	7	5	7	4	5	4	4	3	6	4	5	4	4	5	5	5	5	4	6	4	5	6	6	6	5	5	5	6
contact lenses hughesdale		5	4	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
contact lenses oakleigh		6	5	4	2	2	3	3	2	2	2	4	4	3	3	3	3	3	-	3	3	-	3	3	4	4	3	4	1	4	5	3	6	-	7	4	4	5	4	4
optometrist carnegie		1	1	2	2	2	3	2	3	3	3	3	3	3	3	3	3	3	3	2	2	2	3	2	3	2	2	2	1	1	1	1	1	2	2	2	1	1	1	2
eye tests carnegie		1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	1	-	7	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1
contact lenses carnegie		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
children's optometrist carnegie		1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2
optometrist glen huntly		3	2	2	2	2	4	5	2	2	2	3	3	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3
eye tests glen huntly		2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2
contact lenses glen huntly		1	2	1	1	1	2	2	1	1	3	3	3	3	1	2	3	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
optometrist malvern East		13	11	13	13	14	11	14	12	11	15	12	9	10	14	12	15	15	20	17	13	11	19	21	15	21	18	18	14	17	17	17	18	15	14	16	11	15	15	17
eye tests malvern East		7	6	7	4	4	23	8	7	5	7	7	8	5	7	9	9	9	9	8	9	9	11	10	9	7	6	6	6	8	8	9	8	9	9	7	6	9	8	11
contact lenses malvern East		6	5	6	6	3	22	5	5	6	10	11	12	10	10	12	13	12	11	10	9	10	11	9	13	12	9	10	10	15	12	11	14	13	11	12	13	26	13	14
optometrist malvern		9	7	9	9	8	10	10	10	10	9	8	11	9	9	12	14	11	11	10	11	14	11	11	14	12	12	8	9	8	8	9	9	9	9	10	11	14	11	11
eye tests malvern		6	5	7	4	5	6	5	4	4	4	5	4	5	4	8	5	5	7	8	7	6	10	5	6	5	5	8	6	7	7	6	8	6	6	7	5	6	7	8
children's optometrist malvern		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
children's optometrist malvern east		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
optometrist glen iris		9	6	6	5	5	7	7	7	7	7	10	9	11	10	7	9	8	10	11	9	9	10	27	7	8	8	9	8	4	4	3	3	2	2	3	4	1	2	2
eye tests glen iris		4	4	4	2	3	3	3	3	3	3	5	5	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	4	3	2	2	3	2	2	2	2	2	2	2
children's optometrist glen iris		4	4	3	2	2	2	2	2	2	2	2	2	2	2	3	3	2	3	3	3	3	4	3	6	6	6	6	5	1	1	1	1	1	1	1	1	1	1	1
optometrist bentleigh		10	9	6	8	9	10	10	10	10	10	10	10	8	10	8	8	10	10	8	7	6	9	6	6	6	7	8	8	5	5	6	7	6	6	8	12	9	8	9
eye tests bentleigh		6	6	6	6	6	7	7	6	6	5	6	6	6	6	6	5	7	6	6	6	6	7	6	6	6	6	6	6	5	4	4	4	4	6	6	6	6	6	6
