		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-17	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
heating and cooling beaconsfield		9	9	9	7	5	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	3	2	1	4	2	2	3
air conditioning beaconsfield		11	11	6	8	7	6	5	10	9	10	9	9	10	9	2	2	3	6	5	5	6	6	9	9	5	8	7	8	6	6	6	8	6	11	5	5	-
ducted heating beaconsfield		2	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	3	3	2	3	3	2	5	4	4	3	3
evaporative cooling beaconsfield		1	5	4	4	4	3	4	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	2	2	2	3	3	3	3	4	2	3	2	2
split systems beaconsfield		4	6	5	2	2	4	9	6	11	6	13	9	9	10	2	2	2	4	3	5	6	6	7	6	4	6	4	4	4	5	5	6	5	3	4	4	4
heating and cooling berwick		3	3	3	3	2	2	2	3	3	1	1	1	2	1	2	1	2	1	1	1	2	1	2	4	4	4	4	3	4	4	3	4	5	3	3	3	3
air conditioning berwick		3	3	2	4	4	4	4	4	5	8	3	3	3	3	4	4	6	6	5	4	5	4	6	5	6	5	6	5	7	7	8	10	7	8	7	8	9
ducted heating berwick		4	1	2	3	3	3	3	2	2	2	2	3	3	2	2	2	2	2	2	3	2	2	2	2	2	2	3	3	3	4	4	3	3	4	3	3	4
evaporative cooling berwick		2	1	3	3	4	5	4	4	5	5	5	3	4	3	3	4	3	4	4	4	4	4	4	6	4	5	4	4	6	5	4	9	7	5	6	5	4
split systems berwick		5	4	10	11	9	15	15	12	14	12	13	12	13	11	14	15	10	10	8	7	9	8	14	10	10	8	9	7	11	11	14	23	13	16	13	6	9
heating and cooling blackburn		7	7	8	9	9	7	8	7	7	8	5	5	4	5	3	3	2	1	1	1	1	1	2	2	2	5	2	3	3	5	5	5	5	11	9	6	6
air conditioning blackburn		14	14	16	15	12	11	7	17	18	17	17	12	12	12	11	13	12	8	6	7	7	3	5	4	4	3	4	3	4	5	4	5	4	4	6	5	5
ducted heating blackburn		4	3	3	5	6	4	6	7	6	5	4	2	4	5	2	2	2	2	2	4	3	3	6	6	7	7	7	7	8	12	6	8	5	10	7	6	6
evaporative cooling blackburn		5	7	5	4	4	5	8	4	6	7	6	6	5	5	5	4	5	7	6	7	8	5	6	3	4	5	4	5	2	3	3	4	5	5	1	2	2
split systems blackburn		13	11	17	20	14	13	14	14	14	14	25	18	16	10	14	14	13	16	15	13	14	10	20	11	12	11	10	18	19	17	13	15	21	20	16	10	11
heating and cooling boronia		3	4	4	2	4	3	3	3	3	3	4	4	4	3	2	4	3	3	1	3	3	5	5	6	5	6	8	4	5	6	6	5	4	5	4	4	3
air conditioning boronia		5	5	4	5	9	4	4	6	5	5	6	5	4	5	5	8	7	10	10	9	10	8	9	13	9	11	6	6	7	10	6	7	5	6	7	5	6
ducted heating boronia		1	1	1	1	1	1	1	2	2	4	3	3	3	3	2	3	3	3	2	2	3	2	2	2	2	2	2	2	2	2	4	2	2	3	3	6	6
evaporative cooling boronia		4	1	2	3	3	3	4	4	3	5	4	3	4	-	3	4	6	6	9	7	6	7	7	6	6	5	5	5	5	5	6	7	6	5	4	4	4
split systems boronia		12	11	-	-	-	14	-	12	-	9	10	8	15	14	10	17	10	12	10	10	11	46	17	-	14	16	13	13	12	13	-	19	19	21	16	9	14
