		2024-08-05	2024-09-12	2024-10-07	2024-10-12	2024-10-16	2024-11-07	2024-11-12
fascinators		2	7	7	-	8	8	9
fascinators for sale		8	10	9	10	5	6	5
fascinators australia		1	2	4	2	4	2	2
fascinators melbourne		25	20	16	17	16	33	28
racing fascinators		1	5	6	5	5	8	10
spring racing fascinators		3	1	1	-	1	4	4
spring racing hats		8	6	6	6	5	4	4
spring racing headbands		26	8	9	9	9	4	4
autumn racing hats		4	2	3	50	3	3	3
black fascinators		15	17	5	7	3	1	1
red fascinators		8	5	1	1	1	1	1
white fascinators		11	4	1	60	4	1	1
pink fascinators		9	4	1	-	2	6	7
racing hats australia		6	4	9	5	6	5	4
racing headbands australia		17	9	10	9	8	10	10
