		2022-05-23	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-01-31	2023-02-16	2023-03-17	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
commercial concreters melbourne		-	20	11	9	4	4	4	3	3	3	4	5	5	5	4	5	4	6	5	5	6	9	9	5	4	4	1	1	4	8	5	4
industrial concreting melbourne		-	23	8	9	7	7	7	10	8	7	8	7	10	19	13	15	8	10	12	10	10	16	10	10	8	8	6	9	11	9	11	11
commercial concreters airport west		-	2	2	2	3	3	2	2	2	2	2	2	2	1	2	1	2	1	2	2	2	2	1	1	1	1	2	1	1	1	2	1
industrial concreting airport west		-	10	1	1	2	2	2	2	2	1	2	1	2	2	2	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1
commercial concreters altona north		-	7	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	1	1	2	1	1	1	1	1
industrial concreting altona north		-	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	1	1	1	1	1	2	1	1	1
commercial concreters brooklyn		-	1	2	2	1	1	1	1	2	2	2	2	2	3	3	3	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1
industrial concreting brooklyn		-	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1
commercial concreters derrimut		-	1	2	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1
industrial concreting derrimut		-	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1
commercial concreters keilor park		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1
industrial concreting keilor park		2	1	8	1	2	2	2	2	1	2	2	2	2	2	2	2	3	2	2	2	2	2	1	1	2	2	1	1	1	1	1	1
commercial concreters laverton north		-	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
industrial concreting laverton north		-	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
commercial concreters sunshine		-	5	5	2	2	2	2	2	2	2	3	2	2	2	2	2	2	4	3	3	3	3	4	1	1	1	1	1	2	3	3	1
industrial concreting sunshine		-	2	2	2	1	2	1	1	1	1	2	1	1	2	2	2	2	2	3	1	1	1	2	2	2	2	2	3	2	8	1	3
commercial concreters truganina		-	2	2	2	2	2	2	2	2	2	2	2	3	3	2	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2
industrial concreting truganina		-	1	2	1	2	1	1	2	1	1	2	2	1	3	2	2	1	2	2	1	1	1	2	2	2	1	2	2	1	1	1	1
commercial concreters tullamarine		-	2	2	2	2	2	2	2	2	1	1	1	1	1	2	1	2	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1
industrial concreting tullamarine		-	2	12	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1
concreters melbourne		-	-	-	-	-	-	-	-	-	15	13	18	23	24	21	18	18	17	21	19	21	26	18	15	15	54	15	15	18	19	21	18
concrete driveways melbourne		-	-	-	-	-	-	-	-	-	-	-	50	66	66	71	63	59	78	75	75	91	85	91	89	-	-	-	87	76	96	-	92
concrete removal melbourne		-	-	-	-	-	-	-	-	-	54	56	23	22	20	24	24	27	22	17	16	16	18	16	16	21	48	39	39	-	41	42	38
concrete slabs melbourne		-	-	-	-	-	-	-	-	-	12	10	12	17	15	20	21	20	17	19	22	20	20	20	30	33	57	47	41	27	30	55	43
exposed aggregate concrete melbourne		-	-	-	-	-	-	-	-	-	-	-	61	66	71	76	55	61	66	64	66	-	94	96	91	-	-	-	88	80	87	85	95
factory flooring melbourne		-	-	-	-	-	-	-	-	-	-	-	10	14	24	29	24	14	12	8	3	6	7	7	8	6	9	14	13	12	16	19	22
hardstand melbourne		-	-	-	-	-	-	-	-	-	69	43	5	5	5	6	8	10	7	10	5	6	7	6	6	6	6	7	9	7	25	14	14
warehouse flooring melbourne		-	-	-	-	-	-	-	-	-	-	-	16	19	19	19	15	9	9	9	8	10	14	7	9	12	13	14	75	16	17	20	26
