		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-25	2023-09-18	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-08	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
air pollution control		-	-	-	-	-	-	84	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
baghouse dust collectors		3	2	5	6	3	3	10	13	8	8	7	8	4	6	5	4	3	4	4	5	7	6	6	5	4	4	5	5	4	4	5	4	10	4	4	6	5
centrifugal fans		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
cyclone dust collector australia		25	19	34	22	22	26	33	44	14	14	15	18	14	12	6	4	2	3	5	8	6	13	10	16	13	13	15	14	14	10	10	12	16	9	12	14	19
dust collection systems		-	-	-	-	-	-	-	-	-	-	-	-	-	-	80	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	78	83	82
dust collector		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dust collector australia		35	22	35	29	36	38	39	39	31	33	26	33	27	42	25	19	20	24	23	23	21	20	24	60	31	84	94	-	-	88	-	90	-	-	86	82	68
dust collector system		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dust extraction australia		60	55	40	64	77	62	72	67	22	34	28	27	27	40	55	54	18	17	23	37	43	60	72	62	21	17	21	23	22	59	59	45	66	52	39	68	82
dust extraction system		-	-	-	-	-	-	95	-	-	-	-	78	89	-	-	-	49	58	54	75	83	84	89	85	83	71	-	76	83	82	-	-	-	-	-	-	-
dust extractor australia		30	25	51	46	34	27	57	34	28	29	36	33	30	39	44	41	22	24	23	47	56	83	91	79	35	-	-	38	-	-	-	86	-	94	68	99	82
dust scrubber		9	7	9	8	9	5	3	4	5	6	4	5	6	4	6	6	5	5	6	-	15	15	13	12	16	13	25	23	20	30	19	14	13	6	7	-	7
electrostatic precipitator system		35	20	29	43	24	23	19	44	28	24	-	13	18	22	9	10	11	11	9	15	10	10	11	9	12	11	13	9	11	8	9	17	9	12	11	12	11
electrostatic precipitators		24	25	45	53	56	35	24	21	20	14	19	21	13	14	14	11	13	12	13	16	12	12	14	11	14	12	15	16	16	16	14	13	15	12	13	12	13
fume extraction		71	78	-	74	73	50	51	58	39	35	75	74	63	75	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
fume extraction australia		5	9	5	4	3	4	5	5	5	7	12	12	13	17	17	16	14	16	16	93	-	97	96	-	99	97	90	-	-	-	-	-	-	-	-	-	-
heavy duty industrial fan		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	85	-	-	-	-	-
high pressure blower		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	69	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
high temperature fans		-	-	-	-	-	-	-	-	74	94	61	72	68	74	-	-	-	-	-	-	33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
industrial blower		9	9	10	12	41	39	44	34	20	12	12	13	38	37	39	39	12	23	11	41	-	-	-	-	44	34	52	50	45	10	10	12	42	-	51	12	12
industrial blowers		10	9	11	9	9	8	14	5	3	4	9	11	10	14	13	13	10	13	9	-	-	-	-	-	-	57	69	-	50	18	9	23	37	61	42	12	36
industrial dust collector		-	-	-	96	-	-	94	89	-	-	-	84	76	67	92	88	70	60	74	68	-	91	79	-	-	71	89	-	-	-	-	91	-	-	79	-	96
industrial dust extraction systems		42	24	52	44	47	57	52	54	51	53	44	36	44	55	49	55	20	20	20	30	57	61	74	18	27	21	19	20	28	65	98	56	67	62	38	86	87
industrial dust extraction systems australia		21	21	31	37	36	28	23	36	15	17	22	18	22	34	19	17	10	11	12	19	11	10	14	11	10	8	11	10	10	15	23	10	16	12	11	42	39
industrial dust extractor		22	14	62	30	42	22	37	33	35	31	-	24	25	45	44	48	23	31	29	69	92	-	-	-	80	63	93	98	-	-	-	-	98	79	65	87	83
industrial exhaust fan		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30	-	-	-	47	50	-	-	-	-	-	-	-	-	-	-
industrial exhaust fan australia		35	40	82	33	51	19	68	35	26	28	25	35	34	41	56	53	-	46	26	-	-	26	25	15	15	16	25	36	20	21	34	-	-	-	69	75	81
industrial extractor fan		-	-	48	52	58	80	70	74	49	44	43	47	51	50	75	54	-	50	44	33	-	-	-	29	-	28	31	37	15	-	-	69	-	-	-	-	-
industrial fans australia		55	54	21	24	19	28	57	40	38	44	30	-	41	42	55	51	33	31	31	26	24	21	20	10	14	10	27	27	17	12	13	12	56	56	60	27	28
industrial heater blower		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
multi cyclone		44	37	68	-	-	-	-	-	68	59	41	34	50	34	44	53	-	-	-	-	-	27	24	34	35	-	-	-	-	55	52	32	45	29	39	28	32
multiclone		-	-	-	-	-	-	-	-	-	-	-	-	-	46	-	-	-	-	-	-	-	-	-	92	-	47	62	37	33	-	-	12	8	35	37	-	-
packed bed scrubber		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	52	56	59	-	-	48	52	-	40	36
