		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-07-29	2022-08-05	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-09	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
car mechanic bulleen		11	11	15	16	17	15	16	13	12	12	12	19	13	13	13	17	17	18	21	-	-	15	13	14	11	11	12	11	10	9	7	7	7	9	8	7	5	4
car service bulleen		7	7	8	11	12	7	9	10	10	10	9	13	10	3	9	10	9	9	10	78	13	10	8	8	5	8	8	6	6	7	5	6	5	7	6	6	5	3
mechanic bulleen		10	10	15	15	16	16	17	14	17	16	16	22	16	16	17	16	16	17	18	18	-	19	18	13	13	15	12	12	13	10	10	12	12	13	8	7	3	2
car mechanic balwyn		14	17	18	13	9	10	12	9	17	16	15	16	15	8	8	14	13	16	-	20	24	22	19	17	13	12	14	14	16	15	19	-	14	14	9	11	11	10
car service balwyn		13	14	16	11	8	9	10	6	14	11	10	10	8	6	6	10	12	14	13	-	-	-	14	11	13	14	14	13	16	13	16	81	15	13	11	13	11	9
car service mont albert		12	11	9	11	11	8	8	10	84	11	10	83	97	-	-	-	-	8	8	9	11	11	7	7	-	-	6	5	6	7	7	4	5	9	9	3	4	5
roadworthy certificate mont albert		26	10	14	9	7	-	29	26	20	22	22	40	33	29	31	31	34	18	20	15	10	14	10	13	-	-	18	17	18	18	17	16	18	15	14	15	16	16
auto mechanic hawthorn		17	15	17	18	17	21	18	18	19	20	19	35	25	17	26	20	15	-	15	12	19	19	17	16	17	16	23	21	20	22	19	17	16	24	20	27	24	22
car repairs hawthorn		27	25	28	25	22	24	28	22	19	21	22	20	18	22	18	28	24	20	15	14	19	21	15	16	-	18	18	18	18	16	12	13	16	18	18	31	41	20
car service hawthorn		21	22	15	19	18	26	26	19	19	18	22	15	22	25	19	-	21	17	19	19	17	15	13	10	13	10	16	14	14	13	12	14	12	13	13	17	21	19
mechanic hawthorn		24	24	20	21	24	29	30	28	33	35	34	36	33	39	35	26	28	29	27	20	34	25	18	18	17	-	20	20	20	23	23	22	21	23	19	25	41	25
roadworthy certificate hawthorn		10	8	7	8	7	36	12	36	9	10	10	14	14	14	14	18	17	12	12	11	11	16	8	6	7	11	9	15	12	11	17	23	22	22	23	24	29	25
car mechanic camberwell		21	21	30	20	18	20	20	19	19	22	22	17	18	16	15	12	11	13	13	14	20	21	13	13	16	23	23	24	24	20	27	28	21	20	25	19	22	19
car service camberwell		22	23	22	18	21	19	19	22	18	22	20	15	14	17	13	11	12	11	12	14	15	13	14	14	13	19	20	14	21	19	21	23	17	16	17	11	14	13
mechanic camberwell		28	27	34	20	22	18	21	19	18	18	19	17	18	25	15	-	14	13	15	15	22	16	21	20	14	26	24	34	26	20	31	30	31	24	33	16	12	9
roadworthy certificate camberwell		15	14	13	16	14	14	-	12	11	11	13	15	14	13	11	-	10	11	10	14	18	21	21	17	15	27	15	16	17	29	31	27	30	16	31	31	14	17
pre purchase car inspection camberwell		7	11	7	8	5	8	7	-	9	7	7	5	5	8	7	8	6	6	7	7	10	-	9	15	9	15	12	13	12	11	-	-	32	-	-	-	-	34
auto mechanic surrey hills		8	10	9	11	15	17	15	18	14	13	12	10	10	14	13	14	13	7	7	7	9	11	8	11	7	7	6	6	6	4	5	26	18	23	21	19	11	12
car air conditioning surrey hills		7	8	6	9	8	6	5	6	7	6	5	8	8	6	5	9	9	10	10	16	18	-	9	9	11	10	9	7	9	7	8	6	7	9	8	10	9	8
car service surrey hills		7	7	7	7	8	6	5	5	5	5	6	6	7	7	9	8	8	8	8	10	19	10	5	7	11	6	6	7	4	5	13	14	11	12	11	10	10	7
car servicing surrey hills		8	8	8	12	10	11	11	10	10	10	11	9	9	10	9	10	8	8	8	9	17	12	7	8	10	5	5	3	2	3	4	11	13	17	12	8	12	10
pre purchase car inspection surrey hills		3	7	3	4	4	4	3	4	4	7	7	8	8	10	11	9	9	11	10	13	15	12	9	15	10	8	10	11	9	8	8	9	10	8	19	10	5	4
roadworthy certificate surrey hills		7	7	7	7	7	7	7	7	9	9	10	7	7	14	13	9	8	7	9	12	10	7	8	8	8	7	9	12	11	11	10	13	12	12	13	12	11	15
mechanic surrey hills		19	18	13	16	21	19	19	16	21	14	17	15	16	17	17	16	13	8	13	14	21	22	18	26	14	11	12	16	13	16	9	22	58	31	26	21	13	14
car mechanic box hill		16	18	14	16	19	21	15	16	26	22	18	16	16	17	14	11	9	7	16	6	13	12	6	8	8	7	7	5	6	3	3	5	6	10	11	6	6	5
car repairs box hill		18	20	21	23	19	21	21	23	15	14	23	19	20	18	17	10	11	9	12	8	13	15	10	10	7	5	6	6	5	6	5	6	7	9	9	6	7	6
car service box hill		8	11	9	10	5	6	5	4	5	5	4	4	4	4	4	4	4	4	5	2	3	3	4	3	4	2	4	3	2	2	2	2	3	4	4	1	4	2
mechanic box hill		20	18	19	17	20	24	23	27	26	25	24	20	20	18	17	19	19	16	20	13	17	15	9	11	11	8	8	7	6	4	4	5	6	10	10	7	5	5
roadworthy certificate box hill		14	11	12	10	12	-	14	24	20	21	18	18	19	20	20	22	18	14	24	15	16	12	12	18	16	12	12	15	17	15	16	18	19	21	18	16	19	15
pre purchase car inspection box hill		10	7	6	7	8	13	12	17	16	21	15	13	11	10	10	13	9	11	17	-	12	18	13	18	18	13	9	14	14	15	15	14	14	20	16	15	10	15
car air conditioning box hill		16	22	17	20	16	10	23	16	20	24	13	16	14	13	19	26	16	11	16	15	14	13	19	18	15	10	10	17	14	15	14	11	9	12	12	11	10	7
auto mechanic doncaster		14	15	18	22	17	15	19	26	26	23	27	15	21	15	13	23	17	20	17	16	16	24	18	19	18	19	19	19	18	20	23	20	20	12	18	15	19	18
car air conditioning doncaster		26	33	45	17	16	19	15	16	15	30	31	28	36	32	31	-	-	-	-	-	-	-	-	-	-	-	-	45	48	43	-	49	-	-	-	47	41	-
car mechanic doncaster		18	16	20	21	20	20	22	23	20	26	25	24	18	18	17	21	22	25	25	19	19	26	25	26	23	21	21	22	27	21	24	28	21	17	25	23	15	22
car repairs doncaster		20	-	-	-	16	-	-	19	-	28	29	23	27	17	16	25	25	21	23	20	29	14	26	31	24	19	21	20	30	34	32	35	28	21	26	24	23	24
car service doncaster		13	17	14	16	17	16	17	17	20	23	23	17	19	18	20	25	25	-	26	30	25	31	29	-	28	25	34	35	38	-	33	36	35	34	39	51	37	39
mechanic doncaster		25	29	32	25	24	19	29	28	25	27	28	29	33	34	27	32	34	34	33	31	30	41	36	34	30	28	28	29	31	29	27	29	22	20	16	22	23	25
