		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-02-28	2022-03-21	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Automatic Gates Melbourne		10	11	12	10	10	13	9	14	6	6	8	9	8	8	5	9	8	3	4	4	3	3	2	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3
Automatic Driveway Gates		14	23	19	46	8	26	48	48	18	20	13	21	19	21	18	20	20	9	10	4	5	4	3	4	4	5	10	6	5	6	3	2	6	2	5	9	8	7
Automatic Sliding Gates Melbourne		16	17	20	17	14	12	17	16	19	11	13	14	11	10	10	9	8	7	6	5	7	3	6	5	3	3	2	2	2	3	2	2	2	2	8	9	4	7
Industrial Gates		4	5	4	4	5	5	8	6	6	6	6	4	4	4	4	6	7	6	8	6	7	4	5	4	3	3	3	3	3	3	2	2	2	3	4	5	3	3
Industrial Gates Melbourne		2	4	3	5	4	4	5	4	4	4	5	4	4	3	3	4	4	4	4	3	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2
Industrial Sliding Gates		3	3	3	3	4	3	3	3	1	3	58	1	1	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Industrial Fencing Melbourne		10	9	6	8	7	5	10	5	9	6	5	5	5	5	6	5	5	6	6	4	7	5	6	4	4	5	3	4	4	5	5	5	7	5	5	6	5	16
Industrial Safety Fence		18	22	21	14	14	21	17	10	15	12	9	7	7	5	5	4	24	39	10	12	12	12	12	10	12	8	6	10	10	10	7	11	6	8	34	27	39	37
Swing Gates		49	77	90	-	80	-	96	91	87	63	76	68	63	94	-	-	-	-	86	70	80	56	35	44	65	51	59	71	67	57	-	30	35	28	22	35	18	50
Swing Gates Melbourne		19	16	14	15	15	16	37	20	13	18	17	19	18	19	23	31	21	16	12	14	14	11	11	10	9	7	8	9	9	8	7	9	6	5	12	6	14	14
Sliding Gates Melbourne		22	38	31	31	35	35	24	21	13	18	25	28	28	21	11	12	10	8	7	6	7	5	5	7	6	6	6	6	3	6	5	4	7	9	11	9	9	7
remote control gate		32	44	59	57	38	29	51	30	17	17	14	13	14	16	8	9	8	8	9	23	12	23	5	4	4	4	4	4	4	2	7	7	5	20	19	19	7	7
Boom Gates Melbourne		11	8	5	6	4	2	2	2	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
Boom Gate Suppliers		8	3	3	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3
Turnstile Gates		12	9	16	26	10	4	8	5	11	6	6	5	6	6	7	8	8	6	5	5	6	4	4	4	1	3	2	2	3	3	1	1	1	2	2	2	2	5
Pedestrian Turnstiles		6	6	7	5	5	4	4	4	4	3	4	3	3	3	3	3	3	3	3	3	3	2	2	2	2	1	3	2	2	1	1	1	2	1	1	1	-	4
Cantilever Gates Melbourne		8	5	7	6	5	6	7	7	5	7	7	7	7	7	6	8	7	6	5	3	6	3	3	2	2	2	1	1	2	2	2	2	2	1	1	1	2	2
Cantilever Sliding Gate		22	12	9	11	10	11	6	4	6	3	3	3	2	4	5	4	12	8	5	6	4	4	3	4	4	2	4	6	6	6	4	4	5	5	7	5	10	7
Security Gates Melbourne		30	30	38	35	37	30	28	30	17	17	19	19	13	21	11	13	10	8	8	8	7	9	7	6	10	9	8	8	8	8	9	9	10	9	10	10	10	12
Security Fencing Melbourne		14	15	20	17	17	17	24	22	16	23	38	15	28	12	19	21	22	25	21	15	26	13	17	19	19	26	19	25	16	38	19	19	22	21	19	18	29	19
Automatic Gates Dandenong		8	4	4	2	2	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
Automatic Gates Bayswater		5	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1
Automatic Gates Truganina		1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Automatic Gates Craigieburn		2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Automatic Gates Campbellfield		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
